Method	Type	Mean	SD	Integration
Transcription factors	Integration	-2.25	6.649382355849731	Cell
Charter
Transcription factors	Overall	-1	7.928249671720919	Cell
Charter
Transcription factors	Alignment	2.25	7.874007874011811	GPSA
Transcription factors	Clustering	-10.5	4.06201920231798	GPSA
Transcription factors	Integration	-2.25	8.430387213611755	GPSA
Transcription factors	Overall	-3.125	7.772432970808708	GPSA
Transcription factors	Alignment	4.875	5.111262075065218	STAligner
Transcription factors	Clustering	-2.875	6.151364540838538	STAligner
Transcription factors	Integration	-2.875	9.030701602232876	STAligner
Transcription factors	Overall	-0.375	3.3354160160315836	STAligner
Wilcoxon	Alignment	-5.75	11.116804097101529	Cell
Charter
Wilcoxon	Clustering	1.25	2.5	Cell
Charter
Wilcoxon	Integration	-13.75	9.810708435174291	Cell
Charter
Wilcoxon	Overall	-7	10.03327796219494	Cell
Charter
Wilcoxon	Alignment	-2.875	3.17214438511238	GPSA
Wilcoxon	Clustering	5.5	18.009256878986797	GPSA
Wilcoxon	Integration	2.25	16.04940289647354	GPSA
Wilcoxon	Overall	6	14.809906594348709	GPSA
Wilcoxon	Alignment	4.5	3.3166247903554	STAligner
Wilcoxon	Clustering	7	8.04155872120988	STAligner
Wilcoxon	Integration	2.25	2.6299556396765835	STAligner
Wilcoxon	Overall	10.5	8.812869377601524	STAligner
scPNMF	Alignment	-0.375	12.81670227253708	Cell
Charter
scPNMF	Clustering	-0.125	9.701803955966128	Cell
Charter
scPNMF	Integration	-1.5	9.227288721117224	Cell
Charter
scPNMF	Overall	-1.5	8.976158898517147	Cell
Charter
scPNMF	Alignment	-2.4375	11.660181020403217	GPSA
scPNMF	Clustering	2.75	11.106626078928869	GPSA
scPNMF	Integration	-0.375	11.55035559131035	GPSA
scPNMF	Overall	-2.375	10.541584321154007	GPSA
scPNMF	Alignment	-0.625	5.44944295973713	STAligner
scPNMF	Clustering	1.125	9.295736349838796	STAligner
scPNMF	Integration	-0.875	6.2891630149465385	STAligner
scPNMF	Overall	-0.375	7.170126518110701	STAligner
scSEGIndex	Alignment	-0.125	5.767829500154902	Cell
Charter
scSEGIndex	Clustering	-1.5	7.521398046336104	Cell
Charter
scSEGIndex	Integration	-3.25	6.627863262664026	Cell
Charter
scSEGIndex	Overall	-1.625	4.808846015417836	Cell
Charter
scSEGIndex	Alignment	-7.3125	8.33211300588615	GPSA
scSEGIndex	Clustering	-4.9375	10.564216893429847	GPSA
scSEGIndex	Integration	-2.6875	13.111983341312524	GPSA
scSEGIndex	Overall	-6	9.72478424292429	GPSA
scSEGIndex	Alignment	1	4.69041575982343	STAligner
scSEGIndex	Clustering	1.625	5.343554194407635	STAligner
scSEGIndex	Integration	-1.625	9.19530159530243	STAligner
scSEGIndex	Overall	-1.5	3.854496446637726	STAligner
scanpy-CellRanger	Alignment	0	8.263517065131184	Cell
Charter
scanpy-CellRanger	Clustering	-3.5	10.014275524755362	Cell
Charter
scanpy-CellRanger	Integration	6.625	8.895223437328598	Cell
Charter
scanpy-CellRanger	Overall	0.125	5.743008171432708	Cell
Charter
scanpy-CellRanger	Alignment	0.0625	5.538420997256993	GPSA
scanpy-CellRanger	Clustering	-5	15.461934826257307	GPSA
scanpy-CellRanger	Integration	3.375	8.279708414465539	GPSA
scanpy-CellRanger	Overall	-4.25	8.631338250816034	GPSA
