Method	IntegrationMethod	Type	MeanRank	SDRank	Integration
scanpy-Seurat (batch)	staligner	Clustering	13.125	6.334429729659964	STAligner
scanpy-Seurat (batch)	staligner	Integration	12.375	8.846912294289863	STAligner
scanpy-Seurat (batch)	staligner	Overall	16.75	7.887603293414656	STAligner
scanpy-SeuratV3	cellcharter	Alignment	14.375	9.47081984684687	Cell
Charter
scanpy-SeuratV3	cellcharter	Clustering	9.25	7.592289321598403	Cell
Charter
scanpy-SeuratV3	cellcharter	Integration	12.375	7.945124291035352	Cell
Charter
scanpy-SeuratV3	cellcharter	Overall	12.875	8.871100753087442	Cell
Charter
scanpy-SeuratV3	gpsa	Alignment	17.375	7.505950020769237	GPSA
scanpy-SeuratV3	gpsa	Clustering	11.5625	4.761733627877261	GPSA
scanpy-SeuratV3	gpsa	Integration	11.375	7.9271234198973914	GPSA
scanpy-SeuratV3	gpsa	Overall	15.375	7.836498853806736	GPSA
scanpy-SeuratV3	scvi	Alignment	12.375	6.906260100186538	scVI
