Method	IntegrationMethod	Type	Mean	SD	Integration
OSCA	staligner	Integration	0.5816301928683884	0.22797905920207384	STAligner
OSCA	staligner	Overall	0.6854062783793853	0.1061689171575471	STAligner
Random	cellcharter	Alignment	0.7855100087488622	0.155776806342108	Cell
Charter
Random	cellcharter	Clustering	0.5293250793206989	0.16833457192043993	Cell
Charter
Random	cellcharter	Integration	0.6952511821525622	0.08444835576320724	Cell
Charter
Random	cellcharter	Overall	0.6979297454372515	0.12027980042842755	Cell
Charter
Random	gpsa	Alignment	0.5221294286001466	0.09113143957862654	GPSA
Random	gpsa	Clustering	0.016401640726681814	0.01429150692070118	GPSA
Random	gpsa	Integration	0.6596506216977708	0.21640740291584554	GPSA
Random	gpsa	Overall	0.3592984826320036	0.043718878402475195	GPSA
Random	scvi	Alignment	0.7055696552454902	0.16357095366977037	scVI
Random	scvi	Clustering	0.2903496306335229	0.1597877416289783	scVI
Random	scvi	Integration	0.5619139589485603	0.19437863905265074	scVI
Random	scvi	Overall	0.5107887298417758	0.10386018348271057	scVI
Random	staligner	Alignment	0.7035860881590261	0.14082171597299878	STAligner
Random	staligner	Clustering	0.40471287803229367	0.1352035083352988	STAligner
Random	staligner	Integration	0.5431606986533288	0.1307092421020369	STAligner
Random	staligner	Overall	0.5369830374110246	0.09399186316263397	STAligner
Seurat-Dispersion	cellcharter	Alignment	0.824207790338289	0.1335656637853489	Cell
Charter
Seurat-Dispersion	cellcharter	Clustering	0.7045660669263836	0.09347171343838218	Cell
Charter
Seurat-Dispersion	cellcharter	Integration	0.7653474734599038	0.06746348840232408	Cell
Charter
Seurat-Dispersion	cellcharter	Overall	0.7647071102415255	0.09279894857657733	Cell
Charter
Seurat-Dispersion	gpsa	Alignment	0.5652424354757644	0.11033097290658701	GPSA
Seurat-Dispersion	gpsa	Clustering	0.09524194438508476	0.2017924889908661	GPSA
Seurat-Dispersion	gpsa	Integration	0.5727786840906921	0.09346984478768502	GPSA
Seurat-Dispersion	gpsa	Overall	0.4110876879838471	0.12114974211562642	GPSA
Seurat-Dispersion	scvi	Alignment	0.7562422216344424	0.1458356938246691	scVI
Seurat-Dispersion	scvi	Clustering	0.5979781514138203	0.08214625602425735	scVI
Seurat-Dispersion	scvi	Integration	0.5610992105519456	0.14711242028915084	scVI
Seurat-Dispersion	scvi	Overall	0.6384398612000695	0.092414421842228	scVI
