dataset	fs_method	n_features	MethodGroup	CanonicalConfig	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	BatchMixingRank	BiologicalConservationRank	IntegrationRank	LabelIndependentClusteringRank	LabelAgreementRank	ClusteringRank	AlignmentRank	CoreOverallRank	AlignmentEligibleOverallRank
DLPFC	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5338140807986014	0.0020877115384695167	3	0.8578558782181313	0.024818717013826697	3	0.6958349795083664	0.013434857252392409	3	0.7215796441352968	0.009351937710485985	3	0.63428050007992	0.040289987881073415	3	0.6779300721076084	0.022795880439613864	3	0.8851432076825811	0.017146724707518393	3	0.6868825258079875	0.00480988000565418	3	0.7529694197661853	0.006701272745763343	3	33.0	26.0	32.0	4.0	23.0	19.0	24.0	27.0	25.0
DLPFC	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.7395810832067745	0.03076441927496931	3	0.6783471967663429	0.0371194434298909	3	0.7089641399865587	0.030513665752899377	3	0.4560271074658014	0.009647123205497335	3	0.6298211475002679	0.08988337475044893	3	0.5429241274830346	0.049578810609953415	3	0.7534124212984222	0.020769865926994285	3	0.6259441337347967	0.03995642785407869	3	0.6684335629226719	0.033500503298800895	3	27.0	20.0	26.0	26.0	22.0	23.0	22.0	21.0	22.0
DLPFC	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.6506506383508414	0.008028774818456296	3	0.8313601643158227	0.008941387720069706	3	0.7410054013333319	0.0019980777419241523	3	0.6565935342692327	0.0039812616966270935	3	0.5379264183662706	0.05522739757238493	3	0.5972599763177516	0.02865190492812607	3	0.8434622317417121	0.0065922510119577815	3	0.6691326888255418	0.01420117123715674	3	0.7272425364642653	0.007406221320472298	3	5.0	29.0	19.0	31.0	31.0	30.0	30.0	30.0	30.0
DLPFC	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.9439210763666178	0.010039283857412477	3	0.6325063347915036	0.005153292479851983	3	0.7882137055790607	0.006979583954383346	3	0.33174666273416026	0.01890400490054972	3	0.36961474347740597	0.0263253410864864	3	0.3506807031057832	0.022431194400183617	3	0.7353666434207701	0.0061508791681950175	3	0.5694472043424219	0.010156472411650455	3	0.6247536840352047	0.0050339378680766995	3	2.0	27.0	4.0	31.0	30.0	31.0	27.0	29.0	29.0
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.6871906372374587	0.010317646151994722	3	0.8215578936081789	0.002083385023949813	3	0.7543742654228188	0.004985237787722709	3	0.6607627037759004	0.0059138949477313746	3	0.613625973226889	0.04419882489102909	3	0.6371943385013947	0.02337338207855848	3	0.8424189991481601	0.004862206277484325	3	0.6957843019621067	0.012518472947788002	3	0.7446625343574578	0.0067305135022225375	3	3.0	30.0	12.0	30.0	26.0	29.0	31.0	22.0	28.0
DLPFC	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.9304714156776811	0.010735803770231414	3	0.6132140357919287	0.007270512205624972	3	0.7718427257348047	0.002546742552234113	3	0.37826853291094437	0.009071500645049121	3	0.3405732043732392	0.06855329446862941	3	0.35942086864209183	0.03850903311733184	3	0.7253960092487546	0.012996537442936586	3	0.5656317971884484	0.017981364383752144	3	0.6188865345418838	0.01608159259689604	3	3.0	30.0	8.0	30.0	32.0	30.0	29.0	30.0	30.0
DLPFC	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5600066687257245	0.00246389006547372	3	0.8500377019586668	0.02053327019368124	3	0.7050221853421957	0.009420674605727264	3	0.7106463675637729	0.0024468371795932867	3	0.6568901267336595	0.026608307686144826	3	0.6837682471487162	0.0145274947702204	3	0.91392672731018	0.01405003700914435	3	0.694395216245456	0.0030464859019611033	3	0.767572386600364	0.0027784724839334113	3	22.0	28.0	30.0	8.0	18.0	17.0	16.0	23.0	21.0
DLPFC	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.7801377871643731	0.05039804867248524	3	0.7028281709222838	0.013712825129952868	3	0.7414829790433285	0.01852903811614644	3	0.49912744030904826	0.00475921369807598	3	0.6557120170681964	0.02692435928885034	3	0.5774197286886222	0.011145086961782501	3	0.7743164311135903	0.002142253240875405	3	0.6594513538659753	0.0037448773710888235	3	0.6977397129485138	0.0027094621400877788	3	22.0	16.0	21.0	14.0	18.0	17.0	16.0	17.0	17.0
DLPFC	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5749978860560825	0.003858911564006195	3	0.9093643503637988	0.013627378294310849	3	0.7421811182099406	0.006047883959672023	3	0.6902786903800707	0.0024100709017942173	3	0.644904734340968	0.06956057696120506	3	0.6675917123605194	0.03378804150809484	3	0.8965870513188002	0.0043121228929987486	3	0.70488641528523	0.019688272515828234	3	0.7687866272964201	0.012623835467880895	3	16.0	20.0	18.0	24.0	21.0	22.0	22.0	20.0	20.0
DLPFC	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8526960496759868	0.027153087651318766	3	0.6807919170989885	0.006773247874458723	3	0.7667439833874877	0.013520086640144811	3	0.48148671639753654	0.013475981935401163	3	0.6481529357473046	0.01477938704387201	3	0.5648198260724205	0.014126835166062834	3	0.7631596247388345	0.0022207173891657184	3	0.6657819047299541	0.010480340066146274	3	0.6982411447329141	0.006464439406481977	3	9.0	19.0	13.0	20.0	19.0	20.0	19.0	14.0	16.0
DLPFC	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.6020213065476914	0.011490845638490975	3	0.8655979854084426	0.011563334941196157	3	0.733809645978067	0.0036682771178635602	3	0.6768816010970342	0.00780549698957004	3	0.6063872496854968	0.08011437382519916	3	0.6416344253912655	0.03980891851644115	3	0.8635108364383889	0.008667350094393504	3	0.6877220356846663	0.02120569307203333	3	0.7463183026025737	0.01620810367913665	3	9.0	24.0	23.0	28.0	28.0	27.0	28.0	26.0	26.0
DLPFC	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8419671161800389	0.021381256307723	3	0.6341816752407855	0.0052979016740211105	3	0.7380743957104122	0.011422720797759658	3	0.44186506344047305	0.017285187238852934	3	0.495159738162598	0.06994195138959297	3	0.46851240080153556	0.04349365957357972	3	0.7254310396377935	0.009268459904816813	3	0.603293398255974	0.02249259219711157	3	0.6440059453832471	0.018048389944087813	3	11.0	26.0	22.0	28.0	26.0	26.0	28.0	26.0	26.0
DLPFC	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5969073080532247	0.0033929929047653057	3	0.8725819728473737	0.0067404096265814275	3	0.7347446404502992	0.0026673274461384484	3	0.6821812007348518	0.00828325063153453	3	0.6181742734684929	0.022869088632950677	3	0.6501777371016723	0.0129050495168568	3	0.8783270707635858	0.010377366121220723	3	0.6924611887759857	0.007480673983492313	3	0.7544164827718524	0.006539211732800178	3	10.0	23.0	22.0	26.0	24.0	25.0	25.0	25.0	24.0
DLPFC	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8699244221102359	0.02004533298422965	3	0.6683365543634713	0.019367158028474125	3	0.7691304882368537	0.013693926478986658	3	0.4689563142176046	0.025202178398786218	3	0.5591916753418434	0.05652775386252762	3	0.514073994779724	0.0156788542263962	3	0.7554266708950795	0.013550879717706929	3	0.6416022415082888	0.003226910144369035	3	0.6795437179705525	0.003436426523614038	3	6.0	21.0	11.0	23.0	25.0	25.0	21.0	19.0	20.0
DLPFC	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5820499744950093	0.002754423507872236	3	0.9444041072028987	0.04267015965186052	3	0.7632270408489541	0.020361806993389922	3	0.7040129981170452	0.006547341079819396	3	0.8614342411768349	0.03830326534220637	3	0.7827236196469401	0.02080478885525762	3	0.9475429071983914	0.005618558117530616	3	0.772975330247947	0.020402952245581304	3	0.8311645225647618	0.011810423905189481	3	13.0	13.0	6.0	16.0	2.0	2.0	2.0	1.0	1.0
DLPFC	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.7729590414690658	0.009653024435589214	3	0.7522828556578077	0.009070879888717069	3	0.7626209485634368	0.007217350762060086	3	0.4980303230047285	0.017290248260426397	3	0.6802745608528532	0.08262614390654323	3	0.5891524419287908	0.049838993002507354	3	0.8207670668972575	0.008203266272808813	3	0.6758866952461138	0.027925143983402442	3	0.7241801524631617	0.02077743002721108	3	23.0	4.0	15.0	15.0	13.0	13.0	5.0	13.0	10.0
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.606414394836013	0.008785527570231247	3	0.9521007646028914	0.0064607901751550885	3	0.7792575797194522	0.002870869564782373	3	0.6879204435177982	0.00311197320222068	3	0.7983224042778471	0.047195569129406846	3	0.7431214238978227	0.024372336337893964	3	0.9347875415718799	0.004674837343498683	3	0.7611895018086375	0.01361316839177086	3	0.8190555150630517	0.009989915487743363	3	7.0	8.0	1.0	25.0	4.0	7.0	7.0	3.0	6.0
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8634130477080775	0.015791966503764108	3	0.7047140051264827	0.010112266728999677	3	0.78406352641728	0.004030746762086923	3	0.4821780621165251	0.013685347305877544	3	0.7161782246930195	0.018529889750225213	3	0.5991781434047724	0.006956861842713571	3	0.7751378352839663	0.008457694231950093	3	0.6916208349110261	0.002446545245237275	3	0.7194598350353395	0.003626095034062247	3	7.0	15.0	5.0	19.0	6.0	10.0	15.0	6.0	12.0
DLPFC	scry	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5452140062474627	0.0035817558275012904	3	0.9332360102184681	0.008531256825695943	3	0.7392250082329656	0.0024758235001879248	3	0.702595542776239	0.012299945566536047	3	0.5914239085595017	0.020896374247157772	3	0.6470097256678703	0.016310964547958644	3	0.9005674793760144	0.0038039108675984403	3	0.6931173669504179	0.009216709910762696	3	0.7622674044256167	0.006387459765756709	3	29.0	16.0	20.0	17.0	30.0	26.0	21.0	24.0	22.0
