fs_method	integration_method	MethodGroup	MeanIntegrationScore	SDIntegrationScore	MeanIntegrationRank	SDIntegrationRank	NIntegrationDatasets	MeanClusteringScore	SDClusteringScore	MeanClusteringRank	SDClusteringRank	NClusteringDatasets	MeanAlignmentScore	SDAlignmentScore	MeanAlignmentRank	SDAlignmentRank	NAlignmentDatasets	MeanCoreOverallScore	SDCoreOverallScore	MeanCoreOverallRank	SDCoreOverallRank	NCoreOverallDatasets	MeanAlignmentEligibleOverallScore	SDAlignmentEligibleOverallScore	MeanAlignmentEligibleOverallRank	SDAlignmentEligibleOverallRank	NAlignmentEligibleOverallDatasets	GlobalCoreOverallRank
hotspot	cellcharter	expression_driven	0.5958389493121345	0.12813004173886436	23.0	5.97215762238964	7	0.727076263363247	0.04093845805185212	10.285714285714286	5.794085654478071	7	0.9471716203959031	0.027953597219150614	6.0	4.242640687119285	2	0.6614576063376908	0.07826396994147919	14.428571428571429	7.9970232557109	7	0.8073087692893635	0.025949836356220026	14.5	3.5355339059327378	2	12.0
scanpy_seurat	cellcharter	expression_driven	0.6375838899234888	0.12145308822132517	11.857142857142858	10.526610271570036	7	0.6848789663882938	0.08289179059256584	19.714285714285715	8.159131606453505	7	0.9131448707916492	0.07019312453767272	20.0	8.48528137423857	2	0.6612314281558912	0.07456579842356445	14.857142857142858	10.253919111386491	7	0.7874613689816166	0.05818508247085904	17.0	11.313708498984761	2	13.0
scanpy_pearson_batch	cellcharter	expression_driven	0.6161537549941575	0.11491742911646032	15.285714285714286	9.123491395189411	7	0.7089056890553931	0.051654745888564016	14.857142857142858	3.338091841585121	7	0.9313961038157917	0.04922743413460245	13.5	10.606601717798213	2	0.6625297220247752	0.07184943683135732	15.428571428571429	9.360504666899516	7	0.7946841593292329	0.03662464103279547	23.0	5.656854249492381	2	14.0
morans_i	cellcharter	spatially_informed	0.6128411499510361	0.12556127121378724	15.0	8.06225774829855	7	0.6982310383010102	0.06427870617018903	14.571428571428571	5.912053869204928	7	0.942822870261375	0.03323819356274128	8.0	5.656854249492381	2	0.6555360941260231	0.09156199942439844	15.571428571428571	5.711308748355986	7	0.8119263402168309	0.020150825635853624	12.0	4.242640687119285	2	15.0
somde	cellcharter	spatially_informed	0.6013969062629266	0.13724502544742911	18.142857142857142	9.388442743227289	7	0.7186578903955245	0.045070094820786194	13.142857142857142	6.618876325292973	7	0.9447535367763982	0.023968489961654807	12.0	5.656854249492381	2	0.6600273983292256	0.08765906508142214	15.714285714285714	7.476948702830715	7	0.8155812499213058	0.012693794854793996	14.5	10.606601717798213	2	16.0
anticor	cellcharter	expression_driven	0.6107060930028145	0.1145418305335982	16.714285714285715	6.290582530372571	7	0.7108735542028193	0.049038664739916915	14.571428571428571	6.604471789556499	7	0.9390587224725322	0.03075440245936906	16.0	2.8284271247461903	2	0.660789823602817	0.07664084124121041	15.857142857142858	4.6700667885506535	7	0.8047697773949581	0.0282825523708767	17.0	5.656854249492381	2	17.5
scanpy_seurat_batch	cellcharter	expression_driven	0.6338057799382831	0.10603850078075473	13.285714285714286	9.086882225022428	7	0.6830541113950341	0.07910201218166407	18.714285714285715	5.992058236095666	7	0.921748398397013	0.06140703043543837	16.5	10.606601717798213	2	0.6584299456666587	0.07368889349499226	15.857142857142858	9.406178314075833	7	0.7873173500381025	0.04652885270176815	26.0	4.242640687119285	2	17.5
dubstepr	cellcharter	expression_driven	0.6150677145931621	0.12220209554998092	14.0	5.597618541248888	7	0.6947216532262693	0.07522828230143541	15.714285714285714	5.589105048046174	7	0.9449305892183573	0.021608686012980546	13.0	8.48528137423857	2	0.6548946839097157	0.08756564875947064	16.142857142857142	5.1777914026661795	7	0.8106823987357288	0.02068718637728262	14.5	6.363961030678928	2	19.0
Brennecke	cellcharter	expression_driven	0.6257947301720499	0.11669828583357042	16.571428571428573	9.466733735510239	7	0.6834787832327978	0.10125371381311116	16.857142857142858	11.006491591004698	7	0.9073263486501675	0.07883941103202682	20.0	9.899494936611665	2	0.6546367567024239	0.08172976866671065	16.285714285714285	11.799919289473774	7	0.7858405887816926	0.06513039876131063	15.0	18.384776310850235	2	20.0
scanpy_pearson	cellcharter	expression_driven	0.5854383076407107	0.127401489700943	23.857142857142858	4.180453381654971	7	0.7338237010664344	0.04187349620963362	9.571428571428571	7.230886134196436	7	0.9405652587048948	0.037672572380107204	8.5	9.192388155425117	2	0.6596310043535725	0.06901937956309305	16.428571428571427	8.121107126025425	7	0.7955524311694615	0.03956975850542127	22.0	2.8284271247461903	2	21.0
nnsvg	cellcharter	spatially_informed	0.618279544337147	0.12087424557431055	12.857142857142858	5.398412465054624	7	0.6823867950097281	0.07211032141126221	19.714285714285715	6.102302453836194	7	0.9416835166040234	0.03410850021419542	10.0	4.242640687119285	2	0.6503331696734376	0.09147410712908889	16.857142857142858	5.5506327395643655	7	0.8058204671970585	0.03054315163904848	14.0	1.4142135623730951	2	22.0
scry	cellcharter	expression_driven	0.6186353822059605	0.11183762598443328	13.428571428571429	5.472876844254852	7	0.668683768896461	0.09426925845959613	19.857142857142858	8.745066636463696	7	0.932776074313824	0.04554983178603173	15.0	7.0710678118654755	2	0.6436595755512108	0.09414853283375191	19.142857142857142	9.136530549184984	7	0.7983260017348551	0.05099455735487499	11.0	14.142135623730951	2	23.0
seurat_disp	cellcharter	expression_driven	0.6220329368458042	0.10796032335566658	17.0	10.424330514074592	7	0.6843551604344466	0.08366428477466059	19.142857142857142	6.51737604225738	7	0.9295156346311196	0.05802590274347763	11.5	14.849242404917497	2	0.6531940486401254	0.07320174519867048	19.285714285714285	7.973169292786187	7	0.7852180323808409	0.056899935800178665	22.0	5.656854249492381	2	24.0
seurat_sct	cellcharter	expression_driven	0.6506116117169116	0.10672293437490743	12.0	7.438637868140466	7	0.5934706524521379	0.24101305655214839	20.142857142857142	8.725987459471687	7	0.9400416684650728	0.0371199419987386	10.5	7.7781745930520225	2	0.6220411320845248	0.12984448724256328	19.714285714285715	8.712333895390024	7	0.8044484583834969	0.030620861758183016	16.0	0.0	2	25.0
