dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean
DLPFC	Brennecke	10000	scvi	integration_eval	dASW	0.4732996207		0.4732996207		1	10000	10000	156.1599845439
DLPFC	Brennecke	10000	scvi	integration_eval	dLISI	0.7918723539		0.7918723539		1	10000	10000	156.1599845439
DLPFC	Brennecke	10000	scvi	integration_eval	iLISI	0.1820882161		0.1820882161		1	10000	10000	156.1599845439
DLPFC	Brennecke	200	cellcharter	alignment_eval	Accuracy	0.6176		0.6176		1	200	200	56.501858783
DLPFC	Brennecke	200	cellcharter	alignment_eval	Ratio	1.1023591621		-1.1023591621		1	200	200	56.501858783
DLPFC	Brennecke	200	cellcharter	clustering_eval	CHAOS	0.0602395867		-0.0602395867		1	200	200	56.8694719262
DLPFC	Brennecke	200	cellcharter	clustering_eval	PAS	0.09575		-0.09575		1	200	200	56.8694719262
DLPFC	Brennecke	200	cellcharter	clustering_eval	ari	0.1586858554		0.1586858554		1	200	200	56.8694719262
DLPFC	Brennecke	200	cellcharter	clustering_eval	nmi	0.2696496248		0.2696496248		1	200	200	56.8694719262
DLPFC	Brennecke	200	cellcharter	clustering_eval	silhouette	0.0721952021		0.0721952021		1	200	200	56.8694719262
DLPFC	Brennecke	200	cellcharter	integration_eval	GC	0.9743906702		0.9743906702		1	200	200	59.4338934319
DLPFC	Brennecke	200	cellcharter	integration_eval	ILL	0.4859353572		0.4859353572		1	200	200	59.4338934319
DLPFC	Brennecke	200	cellcharter	integration_eval	bASW	0.9855575352		0.9855575352		1	200	200	59.4338934319
DLPFC	Brennecke	200	cellcharter	integration_eval	dASW	0.5048784073		0.5048784073		1	200	200	59.4338934319
DLPFC	Brennecke	200	cellcharter	integration_eval	dLISI	0.8598458494		0.8598458494		1	200	200	59.4338934319
DLPFC	Brennecke	200	cellcharter	integration_eval	iLISI	0.2611096954		0.2611096954		1	200	200	59.4338934319
DLPFC	Brennecke	200	scvi	alignment_eval	Accuracy	0.4271		0.4271		1	200	200	37.1672409689
