dataset	fs_method	n_features	integration_method	random_seed	Accuracy	CHAOS	GC	ILL	PAS	Ratio	ari	bASW	dASW	dLISI	iLISI	nmi	silhouette	BatchMixing	BiologicalConservation	Integration	LabelIndependentClustering	LabelAgreement	Clustering	Alignment	CoreOverall	AlignmentEligibleOverall	MethodGroup
DLPFC	TFs	2000	cellcharter	0	0.5562056234024424	0.7271877128378987	0.932039343071976	0.3302523176802755	0.6467202884539331	0.8912615192660234	0.5198851907008909	0.9936210216197034	0.7949892310987503	0.6184083472354174	0.6088041275405827	0.6066015580973979	0.00497405098217228	0.801212574580143	0.6689223097716048	0.7350674421758739	0.4596273507580014	0.5632433743991444	0.5114353625785729	0.7237335713342329	0.6232514023772234	0.6567454586962266	control
DLPFC	TFs	2000	cellcharter	1	0.5599545583641012	0.7494978949862049	0.9313090687590061	0.3359112511223756	0.6970600471115207	0.8833246691644886	0.5882766385298602	0.9918542145692533	0.796630210466142	0.6305236487266098	0.5821399829613595	0.5922845403921193	0.006839008373497961	0.7869970987653063	0.6735935447685334	0.7302953217669199	0.48446565015707455	0.5902805894609897	0.5373731198090321	0.7216396137642949	0.633834220787976	0.6631026851134156	control
DLPFC	TFs	2000	cellcharter	2	0.5710309571144562	0.8677296578701812	0.8918433444492576	0.32206145824289145	0.8775135210440985	0.8885261676885929	0.629627165350197	0.993451329312648	0.8007479738819496	0.6209976800392647	0.5748684679019271	0.7497994827080731	-0.01181305935567025	0.7841598986072875	0.6589126141533409	0.7215362563803143	0.5778100398528698	0.6897133240291351	0.6337616819410025	0.7297785624015245	0.6776489691606584	0.6950255002409471	control
DLPFC	TFs	2000	scvi	0	0.20278330019880716	0.08711574044503927	0.7073473310376355	0.10501750988418844	0.00041603114683598746	0.9998055507683257	0.1931982519973495	0.989170769283539	0.6807801421589383	0.3519937099578754	1.001593859153347	0.20190720546050747	0.04439489336582446	0.995382314218443	0.4612846732596594	0.7283334937390512	0.04397555498589991	0.19755272872892848	0.1207641418574142	0.6012944254835664	0.4245488177982327	0.4834640203600106	control
DLPFC	TFs	2000	scvi	1	0.2056802044873616	0.11242119880876672	0.7152090745516801	0.1187739349689301	0.009464706780781394	1.0014226599145424	0.18645213224638899	0.9879425571464294	0.6828633667945411	0.3701824825696434	1.0013905017697533	0.2009800454767782	0.04958036011424844	0.9946665294580914	0.4717572147211987	0.733211872089645	0.05715542190126552	0.1937160888615836	0.12543575538142454	0.603551432200952	0.42932381373553474	0.4873996865573405	control
DLPFC	TFs	2000	scvi	2	0.21454132348764557	0.08061110870300067	0.682262591620444	0.11597402772523535	-0.007072527998498172	0.9987717893171318	0.1709876192160142	0.9850673876976445	0.6537144948797087	0.35831625966132813	0.997015639076899	0.1814631384522038	0.06899979402147945	0.9910415133872718	0.45256684347167897	0.7218041784294753	0.04751279157532732	0.176225378834109	0.11186908520471815	0.6066565564023887	0.41683663181709674	0.48010994001219404	control
DLPFC	all_features	all	cellcharter	0	0.8706049417779039	0.9247977732951108	0.9098774505743104	0.8852799598153863	0.8654486201572348	0.8620625696641623	0.42999665945994037	0.8594154075925537	0.7167821742207902	0.9613495965967475	0.17782086342208545	0.4709534877837417	0.26357323487394524	0.5186181355073196	0.8683222953018086	0.6934702154045641	0.6846065427754303	0.450475073621841	0.5675408081986357	0.8663337557210331	0.6305055118015999	0.7091149264414108	control
DLPFC	all_features	all	cellcharter	1	0.8978699233172394	0.9521980181470913	0.9153290542853055	0.9013890377797495	0.8847940646160148	0.8567988931390379	0.4406292126431416	0.8618259784802532	0.7700443624196974	0.9730989657590807	0.179875596933065	0.5207180314707937	0.25753415243187566	0.5208507877066592	0.8899653550609583	0.7054080713838087	0.6981754117316606	0.4806736220569676	0.5894245168943142	0.8773344082281387	0.6474162941390614	0.7240556655020871	control
DLPFC	all_features	all	cellcharter	2	0.8556092019312695	0.934951058870842	0.9488954963797254	0.8827688419356643	0.8923866314856532	0.8575215913099501	0.4947187612018809	0.8601412704062386	0.8350863529811625	0.9621968852262852	0.18241690461809226	0.5884663772767428	0.3197101449573153	0.5212790875121655	0.9072368941307094	0.7142579908214375	0.7156826117712702	0.5415925692393119	0.628637590505291	0.8565653966206098	0.6714477906633642	0.7331536593157795	control
DLPFC	all_features	all	scvi	0	0.39023004828173813	0.6341989324612497	0.12135576430037162	0.2801367323154762	0.4524337816972718	0.6961875133566533	0.36873170394521537	0.9424486472129621	0.3316289669563357	0.5657428029544073	0.02096036604053828	0.4503662006642767	0.5753626971871892	0.4817045066267502	0.3247160666316477	0.40321028662919894	0.5539984704485703	0.40954895230474603	0.48177371137665814	0.5432087808191957	0.44249199900292857	0.4760642596083509	control
DLPFC	all_features	all	scvi	1	0.44390798068730475	0.5393812240077166	0.3452929870613571	0.33145666635905546	0.27198030788950334	0.8310789961256466	0.3231520960651381	0.9017515626218774	0.34307434864004976	0.6250029792948606	0.031980677315901804	0.42049705114621794	0.5209546150145444	0.4668661199688896	0.4112067453388307	0.43903643265386016	0.44410538230392144	0.371824573605678	0.4079649779547997	0.6374934884064757	0.4235007053043299	0.4948316330050451	control
DLPFC	all_features	all	scvi	2	0.3714853734734451	0.5450821467100072	0.33362199054074754	0.3047616805330969	0.279884898056864	0.8536364199033692	0.34576758182888984	0.9131391745878643	0.38363019330510406	0.5756136054192865	0.041127171855553514	0.4463641514803098	0.5362667944641872	0.4771331732217089	0.3994068674495588	0.43827002033563384	0.45374461307701947	0.3960658666545998	0.42490523986580964	0.6125608966884072	0.43158763010072176	0.49191205229661694	control
DLPFC	anticor	100	cellcharter	0	0.9075830729906276	0.9867512505679007	0.9886773421415671	0.7295902133649496	0.994418249840831	0.920382663436541	0.7164712709080756	0.9624598679022025	0.8672450110055857	0.9095469093351575	0.3064953173893403	0.907635119287522	0.1173126380150081	0.6344775926457714	0.8737648689618149	0.7541212308037932	0.6994940461412466	0.8120531950977988	0.7557736206195227	0.9139828682135842	0.754947425711658	0.8079592398789668	expression_driven
DLPFC	anticor	100	scvi	0	0.5965918773075831	0.5548023366144349	0.7936824195857233	0.43668491059223674	0.4081264734207114	0.9605785151406585	0.6390011703483399	0.9634496571427285	0.7768850762645736	0.7619430078606674	0.6282240676843792	0.7183303113359046	0.2695125045663492	0.7958368624135539	0.6922988535758003	0.7440678579946771	0.41081377153383186	0.6786657408421223	0.5447397561879771	0.7785851962241208	0.6444038070913272	0.6891309368022585	expression_driven
