dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Brennecke	200	cellcharter	integration_eval	bASW	0.9855575352		0.9855575352		1	200	200	59.4338934319	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9849951754020662
DLPFC	Brennecke	200	cellcharter	integration_eval	dASW	0.5048784073		0.5048784073		1	200	200	59.4338934319	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.7708044989676632
DLPFC	Brennecke	200	cellcharter	integration_eval	dLISI	0.8598458494		0.8598458494		1	200	200	59.4338934319	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.8049515108863105
DLPFC	Brennecke	200	cellcharter	integration_eval	iLISI	0.2611096954		0.2611096954		1	200	200	59.4338934319	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.36040695679893486
DLPFC	Brennecke	200	scvi	alignment_eval	Accuracy	0.4271		0.4271		1	200	200	37.1672409689	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.40215847770519736
DLPFC	Brennecke	200	scvi	alignment_eval	Ratio	0.820367369		-0.820367369		1	200	200	37.1672409689	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9851805577253607
DLPFC	Brennecke	200	scvi	clustering_eval	CHAOS	0.075758836		-0.075758836		1	200	200	37.9803275727	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.4332772003627244
DLPFC	Brennecke	200	scvi	clustering_eval	PAS	0.4985		-0.4985		1	200	200	37.9803275727	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.41145472197135186
DLPFC	Brennecke	200	scvi	clustering_eval	ari	0.1145922606		0.1145922606		1	200	200	37.9803275727	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.27856630972765944
DLPFC	Brennecke	200	scvi	clustering_eval	nmi	0.1738263051		0.1738263051		1	200	200	37.9803275727	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.3018188545168503
DLPFC	Brennecke	200	scvi	clustering_eval	silhouette	0.1277788877		0.1277788877		1	200	200	37.9803275727	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.11580378763067906
DLPFC	Brennecke	200	scvi	integration_eval	GC	0.8219952145		0.8219952145		1	200	200	39.7319932636	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.7736344519233007
DLPFC	Brennecke	200	scvi	integration_eval	ILL	0.3305765696		0.3305765696		1	200	200	39.7319932636	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.2365702801905359
DLPFC	Brennecke	200	scvi	integration_eval	bASW	0.9860388875		0.9860388875		1	200	200	39.7319932636	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9856390198950492
DLPFC	Brennecke	200	scvi	integration_eval	dASW	0.4938621116		0.4938621116		1	200	200	39.7319932636	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.6879672921165597
DLPFC	Brennecke	200	scvi	integration_eval	dLISI	0.7346421534		0.7346421534		1	200	200	39.7319932636	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.5364454217521181
DLPFC	Brennecke	200	scvi	integration_eval	iLISI	0.6623904392		0.6623904392		1	200	200	39.7319932636	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.9170604772517511
DLPFC	Brennecke	2000	cellcharter	alignment_eval	Accuracy	0.6541333333333333	0.007801495583113102	0.6541333333333333	0.007801495583113102	3	2000	2000	46.635684101533336	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.7890372053393923
DLPFC	Brennecke	2000	cellcharter	alignment_eval	Ratio	1.2343672692	0.009079900822676151	-1.2343672692	0.009079900822676151	3	2000	2000	46.635684101533336	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9141197276299433
DLPFC	Brennecke	2000	cellcharter	clustering_eval	CHAOS	0.058957076266666665	0.00022189064303350622	-0.058957076266666665	0.00022189064303350622	3	2000	2000	46.97374426296667	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9748364679497579
DLPFC	Brennecke	2000	cellcharter	clustering_eval	PAS	0.051444444433333326	0.008586299342665141	-0.051444444433333326	0.008586299342665141	3	2000	2000	46.97374426296667	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9694217168232189
DLPFC	Brennecke	2000	cellcharter	clustering_eval	ari	0.22705988526666665	0.014392715542489727	0.22705988526666665	0.014392715542489727	3	2000	2000	46.97374426296667	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.5788907774920864
DLPFC	Brennecke	2000	cellcharter	clustering_eval	nmi	0.3429198197	0.019268445430509696	0.3429198197	0.019268445430509696	3	2000	2000	46.97374426296667	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.6301693860403866
DLPFC	Brennecke	2000	cellcharter	clustering_eval	silhouette	0.1032323986	0.005026089985049103	0.1032323986	0.005026089985049103	3	2000	2000	46.97374426296667	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.08692769673650083
DLPFC	Brennecke	2000	cellcharter	integration_eval	GC	0.9743740177000001	0.0033674285887693545	0.9743740177000001	0.0033674285887693545	3	2000	2000	49.32245658989999	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9742154494683821
DLPFC	Brennecke	2000	cellcharter	integration_eval	ILL	0.5776045257	0.010300562283329992	0.5776045257	0.010300562283329992	3	2000	2000	49.32245658989999	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.7373824880239104
DLPFC	Brennecke	2000	cellcharter	integration_eval	bASW	0.9604613324	0.0002842441300226013	0.9604613324	0.0002842441300226013	3	2000	2000	49.32245658989999	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9514271380880945
DLPFC	Brennecke	2000	cellcharter	integration_eval	dASW	0.5104886448666667	0.0007079263297041146	0.5104886448666667	0.0007079263297041146	3	2000	2000	49.32245658989999	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.8129907676054775
DLPFC	Brennecke	2000	cellcharter	integration_eval	dLISI	0.8949260073333334	0.004064728847529609	0.8949260073333334	0.004064728847529609	3	2000	2000	49.32245658989999	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.8801828044807837
DLPFC	Brennecke	2000	cellcharter	integration_eval	iLISI	0.18449414509999998	0.0023708305426343303	0.18449414509999998	0.0023708305426343303	3	2000	2000	49.32245658989999	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.25412646251939636
DLPFC	Brennecke	2000	scvi	alignment_eval	Accuracy	0.47093333333333337	0.009962094826557955	0.47093333333333337	0.009962094826557955	3	2000	2000	29.842449753233335	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.4768531667140018
DLPFC	Brennecke	2000	scvi	alignment_eval	Ratio	0.8892537200333334	0.02068149490250196	-0.8892537200333334	0.02068149490250196	3	2000	2000	29.842449753233335	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9733565904144793
DLPFC	Brennecke	2000	scvi	clustering_eval	CHAOS	0.07225229770000001	0.0003198427990273784	-0.07225229770000001	0.0003198427990273784	3	2000	2000	30.677299316366668	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.5463009754704242
DLPFC	Brennecke	2000	scvi	clustering_eval	PAS	0.40655555553333333	0.01456316065412875	-0.40655555553333333	0.01456316065412875	3	2000	2000	30.677299316366668	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.5262099570502726
DLPFC	Brennecke	2000	scvi	clustering_eval	ari	0.16941888230000002	0.01281610389585159	0.16941888230000002	0.01281610389585159	3	2000	2000	30.677299316366668	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.4249708953155174
DLPFC	Brennecke	2000	scvi	clustering_eval	nmi	0.26539948213333336	0.008122971980795025	0.26539948213333336	0.008122971980795025	3	2000	2000	30.677299316366668	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.4796382192826821
DLPFC	Brennecke	2000	scvi	clustering_eval	silhouette	0.20910004279999997	0.007585019977788787	0.20910004279999997	0.007585019977788787	3	2000	2000	30.677299316366668	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.2114686730128889
DLPFC	Brennecke	2000	scvi	integration_eval	GC	0.8354568590000001	0.013113209683775657	0.8354568590000001	0.013113209683775657	3	2000	2000	32.3716786398	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.7913544367617646
DLPFC	Brennecke	2000	scvi	integration_eval	ILL	0.3911018979666667	0.012152269819940706	0.3911018979666667	0.012152269819940706	3	2000	2000	32.3716786398	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.3592763245091786
DLPFC	Brennecke	2000	scvi	integration_eval	bASW	0.9716044045333333	0.0035826668089349806	0.9716044045333333	0.0035826668089349806	3	2000	2000	32.3716786398	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9663318256276776
DLPFC	Brennecke	2000	scvi	integration_eval	dASW	0.49494601126666665	0.004371178940620091	0.49494601126666665	0.004371178940620091	3	2000	2000	32.3716786398	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.6961176925178043
