dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
DLPFC	morans_i	2000	scvi	0.698759013827436	0.16038260611812422	3	0.6502586101598645	0.1653863105950298	3	0.6745088119936503	0.1628823486133435	3	0.48581028785245167	0.02397480112790521	3	0.6448747745035474	0.20484201838700664	3	0.5653425311779995	0.11438241139414146	3	0.7576587837341928	0.10382952731459476	3	0.6199256715858249	0.13863093468570728	3	0.6658367089686142	0.1270287443994633	3	spatially_informed
DLPFC	morans_i	500	cellcharter	0.5698121175317763		1	0.9595099914645266		1	0.7646610544981515		1	0.6833094153537878		1	0.7445443980303363		1	0.713926906692062		1	0.9341478016354907		1	0.7392939805951068		1	0.8042452542752349		1	spatially_informed
DLPFC	morans_i	500	scvi	0.8752721112490587		1	0.7329765930569863		1	0.8041243521530225		1	0.5107479846756376		1	0.7085567397886492		1	0.6096523622321435		1	0.8217879821388929		1	0.706888357192583		1	0.7451882321746863		1	spatially_informed
DLPFC	morans_i	5000	cellcharter	0.5254650701295608		1	0.9674750737298684		1	0.7464700719297146		1	0.7040457530303228		1	0.5864254108891762		1	0.6452355819597495		1	0.898365230910289		1	0.695852826944732		1	0.7633569615999177		1	spatially_informed
DLPFC	morans_i	5000	scvi	0.6085217291243654		1	0.6686922361452116		1	0.6386069826347884		1	0.457554249972528		1	0.6251749146323831		1	0.5413645823024555		1	0.7719395038607739		1	0.589985782468622		1	0.6506370229326727		1	spatially_informed
DLPFC	nbumi	100	cellcharter	0.6441150695918484		1	0.8631216145167085		1	0.7536183420542785		1	0.6576854708892529		1	0.55678787778576		1	0.6072366743375064		1	0.8992592870634211		1	0.6804275081958924		1	0.7533714344850685		1	expression_driven
DLPFC	nbumi	100	scvi	0.9449769049112999		1	0.6267650387082241		1	0.7858709718097621		1	0.3342409829160033		1	0.312228826081689		1	0.3232349044988462		1	0.7528824375282102		1	0.5545529381543042		1	0.6206627712789395		1	expression_driven
DLPFC	nbumi	1000	cellcharter	0.59061617817351		1	0.9614948651340659		1	0.7760555216537879		1	0.6986552568118273		1	0.8483051647590454		1	0.7734802107854364		1	0.9524727088885592		1	0.7747678662196121		1	0.8340028137759278		1	expression_driven
DLPFC	nbumi	1000	scvi	0.8184320849814264		1	0.7466258386806016		1	0.7825289618310141		1	0.48349431134026205		1	0.6741283927828519		1	0.578811352061557		1	0.8153443481791947		1	0.6806701569462855		1	0.7255615540239219		1	expression_driven
DLPFC	nbumi	10000	cellcharter	0.5493205780213652		1	0.9573922345871727		1	0.753356406304269		1	0.7202178318433586		1	0.6576643602519467		1	0.6889410960476527		1	0.9071383330818006		1	0.7211487511759609		1	0.7831452784779075		1	expression_driven
