dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	Brennecke	10000	cellcharter	clustering_eval	CHAOS	0.0585034272	0	192.5292484639	28892.62109375	10000	cache_signature=e4d387a58c295d021da3d4c2107d9eb6	-1	-0.0585034272	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9894586182592957
DLPFC	Visium	4	Brennecke	10000	cellcharter	clustering_eval	PAS	0.03825	0	192.5292484639	28892.62109375	10000	cache_signature=e4d387a58c295d021da3d4c2107d9eb6	-1	-0.03825	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9858896130780258
DLPFC	Visium	4	Brennecke	10000	cellcharter	integration_eval	bASW	0.9121234617	0	195.1995171402	28892.62109375	10000	cache_signature=c9ef64f2dc96fc798cccbfbc514c9a36	1	0.9121234617	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.88677164178586
DLPFC	Visium	4	Brennecke	10000	cellcharter	integration_eval	iLISI	0.1266977175	0	195.1995171402	28892.62109375	10000	cache_signature=c9ef64f2dc96fc798cccbfbc514c9a36	1	0.1266977175	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.17395170858410347
DLPFC	Visium	4	Brennecke	10000	cellcharter	integration_eval	dASW	0.5154968509	0	195.1995171402	28892.62109375	10000	cache_signature=c9ef64f2dc96fc798cccbfbc514c9a36	1	0.5154968509	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.8506500507650767
DLPFC	Visium	4	Brennecke	10000	cellcharter	integration_eval	dLISI	0.9308310174	0	195.1995171402	28892.62109375	10000	cache_signature=c9ef64f2dc96fc798cccbfbc514c9a36	1	0.9308310174	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.9571830380307936
DLPFC	Visium	4	Brennecke	10000	cellcharter	integration_eval	ILL	0.6506164688	0	195.1995171402	28892.62109375	10000	cache_signature=c9ef64f2dc96fc798cccbfbc514c9a36	1	0.6506164688	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.8854032748182343
DLPFC	Visium	4	Brennecke	10000	cellcharter	integration_eval	GC	0.8275157868	0	195.1995171402	28892.62109375	10000	cache_signature=c9ef64f2dc96fc798cccbfbc514c9a36	1	0.8275157868	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.7809013543775769
DLPFC	Visium	4	Brennecke	200	cellcharter	alignment_eval	Accuracy	0.6176	0	56.501858783	28892.62109375	200	cache_signature=9c1772f0974957a607021c9b8a2476e9	1	0.6176	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.7267821641579097
DLPFC	Visium	4	Brennecke	200	cellcharter	alignment_eval	Ratio	1.1023591621	0	56.501858783	28892.62109375	200	cache_signature=9c1772f0974957a607021c9b8a2476e9	-1	-1.1023591621	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9367782008936303
