dataset	fs_method	n_features	MethodGroup	CanonicalConfig
DLPFC	statistic_mean	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	statistic_variance	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	triku	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
DLPFC	wilcoxon	2000	label_informed	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml
E8p5Embryo	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
