Method	Dataset	Label	Lineage	Difference
scSEGIndex (N=2000)	Epithelial	Stem Cell	Epithelial	-0.13999999999999999
scSEGIndex (N=2000)	Epithelial	Progenitor Cell	Epithelial	-0.06
Seurat-Dispersion (N=2000)	Immune	Langerhans Cell	Immune	-0.5
Seurat-Dispersion (N=2000)	Immune	T Cell	Immune	0.09
Seurat-Dispersion (N=2000)	Epithelial	Keratinocyte	Epithelial	0.0
Seurat-Dispersion (N=2000)	Epithelial	Merkel Cell	Epithelial	0.07
Seurat-Dispersion (N=2000)	Epithelial	Stem Cell	Epithelial	0.009999999999999995
Seurat-Dispersion (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.040000000000000036
Seurat-MVP (N=2000)	Immune	Langerhans Cell	Immune	-0.3400000000000001
Seurat-MVP (N=2000)	Immune	T Cell	Immune	0.15000000000000002
Seurat-MVP (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.010000000000000002
Seurat-MVP (N=2000)	Epithelial	Merkel Cell	Epithelial	0.13
Seurat-MVP (N=2000)	Epithelial	Stem Cell	Epithelial	0.020000000000000004
Seurat-MVP (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.12
Seurat-scTransform (N=2000)	Immune	Langerhans Cell	Immune	-0.21999999999999997
Seurat-scTransform (N=2000)	Immune	T Cell	Immune	-0.009999999999999995
Seurat-scTransform (N=2000)	Epithelial	Keratinocyte	Epithelial	0.0
Seurat-scTransform (N=2000)	Epithelial	Merkel Cell	Epithelial	0.050000000000000044
Seurat-scTransform (N=2000)	Epithelial	Stem Cell	Epithelial	-0.010000000000000009
Seurat-scTransform (N=2000)	Epithelial	Progenitor Cell	Epithelial	-0.050000000000000044
Seurat-VST (N=2000)	Immune	Langerhans Cell	Immune	-0.21999999999999997
Seurat-VST (N=2000)	Immune	T Cell	Immune	0.24
Seurat-VST (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.16999999999999998
Seurat-VST (N=2000)	Epithelial	Merkel Cell	Epithelial	0.009999999999999898
Seurat-VST (N=2000)	Epithelial	Stem Cell	Epithelial	-0.07999999999999996
Seurat-VST (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.16000000000000003
singleCellHaystack (N=2000)	Immune	Langerhans Cell	Immune	0.03
singleCellHaystack (N=2000)	Immune	T Cell	Immune	-0.57
singleCellHaystack (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.010000000000000009
singleCellHaystack (N=2000)	Epithelial	Merkel Cell	Epithelial	0.07000000000000006
singleCellHaystack (N=2000)	Epithelial	Stem Cell	Epithelial	0.030000000000000027
singleCellHaystack (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.09
Statistic mean (N=2000)	Immune	Langerhans Cell	Immune	0.050000000000000044
Statistic mean (N=2000)	Immune	T Cell	Immune	-0.10999999999999999
Statistic mean (N=2000)	Epithelial	Keratinocyte	Epithelial	0.010000000000000009
Statistic mean (N=2000)	Epithelial	Merkel Cell	Epithelial	-0.020000000000000018
Statistic mean (N=2000)	Epithelial	Stem Cell	Epithelial	0.0
Statistic mean (N=2000)	Epithelial	Progenitor Cell	Epithelial	-0.050000000000000044
Statistic variance (N=2000)	Immune	Langerhans Cell	Immune	0.010000000000000009
Statistic variance (N=2000)	Immune	T Cell	Immune	-0.07999999999999996
Statistic variance (N=2000)	Epithelial	Keratinocyte	Epithelial	0.0
Statistic variance (N=2000)	Epithelial	Merkel Cell	Epithelial	0.0
Statistic variance (N=2000)	Epithelial	Stem Cell	Epithelial	0.019999999999999907
Statistic variance (N=2000)	Epithelial	Progenitor Cell	Epithelial	-0.030000000000000027
Transcription factors (N=2000)	Immune	Langerhans Cell	Immune	0.0
Transcription factors (N=2000)	Immune	T Cell	Immune	0.0
Transcription factors (N=2000)	Epithelial	Keratinocyte	Epithelial	0.0
Transcription factors (N=2000)	Epithelial	Merkel Cell	Epithelial	0.0
Transcription factors (N=2000)	Epithelial	Stem Cell	Epithelial	0.0
Transcription factors (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.0
triku (N=2000)	Immune	Langerhans Cell	Immune	-0.09999999999999998
triku (N=2000)	Immune	T Cell	Immune	0.16999999999999993
triku (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.15000000000000002
triku (N=2000)	Epithelial	Merkel Cell	Epithelial	0.050000000000000044
triku (N=2000)	Epithelial	Stem Cell	Epithelial	-0.15999999999999998
triku (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.05999999999999994
Wilcoxon (N=2000)	Immune	Langerhans Cell	Immune	-0.4099999999999999
Wilcoxon (N=2000)	Immune	T Cell	Immune	0.5
Wilcoxon (N=2000)	Epithelial	Keratinocyte	Epithelial	0.03
Wilcoxon (N=2000)	Epithelial	Merkel Cell	Epithelial	0.28
Wilcoxon (N=2000)	Epithelial	Stem Cell	Epithelial	0.26
Wilcoxon (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.0
