Method	Dataset	Label	Lineage	Value
scanpy-Seurat (N=2000)	Full	T Cell	Immune	0.05
scanpy-Seurat (N=2000)	Full	Keratinocyte	Epithelial	0.05
scanpy-Seurat (N=2000)	Full	Merkel Cell	Epithelial	0.47
scanpy-Seurat (N=2000)	Full	Stem Cell	Epithelial	0.05
scanpy-Seurat (N=2000)	Full	Progenitor Cell	Epithelial	0.63
scanpy-Seurat (N=2000)	Immune	Langerhans Cell	Immune	0.32
scanpy-Seurat (N=2000)	Immune	T Cell	Immune	0.25
scanpy-Seurat (N=2000)	Epithelial	Keratinocyte	Epithelial	0.04
scanpy-Seurat (N=2000)	Epithelial	Merkel Cell	Epithelial	0.56
scanpy-Seurat (N=2000)	Epithelial	Stem Cell	Epithelial	0.07
scanpy-Seurat (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.73
scanpy-Seurat (batch) (N=2000)	Full	Langerhans Cell	Immune	0.75
scanpy-Seurat (batch) (N=2000)	Full	T Cell	Immune	0.03
scanpy-Seurat (batch) (N=2000)	Full	Keratinocyte	Epithelial	0.06
scanpy-Seurat (batch) (N=2000)	Full	Merkel Cell	Epithelial	0.66
scanpy-Seurat (batch) (N=2000)	Full	Stem Cell	Epithelial	0.11
scanpy-Seurat (batch) (N=2000)	Full	Progenitor Cell	Epithelial	0.76
scanpy-Seurat (batch) (N=2000)	Immune	Langerhans Cell	Immune	0.5
scanpy-Seurat (batch) (N=2000)	Immune	T Cell	Immune	0.18
scanpy-Seurat (batch) (N=2000)	Epithelial	Keratinocyte	Epithelial	0.04
scanpy-Seurat (batch) (N=2000)	Epithelial	Merkel Cell	Epithelial	0.64
scanpy-Seurat (batch) (N=2000)	Epithelial	Stem Cell	Epithelial	0.09
scanpy-Seurat (batch) (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.82
scanpy-SeuratV3 (N=2000)	Full	Langerhans Cell	Immune	0.42
scanpy-SeuratV3 (N=2000)	Full	T Cell	Immune	0.19
scanpy-SeuratV3 (N=2000)	Full	Keratinocyte	Epithelial	0.47
scanpy-SeuratV3 (N=2000)	Full	Merkel Cell	Epithelial	0.56
scanpy-SeuratV3 (N=2000)	Full	Stem Cell	Epithelial	0.42
scanpy-SeuratV3 (N=2000)	Full	Progenitor Cell	Epithelial	0.48
scanpy-SeuratV3 (N=2000)	Immune	Langerhans Cell	Immune	0.2
scanpy-SeuratV3 (N=2000)	Immune	T Cell	Immune	0.43
scanpy-SeuratV3 (N=2000)	Epithelial	Keratinocyte	Epithelial	0.3
scanpy-SeuratV3 (N=2000)	Epithelial	Merkel Cell	Epithelial	0.57
scanpy-SeuratV3 (N=2000)	Epithelial	Stem Cell	Epithelial	0.34
scanpy-SeuratV3 (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.64
scanpy-SeuratV3 (batch) (N=2000)	Full	Langerhans Cell	Immune	0.41
scanpy-SeuratV3 (batch) (N=2000)	Full	T Cell	Immune	0.06
scanpy-SeuratV3 (batch) (N=2000)	Full	Keratinocyte	Epithelial	0.08
scanpy-SeuratV3 (batch) (N=2000)	Full	Merkel Cell	Epithelial	0.3
scanpy-SeuratV3 (batch) (N=2000)	Full	Stem Cell	Epithelial	0.15
scanpy-SeuratV3 (batch) (N=2000)	Full	Progenitor Cell	Epithelial	0.31
scanpy-SeuratV3 (batch) (N=2000)	Immune	Langerhans Cell	Immune	0.4
scanpy-SeuratV3 (batch) (N=2000)	Immune	T Cell	Immune	0.18
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Keratinocyte	Epithelial	0.1
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Merkel Cell	Epithelial	0.43
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Stem Cell	Epithelial	0.17
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.44
scPNMF (N=2000)	Full	Langerhans Cell	Immune	1.0
scPNMF (N=2000)	Full	T Cell	Immune	0.71
scPNMF (N=2000)	Full	Keratinocyte	Epithelial	1.0
scPNMF (N=2000)	Full	Merkel Cell	Epithelial	0.91
scPNMF (N=2000)	Full	Stem Cell	Epithelial	0.87
scPNMF (N=2000)	Full	Progenitor Cell	Epithelial	0.95
scPNMF (N=2000)	Immune	Langerhans Cell	Immune	1.0
scPNMF (N=2000)	Immune	T Cell	Immune	0.23
scPNMF (N=2000)	Epithelial	Keratinocyte	Epithelial	0.96
scPNMF (N=2000)	Epithelial	Merkel Cell	Epithelial	0.81
scPNMF (N=2000)	Epithelial	Stem Cell	Epithelial	0.7
scPNMF (N=2000)	Epithelial	Progenitor Cell	Epithelial	1.0
scry (N=2000)	Full	Langerhans Cell	Immune	1.0
scry (N=2000)	Full	T Cell	Immune	0.6
scry (N=2000)	Full	Keratinocyte	Epithelial	0.99
scry (N=2000)	Full	Merkel Cell	Epithelial	0.7
scry (N=2000)	Full	Stem Cell	Epithelial	0.94
scry (N=2000)	Full	Progenitor Cell	Epithelial	0.97
scry (N=2000)	Immune	Langerhans Cell	Immune	1.0
scry (N=2000)	Immune	T Cell	Immune	0.57
scry (N=2000)	Epithelial	Keratinocyte	Epithelial	1.0
scry (N=2000)	Epithelial	Merkel Cell	Epithelial	0.7
scry (N=2000)	Epithelial	Stem Cell	Epithelial	0.99
scry (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.91
scSEGIndex (N=2000)	Full	Langerhans Cell	Immune	0.22
scSEGIndex (N=2000)	Full	T Cell	Immune	0.3
scSEGIndex (N=2000)	Full	Keratinocyte	Epithelial	0.16
scSEGIndex (N=2000)	Full	Merkel Cell	Epithelial	0.14
scSEGIndex (N=2000)	Full	Stem Cell	Epithelial	0.21
scSEGIndex (N=2000)	Full	Progenitor Cell	Epithelial	0.12
scSEGIndex (N=2000)	Immune	Langerhans Cell	Immune	0.96
scSEGIndex (N=2000)	Immune	T Cell	Immune	0.24
scSEGIndex (N=2000)	Epithelial	Keratinocyte	Epithelial	0.06
scSEGIndex (N=2000)	Epithelial	Merkel Cell	Epithelial	0.13
scSEGIndex (N=2000)	Epithelial	Stem Cell	Epithelial	0.07
scSEGIndex (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.06
Seurat-Dispersion (N=2000)	Full	Langerhans Cell	Immune	0.65
Seurat-Dispersion (N=2000)	Full	T Cell	Immune	0.04
Seurat-Dispersion (N=2000)	Full	Keratinocyte	Epithelial	0.06
Seurat-Dispersion (N=2000)	Full	Merkel Cell	Epithelial	0.45
Seurat-Dispersion (N=2000)	Full	Stem Cell	Epithelial	0.07
Seurat-Dispersion (N=2000)	Full	Progenitor Cell	Epithelial	0.75
Seurat-Dispersion (N=2000)	Immune	Langerhans Cell	Immune	0.15
Seurat-Dispersion (N=2000)	Immune	T Cell	Immune	0.13
Seurat-Dispersion (N=2000)	Epithelial	Keratinocyte	Epithelial	0.06
Seurat-Dispersion (N=2000)	Epithelial	Merkel Cell	Epithelial	0.52
Seurat-Dispersion (N=2000)	Epithelial	Stem Cell	Epithelial	0.08
Seurat-Dispersion (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.79
Seurat-MVP (N=2000)	Full	Langerhans Cell	Immune	0.56
Seurat-MVP (N=2000)	Full	T Cell	Immune	0.05
Seurat-MVP (N=2000)	Full	Keratinocyte	Epithelial	0.05
Seurat-MVP (N=2000)	Full	Merkel Cell	Epithelial	0.48
Seurat-MVP (N=2000)	Full	Stem Cell	Epithelial	0.05
Seurat-MVP (N=2000)	Full	Progenitor Cell	Epithelial	0.63
Seurat-MVP (N=2000)	Immune	Langerhans Cell	Immune	0.22
Seurat-MVP (N=2000)	Immune	T Cell	Immune	0.2
Seurat-MVP (N=2000)	Epithelial	Keratinocyte	Epithelial	0.04
Seurat-MVP (N=2000)	Epithelial	Merkel Cell	Epithelial	0.61
Seurat-MVP (N=2000)	Epithelial	Stem Cell	Epithelial	0.07
Seurat-MVP (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.75
Seurat-scTransform (N=2000)	Full	Langerhans Cell	Immune	0.89
Seurat-scTransform (N=2000)	Full	T Cell	Immune	0.11
Seurat-scTransform (N=2000)	Full	Keratinocyte	Epithelial	0.07
Seurat-scTransform (N=2000)	Full	Merkel Cell	Epithelial	0.72
Seurat-scTransform (N=2000)	Full	Stem Cell	Epithelial	0.17
Seurat-scTransform (N=2000)	Full	Progenitor Cell	Epithelial	0.92
Seurat-scTransform (N=2000)	Immune	Langerhans Cell	Immune	0.67
