Dataset	Platform	NSlices	Method	MethodBase	SelFeatures	Integration	IntegrationLabel	Task	TaskLabel	Type	Metric	MetricName	Value	ValueRaw	HigherBetter	Seed	Runtime	EffectiveFeatures	Notes
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	integration_eval	Integration	Integration	dASW	dASW	0.5179217029	0.5179217029	True	0	711.1631712671	10000	cache_signature=15f9e71f3f597a199f332f2c62397567
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	integration_eval	Integration	Integration	dLISI	dLISI	0.9314919599	0.9314919599	True	0	711.1631712671	10000	cache_signature=15f9e71f3f597a199f332f2c62397567
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	integration_eval	Integration	Integration	ILL	ILL	0.6497850692	0.6497850692	True	0	711.1631712671	10000	cache_signature=15f9e71f3f597a199f332f2c62397567
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	integration_eval	Integration	Integration	GC	GC	0.9774942686	0.9774942686	True	0	711.1631712671	10000	cache_signature=15f9e71f3f597a199f332f2c62397567
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Accuracy	Accuracy	0.5628189364	0.5628189364	True	0	217.8076393791	200	cache_signature=18b6f62a0b942482097cedbc2a000a98
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Ratio	Ratio	-1.2279332752	1.2279332752	False	0	217.8076393791	200	cache_signature=18b6f62a0b942482097cedbc2a000a98
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	silhouette	Silhouette	0.0657225251	0.0657225251	True	0	218.1789595224	200	cache_signature=d8a07ae30c19db8262b302faa39141d4
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	ari	ARI	0.1917240092	0.1917240092	True	0	218.1789595224	200	cache_signature=d8a07ae30c19db8262b302faa39141d4
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	nmi	NMI	0.3432169461	0.3432169461	True	0	218.1789595224	200	cache_signature=d8a07ae30c19db8262b302faa39141d4
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	CHAOS	CHAOS	-0.0585444769	0.0585444769	False	0	218.1789595224	200	cache_signature=d8a07ae30c19db8262b302faa39141d4
