dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
E8p5Embryo	scanpy_seurat	2000	graphst	0.5848368160258742	0.006628484241423489	3			0	0.5848368160258742	0.006628484241423489	3	0.619760401415316	0.0022070625627547435	3			0	0.619760401415316	0.0022070625627547435	3			0	0.6022986087205952	0.00294700967642087	3			0	expression_driven
E8p5Embryo	scanpy_seurat_batch	2000	graphst	0.5613996152131714	0.007114450296703947	3			0	0.5613996152131714	0.007114450296703947	3	0.6403768472733417	0.011064263952958509	3			0	0.6403768472733417	0.011064263952958509	3			0	0.6008882312432565	0.00500729559785479	3			0	expression_driven
E8p5Embryo	scanpy_seurat_v3	2000	graphst	0.5149166699625445	0.0026952944748654594	3			0	0.5149166699625445	0.0026952944748654594	3	0.7490116860325967	0.012734481641859882	3			0	0.7490116860325967	0.012734481641859882	3			0	0.6319641779975705	0.00767631989687509	3			0	expression_driven
E8p5Embryo	scanpy_seurat_v3_batch	2000	graphst	0.5264612158362441	0.0009116349901097631	3			0	0.5264612158362441	0.0009116349901097631	3	0.7498860772834601	0.00844222292953756	3			0	0.7498860772834601	0.00844222292953756	3			0	0.6381736465598521	0.004107363358644787	3			0	expression_driven
E8p5Embryo	scry	2000	graphst	0.4702954375633741	0.002292643055081207	3			0	0.4702954375633741	0.002292643055081207	3	0.6402141755596701	0.0049253857246974175	3			0	0.6402141755596701	0.0049253857246974175	3			0	0.555254806561522	0.00234074171248245	3			0	expression_driven
E8p5Embryo	seurat_disp	2000	graphst	0.5502135053796982	0.010045693878888626	3			0	0.5502135053796982	0.010045693878888626	3	0.6220879504951237	0.005529729352500003	3			0	0.6220879504951237	0.005529729352500003	3			0	0.5861507279374109	0.006969441606560355	3			0	expression_driven
E8p5Embryo	seurat_mvp	2000	graphst	0.5497633236334377	0.0020813940397757125	3			0	0.5497633236334377	0.0020813940397757125	3	0.6373063339667683	0.01322827630213741	3			0	0.6373063339667683	0.01322827630213741	3			0	0.593534828800103	0.005793055521196944	3			0	expression_driven
E8p5Embryo	seurat_sct	2000	graphst	0.8039642688089584	0.005934936227260551	3			0	0.8039642688089584	0.005934936227260551	3	0.37863386012450834	0.008215798736126196	3			0	0.37863386012450834	0.008215798736126196	3			0	0.5912990644667334	0.00309825113146385	3			0	expression_driven
E8p5Embryo	seurat_vst	2000	graphst	0.5146046595778714	0.0026595916650984496	3			0	0.5146046595778714	0.0026595916650984496	3	0.7444992432667061	0.008015031579759958	3			0	0.7444992432667061	0.008015031579759958	3			0	0.6295519514222887	0.0035420962575387414	3			0	expression_driven
E8p5Embryo	singleCellHaystack	2000	graphst	0.4785322340065175	0.011776317903408178	3			0	0.4785322340065175	0.011776317903408178	3	0.7130874702501049	0.003304358276028961	3			0	0.7130874702501049	0.003304358276028961	3			0	0.5958098521283112	0.00428058952633888	3			0	expression_driven
