dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	GC		0	24.9886899972	10711.1640625	2000	cache_signature=9cb161667eb6a6f92684f5846db9be24	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	silhouette	0.1742991507	0	24.6096820077	10711.1640625	2000	cache_signature=08c614fdc60ee6850043abfdbfd02b67	1	0.1742991507	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.3748754580980774
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	CHAOS	0.0546406765	0	24.6096820077	10711.1640625	2000	cache_signature=08c614fdc60ee6850043abfdbfd02b67	-1	-0.0546406765	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9834899653902738
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	PAS	0.15875	0	24.6096820077	10711.1640625	2000	cache_signature=08c614fdc60ee6850043abfdbfd02b67	-1	-0.15875	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.923789907346645
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	bASW	0.9986856988	2	25.8939676732	10893.0390625	2000	cache_signature=fc3c8a11b61409daed4b64051252e8b9	1	0.9986856988	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.9908631576942252
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	iLISI	0.1514478688	2	25.8939676732	10893.0390625	2000	cache_signature=fc3c8a11b61409daed4b64051252e8b9	1	0.1514478688	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.041337257748223825
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	dASW		2	25.8939676732	10893.0390625	2000	cache_signature=fc3c8a11b61409daed4b64051252e8b9	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	dLISI		2	25.8939676732	10893.0390625	2000	cache_signature=fc3c8a11b61409daed4b64051252e8b9	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	ILL		2	25.8939676732	10893.0390625	2000	cache_signature=fc3c8a11b61409daed4b64051252e8b9	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	GC		2	25.8939676732	10893.0390625	2000	cache_signature=fc3c8a11b61409daed4b64051252e8b9	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	silhouette	0.1631566882	2	25.6144904885	10893.0390625	2000	cache_signature=b7c20bb5a8fe4f3697a225ca297e8a68	1	0.1631566882	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.3610796067910598
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	CHAOS	0.0547142801	2	25.6144904885	10893.0390625	2000	cache_signature=b7c20bb5a8fe4f3697a225ca297e8a68	-1	-0.0547142801	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9826093538313435
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	PAS	0.172	2	25.6144904885	10893.0390625	2000	cache_signature=b7c20bb5a8fe4f3697a225ca297e8a68	-1	-0.172	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.9089036607399645
