dataset	fs_method	n_features	integration_method	random_seed	Accuracy	CHAOS	GC	ILL	PAS	Ratio	ari	bASW	dASW	dLISI	iLISI	nmi	silhouette	BatchMixing	BiologicalConservation	Integration	LabelIndependentClustering	LabelAgreement	Clustering	Alignment	CoreOverall	AlignmentEligibleOverall	MethodGroup
DLPFC	nnsvg	2000	graphst	2	0.8585061062198239	0.9466232171898902	0.9069708038764888	0.8844573930327756	0.925565108893326	0.8262667817959857	0.5204768661637383	0.8636563241916088	0.9133919027296894	0.9586404029532759	0.22132261674751416	0.6864005729122905	0.3115743958753013	0.5424894704695614	0.9158651256480574	0.7291772980588094	0.7279209073195059	0.6034387195380144	0.6656798134287601	0.8423864440079047	0.6974285557437847	0.7457478518318247	spatially_informed
DLPFC	osca	2000	graphst	0	0.7322351604657769	0.9581151196252616	0.9761748950519478	0.8570005457805491	0.9359658854424647	0.8087999988400536	0.5405209428651854	0.8470322897269981	0.8767944167741405	0.9245671623628209	0.19657514773313667	0.6121237695146523	0.2423669067540943	0.5218037187300674	0.9086342549923645	0.715218986861216	0.7121493039406069	0.5763223561899189	0.6442358300652629	0.7705175796529152	0.6797274084632394	0.7099907988597981	expression_driven
DLPFC	osca	2000	graphst	1	0.7470604941777903	0.9611304701136881	0.9367561294155717	0.8478747696846904	0.9601996949404965	0.8122802146293674	0.44418148525665324	0.8540443420502859	0.8887832947549356	0.9318987541114149	0.20118939124912066	0.6020830595456905	0.26888529957127455	0.5276168666497033	0.9013282369916531	0.7144725518206783	0.7300718215418197	0.5231322724011719	0.6266020469714958	0.7796703544035788	0.670537299396087	0.7069149843985842	expression_driven
DLPFC	osca	2000	graphst	2	0.7516614598125533	0.9438416668727386	0.9045555523638615	0.8801735882063887	0.9441824989075478	0.8092413141129602	0.46259040609292645	0.8485473778567301	0.896948118589613	0.9307526742067995	0.20539459700584808	0.6028224278620512	0.26193075729489024	0.5269709874312891	0.9031074833416657	0.7150392353864774	0.7166516410250588	0.5327064169774889	0.6246790290012738	0.7804513869627567	0.6698591321938756	0.7067232171168359	expression_driven
DLPFC	scPNMF	2000	graphst	0	0.6715705765407556	0.9414602547057798	0.9004812656467915	0.7916456745352732	0.9205727361297699	0.8144485523624435	0.47243693263464	0.8345395366429994	0.8668354282570828	0.8923303981659602	0.22295642037788851	0.5535243139937255	0.2491402993437698	0.528747978510444	0.862823191651277	0.6957855850808605	0.7037244300597733	0.5129806233141827	0.608352526686978	0.7430095644515995	0.6520690558839193	0.6823825587398127	expression_driven
DLPFC	scPNMF	2000	graphst	1	0.7446748082930986	0.9693278065864297	0.9193938028653269	0.8381354654794001	0.9262931632130749	0.8113755814482027	0.5022080842179226	0.831301697015644	0.8713870895268854	0.9178950362006262	0.20177582675445535	0.6203692239060934	0.2818198850008342	0.5165387618850497	0.8867028485180597	0.7016208052015547	0.7258136182667796	0.561288654062008	0.6435511361643937	0.7780251948706507	0.6725859706829742	0.7077323787455331	expression_driven
DLPFC	scPNMF	2000	graphst	2	0.7024140869071286	0.9554020435945138	0.9812724952687504	0.8341848504083149	0.9346137845272714	0.8153923587796861	0.5289052157705266	0.8336878400503833	0.8700243435142226	0.9090371730789021	0.21532985694116075	0.6156636135210214	0.3079188674839453	0.5245088484957721	0.8986297155675476	0.7115692820316598	0.7326448985352435	0.572284414645774	0.6524646565905088	0.7589032228434074	0.6820169693110842	0.7076457204885253	expression_driven
DLPFC	scanpy_cell_ranger	2000	graphst	0	0.7133200795228629	0.9346879305348157	0.9392670895386608	0.7913995207541693	0.9181805574722961	0.8606832016712588	0.4032080937715239	0.9178853146901217	0.819638912923308	0.8962159116413225	0.2729753394670148	0.5208611649764235	0.15973865185691344	0.5954303270785682	0.8616303587143652	0.7285303428964667	0.6708690466213417	0.4620346293739737	0.5664518379976577	0.7870016405970608	0.6474910904470622	0.6939946071637285	expression_driven
DLPFC	scanpy_cell_ranger	2000	graphst	1	0.6899744390798068	0.9580954160236433	0.9564968738942743	0.7697074589593701	0.9159963943882404	0.8594846597789375	0.467507511741014	0.9135005792873361	0.8288252990395167	0.892347799720616	0.27095704513707547	0.5547441585362722	0.11623245363445407	0.5922288122122058	0.8618443579034443	0.7270365850578251	0.6634414213487793	0.5111258351386432	0.5872836282437113	0.7747295494293722	0.6571601066507682	0.6963499209103029	expression_driven
DLPFC	scanpy_cell_ranger	2000	graphst	2	0.7117864243112753	0.9596456378965762	0.9745992233759222	0.7827482648569457	0.9263971709373792	0.8532785278337262	0.5397153804347964	0.9199185260239087	0.8180691268252676	0.8946172227537087	0.2738441987050189	0.5681810428672458	0.1661198923356653	0.5968813623644638	0.8675084594529611	0.7321949109087125	0.6840542337232068	0.553948211651021	0.619001222687114	0.7825324760725008	0.6755980667979132	0.7112428698894423	expression_driven
DLPFC	scanpy_cell_ranger_batch	2000	graphst	0	0.7313831297926725	0.9430011743385245	0.977737159629786	0.7493012307296154	0.8930106780810977	0.8630977979210953	0.5601437919192913	0.9291499857829957	0.7957855951687468	0.8922887224043919	0.31372631492264497	0.6559124932738596	0.12393646905678858	0.6214381503528204	0.8537781769831351	0.7376081636679777	0.6533161071588035	0.6080281425965754	0.6306721248776894	0.797240463856884	0.6841401442728335	0.7218402508008502	expression_driven
