graphst_meta	primary_integrator	primary_meta	graphst_feature_hash	primary_feature_hash	status
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/dubstepr/n2000/seed0/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/dubstepr/n2000/seed0/embedding.meta.json	d42f54a7de16b1ef602e07d29b420f8c	d42f54a7de16b1ef602e07d29b420f8c	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/dubstepr/n2000/seed0/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/dubstepr/n2000/seed0/embedding.meta.json	d42f54a7de16b1ef602e07d29b420f8c	d42f54a7de16b1ef602e07d29b420f8c	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/dubstepr/n2000/seed2/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/dubstepr/n2000/seed2/embedding.meta.json	f8ba64e2ebecda3607afe422ea5323b5	f8ba64e2ebecda3607afe422ea5323b5	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/dubstepr/n2000/seed2/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/dubstepr/n2000/seed2/embedding.meta.json	f8ba64e2ebecda3607afe422ea5323b5	f8ba64e2ebecda3607afe422ea5323b5	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/dubstepr/n2000/seed1/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/dubstepr/n2000/seed1/embedding.meta.json	f32a0710ea75f28b53d4b7821e02dc4b	f32a0710ea75f28b53d4b7821e02dc4b	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/dubstepr/n2000/seed1/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/dubstepr/n2000/seed1/embedding.meta.json	f32a0710ea75f28b53d4b7821e02dc4b	f32a0710ea75f28b53d4b7821e02dc4b	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/anticor/n2000/seed0/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/anticor/n2000/seed0/embedding.meta.json	9cc9d7c1845a2d39c14367db873fb3c2	9cc9d7c1845a2d39c14367db873fb3c2	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/anticor/n2000/seed0/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/anticor/n2000/seed0/embedding.meta.json	9cc9d7c1845a2d39c14367db873fb3c2	9cc9d7c1845a2d39c14367db873fb3c2	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/anticor/n2000/seed2/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/anticor/n2000/seed2/embedding.meta.json	966b4651da9a5bd403e0444775dcb6d1	966b4651da9a5bd403e0444775dcb6d1	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/anticor/n2000/seed2/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/anticor/n2000/seed2/embedding.meta.json	966b4651da9a5bd403e0444775dcb6d1	966b4651da9a5bd403e0444775dcb6d1	PASS
