dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	iLISI	0.1987082793	2	25.3585703969	20530.10546875	2000	cache_signature=430eee28db780daba59764d0d05dc7ca	1	0.1987082793
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	dASW	0.5111640021	2	25.3585703969	20530.10546875	2000	cache_signature=430eee28db780daba59764d0d05dc7ca	1	0.5111640021
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	dLISI	0.9016567393	2	25.3585703969	20530.10546875	2000	cache_signature=430eee28db780daba59764d0d05dc7ca	1	0.9016567393
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	ILL	0.5999814066	2	25.3585703969	20530.10546875	2000	cache_signature=430eee28db780daba59764d0d05dc7ca	1	0.5999814066
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	GC	0.9746655658	2	25.3585703969	20530.10546875	2000	cache_signature=430eee28db780daba59764d0d05dc7ca	1	0.9746655658
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	silhouette	0.1705507338	2	23.5282035964	20530.10546875	2000	cache_signature=badcf6a027f0311c64b2cce7e7fa4e7c	1	0.1705507338
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	ari	0.2123892063	2	23.5282035964	20530.10546875	2000	cache_signature=badcf6a027f0311c64b2cce7e7fa4e7c	1	0.2123892063
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	nmi	0.3109971462	2	23.5282035964	20530.10546875	2000	cache_signature=badcf6a027f0311c64b2cce7e7fa4e7c	1	0.3109971462
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	CHAOS	0.0594283685	2	23.5282035964	20530.10546875	2000	cache_signature=badcf6a027f0311c64b2cce7e7fa4e7c	-1	-0.0594283685
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	PAS	0.0859166667	2	23.5282035964	20530.10546875	2000	cache_signature=badcf6a027f0311c64b2cce7e7fa4e7c	-1	-0.0859166667
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	alignment_eval	Accuracy	0.6088	2	22.6400354067	20530.10546875	2000	cache_signature=cb2fb5ecf1aa11c2403a3a29db9ae557	1	0.6088
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	alignment_eval	Ratio	1.5888276746	2	22.6400354067	20530.10546875	2000	cache_signature=cb2fb5ecf1aa11c2403a3a29db9ae557	-1	-1.5888276746
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	bASW	0.9321066031	1	25.0684994701	14314.60546875	2000	cache_signature=cda3877f1061cd515d24ff4a2eba5a2a	1	0.9321066031
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	iLISI	0.1966269862	1	25.0684994701	14314.60546875	2000	cache_signature=cda3877f1061cd515d24ff4a2eba5a2a	1	0.1966269862
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	dASW	0.5125944363	1	25.0684994701	14314.60546875	2000	cache_signature=cda3877f1061cd515d24ff4a2eba5a2a	1	0.5125944363
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	dLISI	0.9005985132	1	25.0684994701	14314.60546875	2000	cache_signature=cda3877f1061cd515d24ff4a2eba5a2a	1	0.9005985132
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	ILL	0.5935489683	1	25.0684994701	14314.60546875	2000	cache_signature=cda3877f1061cd515d24ff4a2eba5a2a	1	0.5935489683
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	integration_eval	GC	0.9609134438	1	25.0684994701	14314.60546875	2000	cache_signature=cda3877f1061cd515d24ff4a2eba5a2a	1	0.9609134438
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	silhouette	0.1281432807	1	22.8277189974	14315.7421875	2000	cache_signature=2352c09a0aee8fcfde81f34a1893e3d5	1	0.1281432807
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	ari	0.1853482944	1	22.8277189974	14315.7421875	2000	cache_signature=2352c09a0aee8fcfde81f34a1893e3d5	1	0.1853482944
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	nmi	0.3040774376	1	22.8277189974	14315.7421875	2000	cache_signature=2352c09a0aee8fcfde81f34a1893e3d5	1	0.3040774376
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	CHAOS	0.0594764638	1	22.8277189974	14315.7421875	2000	cache_signature=2352c09a0aee8fcfde81f34a1893e3d5	-1	-0.0594764638
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	clustering_eval	PAS	0.09425	1	22.8277189974	14315.7421875	2000	cache_signature=2352c09a0aee8fcfde81f34a1893e3d5	-1	-0.09425
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	alignment_eval	Accuracy	0.596	1	21.7141384343	14315.7421875	2000	cache_signature=d8f60d568708eb55dfe6acc6296aa571	1	0.596
