Method1	Method2	JaccardSD	Jaccard	PropSD	Prop
hotspot-N2000	somde-N2000	0.15212361753202502	0.36747157436029054	0.15545248853098553	0.5226428571428572
hotspot-N2000	sparkx-N2000	0.14291917522784262	0.26045221532333745	0.17066996834603942	0.39671428571428574
hotspot-N2000	spatialde-N2000	0.1960319996320913	0.3657403421163912	0.19440933129672067	0.5117142857142857
hotspot-N2000	statistic_mean-N2000	0.10061826967616246	0.2164133509382731	0.1398372353164649	0.3459285714285714
hotspot-N2000	statistic_variance-N2000	0.11696714919864197	0.23652896481517094	0.15631709987805464	0.36992857142857144
hotspot-N2000	triku-N2000	0.054995210244273826	0.22636108117126044	0.07479073981386172	0.36628571428571427
morans_i-N2000	Brennecke-N2000	0.057715781414573473	0.0931405681465981	0.09274106297592649	0.16621428571428573
morans_i-N2000	TFs-N2000	0.021364798740510824	0.03856613793140963	0.03027217801719529	0.061285714285714284
morans_i-N2000	anticor-N2000	0.22736068858934258	0.4232154587315489	0.25439945623631616	0.5599999999999999
morans_i-N2000	dubstepr-N2000	0.13030977685688755	0.5382384314397578	0.16194336899640183	0.6327857142857143
morans_i-N2000	hotspot-N2000	0.22838728552021823	0.38881989802652495	0.21761141098406628	0.5293571428571429
morans_i-N2000	morans_i-N2000	0	1	0	1
morans_i-N2000	nbumi-N2000	0.14014657008368098	0.43500502533872815	0.13243012533120285	0.5952142857142857
morans_i-N2000	nnsvg-N2000	0.12314370338512924	0.667331826920838	0.09367249176938616	0.7945714285714286
morans_i-N2000	osca-N2000	0.16223155089687002	0.27753837217632377	0.1812819758329679	0.4147857142857143
morans_i-N2000	scPNMF-N2000	0.11658241651545023	0.3246542835680254	0.13806727138815855	0.47978571428571426
morans_i-N2000	scanpy_cell_ranger-N2000	0.08151101004903481	0.1498091320810628	0.11778738917056888	0.25342857142857145
morans_i-N2000	scanpy_cell_ranger_batch-N2000	0.08775636256825657	0.1549259290050782	0.12510452772439076	0.2601428571428571
morans_i-N2000	scanpy_pearson-N2000	0.155359552580441	0.17914642923907903	0.20511071342546874	0.2807142857142857
morans_i-N2000	scanpy_pearson_batch-N2000	0.13110318354650752	0.13875354687699692	0.1898396252981272	0.225
morans_i-N2000	scanpy_seurat-N2000	0.04351000619124907	0.08329893412365096	0.07063681422466278	0.15135714285714286
morans_i-N2000	scanpy_seurat_batch-N2000	0.07077202090766024	0.11006052857859253	0.11271450449613626	0.19214285714285714
morans_i-N2000	scanpy_seurat_v3-N2000	0.12042355785422547	0.2390076856427241	0.14614368337521877	0.3736428571428571
morans_i-N2000	scanpy_seurat_v3_batch-N2000	0.13480740098087424	0.1568775736655549	0.18501933618382907	0.2527857142857143
morans_i-N2000	scry-N2000	0.07416105265713507	0.5022389916284089	0.06793247697950834	0.6657857142857143
morans_i-N2000	scsegindex-N500	0.05587159541284261	0.05758220066224474	0.06126979757791024	0.06528571428571428
morans_i-N2000	seurat_disp-N2000	0.08726354450581174	0.11763869980123257	0.13055198745546323	0.2017857142857143
morans_i-N2000	seurat_mvp-N2000	0.0475819026530331	0.11256635487326767	0.049807845050467994	0.16278571428571428
morans_i-N2000	seurat_sct-N2000	0.21009054325610765	0.2416623399462351	0.27703450876672214	0.3494285714285714
morans_i-N2000	seurat_vst-N2000	0.12053102948795198	0.2391292496117306	0.1462141286899848	0.3737857142857143
morans_i-N2000	singleCellHaystack-N2000	0.10319365024750564	0.4694139554770278	0.0985118436196041	0.633
morans_i-N2000	somde-N2000	0.14489371783945135	0.4532769460691058	0.1412122684539299	0.6117857142857143
morans_i-N2000	sparkx-N2000	0.06974590898042685	0.5356836140991241	0.058896600273780866	0.6953571428571429
morans_i-N2000	spatialde-N2000	0.14909572057901258	0.5362425245191316	0.12194192606865505	0.6880000000000001
morans_i-N2000	statistic_mean-N2000	0.0838995524992348	0.4165329328131225	0.08503668676070404	0.5837857142857142
morans_i-N2000	statistic_variance-N2000	0.06617832421577517	0.4290413796889786	0.06559707455730165	0.5978571428571429
morans_i-N2000	triku-N2000	0.038846494765338115	0.257407005810616	0.04842753545738406	0.40814285714285714
nbumi-N2000	Brennecke-N2000	0.04180637986190521	0.08782436039366655	0.06842566352306295	0.15921428571428572
nbumi-N2000	TFs-N2000	0.027072347608690404	0.04358607032276225	0.037884536360342266	0.06871428571428571
nbumi-N2000	anticor-N2000	0.17272191934745953	0.32816328366463	0.21296302495973332	0.47050000000000003
nbumi-N2000	dubstepr-N2000	0.18475522359696195	0.4155356319151286	0.22138817987976728	0.5248571428571429
nbumi-N2000	hotspot-N2000	0.1410842299850027	0.29264634842658593	0.15824637963209984	0.438
nbumi-N2000	morans_i-N2000	0.14014657008368098	0.43500502533872815	0.13243012533120285	0.5952142857142857
nbumi-N2000	nbumi-N2000	0	1	0	1
nbumi-N2000	nnsvg-N2000	0.17792030460899988	0.41326160536196926	0.17805169126381462	0.5657142857142857
nbumi-N2000	osca-N2000	0.146747404791513	0.21546356622018892	0.18635826990478518	0.3352857142857143
nbumi-N2000	scPNMF-N2000	0.0795156615889525	0.18900606000562753	0.11602939898392747	0.3112857142857143
nbumi-N2000	scanpy_cell_ranger-N2000	0.07303880230707711	0.15088015994241127	0.10880405060737136	0.2562857142857143
nbumi-N2000	scanpy_cell_ranger_batch-N2000	0.07833772155915464	0.15346413674553383	0.11463435660518934	0.25942857142857145
nbumi-N2000	scanpy_pearson-N2000	0.1099203821340199	0.152195988596575	0.15270556013203349	0.2517142857142857
nbumi-N2000	scanpy_pearson_batch-N2000	0.08604407207431974	0.12618926000339073	0.13031258207716956	0.21557142857142858
nbumi-N2000	scanpy_seurat-N2000	0.02591670168927927	0.07923041629516586	0.04368106814497231	0.14592857142857144
nbumi-N2000	scanpy_seurat_batch-N2000	0.057756484158704366	0.10497501427322202	0.08944318494627376	0.186
nbumi-N2000	scanpy_seurat_v3-N2000	0.07475943477706831	0.34822119918866884	0.08256094430061664	0.5126428571428572
nbumi-N2000	scanpy_seurat_v3_batch-N2000	0.10595782563577148	0.1984540789960973	0.14602075031929374	0.3201428571428571
nbumi-N2000	scry-N2000	0.1356748064003959	0.32562393431622527	0.15520493364764995	0.4777142857142857
nbumi-N2000	scsegindex-N500	0.024385198828275473	0.027303340215358407	0.028476180522374436	0.03264285714285714
nbumi-N2000	seurat_disp-N2000	0.05279396731651675	0.0967431184367145	0.08460025047807115	0.17292857142857143
nbumi-N2000	seurat_mvp-N2000	0.032545082868056574	0.09849592524361517	0.04606581730317529	0.14835714285714285
nbumi-N2000	seurat_sct-N2000	0.17797772849114935	0.20033904452606038	0.24932941014229498	0.30228571428571427
nbumi-N2000	seurat_vst-N2000	0.07475943477706831	0.34822119918866884	0.08256094430061664	0.5126428571428572
nbumi-N2000	singleCellHaystack-N2000	0.11097477844119795	0.394163607678363	0.11356967653635114	0.5577142857142857
nbumi-N2000	somde-N2000	0.10101951649010232	0.32762607080177564	0.11275262640801216	0.4862142857142857
nbumi-N2000	sparkx-N2000	0.1118422198853364	0.34433722151920343	0.12136882984169724	0.5036428571428572
nbumi-N2000	spatialde-N2000	0.13470497242436122	0.3691856793423306	0.14066580624877906	0.5274285714285715
nbumi-N2000	statistic_mean-N2000	0.0772092243208177	0.2560437802453961	0.1028550181658861	0.40228571428571425
nbumi-N2000	statistic_variance-N2000	0.10047654409604248	0.27721235765854835	0.1256084240426421	0.42564285714285716
nbumi-N2000	triku-N2000	0.0537496690600641	0.30671458676342195	0.061276597723530876	0.4672857142857143
nnsvg-N2000	Brennecke-N2000	0.05748364880133134	0.076768849347763	0.09567996008519632	0.1382142857142857
nnsvg-N2000	TFs-N2000	0.008882070997880201	0.027200811995007044	0.012688108418440284	0.04428571428571428
nnsvg-N2000	anticor-N2000	0.23790228497685473	0.43521866183796415	0.26627067324166853	0.5687857142857143
nnsvg-N2000	dubstepr-N2000	0.11027891633752429	0.5963743688116208	0.1481558863719787	0.6765
nnsvg-N2000	hotspot-N2000	0.23057776215448492	0.3369445307897332	0.24059054329671714	0.46864285714285714
nnsvg-N2000	morans_i-N2000	0.12314370338512924	0.667331826920838	0.09367249176938616	0.7945714285714286
nnsvg-N2000	nbumi-N2000	0.17792030460899988	0.41326160536196926	0.17805169126381462	0.5657142857142857
nnsvg-N2000	nnsvg-N2000	0	1	0	1
nnsvg-N2000	osca-N2000	0.15845402766881114	0.2681572170014894	0.18439063089513186	0.40321428571428575
nnsvg-N2000	scPNMF-N2000	0.18716630551517435	0.3737268567288552	0.2017008629015704	0.5207142857142857
nnsvg-N2000	scanpy_cell_ranger-N2000	0.08381531495487171	0.10829473877915187	0.12896428076907854	0.18707142857142858
nnsvg-N2000	scanpy_cell_ranger_batch-N2000	0.08649948348171628	0.11683608948082169	0.13152597968969224	0.2005
nnsvg-N2000	scanpy_pearson-N2000	0.14065999303541998	0.1448994438160568	0.19802458962269837	0.2322857142857143
nnsvg-N2000	scanpy_pearson_batch-N2000	0.11711591534955101	0.11188972113905184	0.17885369120357247	0.18514285714285714
nnsvg-N2000	scanpy_seurat-N2000	0.03846855381246872	0.06687164784138434	0.06483679143672613	0.12335714285714286
nnsvg-N2000	scanpy_seurat_batch-N2000	0.06492145145316462	0.08051633331845603	0.10891985913636555	0.14342857142857143
nnsvg-N2000	scanpy_seurat_v3-N2000	0.12134423723669688	0.18640129855029364	0.16110574019509524	0.30014285714285716
nnsvg-N2000	scanpy_seurat_v3_batch-N2000	0.12236089866221196	0.1275184557348476	0.17614144748982144	0.20985714285714285
nnsvg-N2000	scry-N2000	0.06208240896745045	0.6533717406796287	0.044214843445978425	0.7889285714285714
nnsvg-N2000	scsegindex-N500	0.09373217170280204	0.0876176324309518	0.09469154183578433	0.09371428571428572
nnsvg-N2000	seurat_disp-N2000	0.0835718005359443	0.10116421567097	0.13004834265984103	0.1752857142857143
nnsvg-N2000	seurat_mvp-N2000	0.05099975404826873	0.09720246400752697	0.059835090835045075	0.1427857142857143
nnsvg-N2000	seurat_sct-N2000	0.20155069773675754	0.2216388815698595	0.2694300200688218	0.32507142857142857
nnsvg-N2000	seurat_vst-N2000	0.121493823442865	0.18647197187127754	0.16124951088888537	0.3002142857142857
nnsvg-N2000	singleCellHaystack-N2000	0.11783805058534055	0.5450434793731882	0.10227565459976054	0.6988571428571428
nnsvg-N2000	somde-N2000	0.17412573662712014	0.37124375224695366	0.18272240199405268	0.5216428571428571
nnsvg-N2000	sparkx-N2000	0.06283215335079222	0.61540800733662	0.04913489691897294	0.7602857142857143
