dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	Metric	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	ari	0.2542525869	2	52.5710910484	4863.83984375	354	cache_signature=53f992890dacad9ebef24bac368abedf	ari	1	0.2542525869	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.6515039732389701
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	nmi	0.4134662159	2	52.5710910484	4863.83984375	354	cache_signature=53f992890dacad9ebef24bac368abedf	nmi	1	0.4134662159	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.7671583577589978
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	CHAOS	0.0590431266	2	52.5710910484	4863.83984375	354	cache_signature=53f992890dacad9ebef24bac368abedf	CHAOS	-1	-0.0590431266	-0.0892011679	-0.0581763831	0.0310247848	ok	0.0310247848	0.9720628682652458
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	PAS	0.0591666667	2	52.5710910484	4863.83984375	354	cache_signature=53f992890dacad9ebef24bac368abedf	PAS	-1	-0.0591666667	-0.8281666667	-0.0269444444333333	0.8012222222666667	ok	0.8012222222666667	0.9597836637936605
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	bASW	0.9612036179	2	55.4553881232	4863.83984375	354	cache_signature=876c797f18e258dec7b20a6d53f63968	bASW	1	0.9612036179	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9524200001381901
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	iLISI	0.1986055912	2	55.4553881232	4863.83984375	354	cache_signature=876c797f18e258dec7b20a6d53f63968	iLISI	1	0.1986055912	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.2737017505729897
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	dASW	0.5259027835	2	55.4553881232	4863.83984375	354	cache_signature=876c797f18e258dec7b20a6d53f63968	dASW	1	0.5259027835	0.4023712054	0.535358496	0.1329872905999999	ok	0.1329872905999999	0.9288976227928362
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	dLISI	0.9349146871	2	55.4553881232	4863.83984375	354	cache_signature=876c797f18e258dec7b20a6d53f63968	dLISI	1	0.9349146871	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.9659406882878822
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	ILL	0.645682342	2	55.4553881232	4863.83984375	354	cache_signature=876c797f18e258dec7b20a6d53f63968	ILL	1	0.645682342	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.8754000712316835
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	GC	0.974820411	2	55.4553881232	4863.83984375	354	cache_signature=876c797f18e258dec7b20a6d53f63968	GC	1	0.974820411	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9748030509689262
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	alignment_eval	Accuracy	0.7553	0	112.0238042334	3825.640625	2000	cache_signature=061b2d1471caca299050b610d20d08b1	Accuracy	1	0.7553	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.9614314115308152
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	alignment_eval	Ratio	1.366644533	0	112.0238042334	3825.640625	2000	cache_signature=061b2d1471caca299050b610d20d08b1	Ratio	-1	-1.366644533	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.8914150550833133
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	silhouette	0.180234015	0	112.539494643	3825.640625	2000	cache_signature=f8136fd6afff4746ca66f6af41db083a	silhouette	1	0.180234015	0.0293384020666666	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.17751114698499465
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	ari	0.2821290253	0	112.539494643	3825.640625	2000	cache_signature=f8136fd6afff4746ca66f6af41db083a	ari	1	0.2821290253	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.7259429644638744
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	nmi	0.4264483825	0	112.539494643	3825.640625	2000	cache_signature=f8136fd6afff4746ca66f6af41db083a	nmi	1	0.4264483825	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.7923674931508593
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	CHAOS	0.0592000638	0	112.539494643	3825.640625	2000	cache_signature=f8136fd6afff4746ca66f6af41db083a	CHAOS	-1	-0.0592000638	-0.0892011679	-0.0581763831	0.0310247848	ok	0.0310247848	0.9670044222192317
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	PAS	0.0548333333	0	112.539494643	3825.640625	2000	cache_signature=f8136fd6afff4746ca66f6af41db083a	PAS	-1	-0.0548333333	-0.8281666667	-0.0269444444333333	0.8012222222666667	ok	0.8012222222666667	0.9651920677040526
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	bASW	0.9325768447	0	115.5762950722	3825.609375	2000	cache_signature=d55ae2000101c53d1ba7727dc08ba3f0	bASW	1	0.9325768447	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.914129562392915
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	iLISI	0.1424110023	0	115.5762950722	3825.609375	2000	cache_signature=d55ae2000101c53d1ba7727dc08ba3f0	iLISI	1	0.1424110023	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.1957490547985463
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	dASW	0.5277244896	0	115.5762950722	3825.609375	2000	cache_signature=d55ae2000101c53d1ba7727dc08ba3f0	dASW	1	0.5277244896	0.4023712054	0.535358496	0.1329872905999999	ok	0.1329872905999999	0.942595970144534
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	dLISI	0.9456792084	0	115.5762950722	3825.609375	2000	cache_signature=d55ae2000101c53d1ba7727dc08ba3f0	dLISI	1	0.9456792084	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.9890257856772171
