integration_method	fs_method	NDataSets	ObservedMeanDatasetRank	ObservedGlobalRank	BootstrapGlobalRankMedian	BootstrapGlobalRankLowerQuartile	BootstrapGlobalRankUpperQuartile	BootstrapGlobalRankLower95	BootstrapGlobalRankUpper95	Top5Probability
cellcharter	statistic_variance	7	21.285714285714285	26.0	26.0	24.0	26.5	18.0	28.0	0.0
cellcharter	triku	7	11.571428571428571	6.0	8.0	5.0	12.5	2.0	23.0	0.2772
scvi	Brennecke	7	22.0	28.0	27.0	25.5	28.0	21.0	29.0	0.0
scvi	anticor	7	14.0	14.5	14.0	9.0	17.5	3.0	24.0	0.0994
scvi	dubstepr	7	11.714285714285714	8.0	9.0	5.0	12.0	2.0	21.5	0.2646
scvi	hotspot	7	14.285714285714286	16.0	14.5	9.0	19.0	2.0	26.0	0.143
scvi	morans_i	7	14.571428571428571	17.5	15.5	11.0	19.0	3.0	24.0	0.0624
scvi	nbumi	7	11.428571428571429	6.0	8.0	5.0	12.0	2.0	18.5	0.302
scvi	nnsvg	7	12.285714285714286	9.0	10.0	6.5	14.0	2.0	19.0	0.1866
scvi	osca	7	10.571428571428571	3.5	6.0	4.0	9.0	2.0	12.0	0.3868
scvi	scPNMF	7	17.428571428571427	21.0	20.5	18.0	22.0	11.0	25.5	0.0
scvi	scanpy_cell_ranger	7	14.571428571428571	17.5	15.0	10.0	20.0	3.0	26.512499999999818	0.1022
scvi	scanpy_cell_ranger_batch	7	12.857142857142858	10.5	11.0	5.0	17.0	2.0	25.5	0.261
scvi	scanpy_pearson	7	11.571428571428571	7.0	8.5	6.0	11.5	3.0	16.5	0.1744
scvi	scanpy_pearson_batch	7	17.0	19.0	19.0	16.0	23.0	10.0	28.0	0.001
scvi	scanpy_seurat	7	19.714285714285715	24.0	24.0	21.0	26.5	12.0	28.0	0.0018
scvi	scanpy_seurat_batch	7	17.285714285714285	20.0	20.0	17.0	23.0	9.0	27.0	0.004
scvi	scanpy_seurat_v3	7	11.285714285714286	5.0	8.0	4.0	12.0	1.0	19.0	0.3468
scvi	scanpy_seurat_v3_batch	7	14.0	14.5	14.0	10.5	16.5	5.0	21.0	0.0266
scvi	scry	7	20.428571428571427	26.5	25.0	22.0	27.0	16.0	28.0	0.0
scvi	seurat_disp	7	17.571428571428573	22.0	20.5	17.0	23.0	8.5	26.5	0.0024
scvi	seurat_mvp	7	19.0	23.0	23.0	20.0	24.5	12.5	26.0	0.0008
scvi	seurat_sct	7	13.142857142857142	12.0	11.5	6.0	17.0	1.0	25.0	0.2406
scvi	seurat_vst	7	10.571428571428571	3.5	6.0	4.0	9.5	2.0	16.0	0.4486
scvi	singleCellHaystack	7	13.428571428571429	13.0	12.5	7.0	17.0	2.0	25.5	0.1564
scvi	somde	7	9.428571428571429	2.0	4.0	1.5	8.0	1.0	16.5	0.6086
scvi	sparkx	7	20.142857142857142	25.0	25.0	21.0	27.0	13.5	29.0	0.0
scvi	spatialde	7	12.857142857142858	10.5	12.0	8.0	15.0	3.0	21.0	0.0998
scvi	statistic_mean	7	24.428571428571427	29.0	29.0	28.0	29.0	26.0	29.0	0.0
scvi	statistic_variance	7	20.428571428571427	26.5	25.0	22.0	27.0	17.0	28.0	0.0
scvi	triku	7	7.0	1.0	1.0	1.0	2.0	1.0	6.0	0.9534
