dataset	fs_method	n_features	integration_method	Dataset	Integrator	Task	SeedSD	NSeeds
STOmics0218	all_features	all	cellcharter	STOmics-0218	CellCharter	Clustering	0.0123567725424995	3
STOmics0218	all_features	all	cellcharter	STOmics-0218	CellCharter	Core overall	0.008227774920229447	3
STOmics0218	all_features	all	cellcharter	STOmics-0218	CellCharter	Integration	0.004165735175668007	3
STOmics0218	all_features	all	scvi	STOmics-0218	scVI	Clustering	0.1563066753812284	3
STOmics0218	all_features	all	scvi	STOmics-0218	scVI	Core overall	0.13414154663932765	3
STOmics0218	all_features	all	scvi	STOmics-0218	scVI	Integration	0.11334747332048907	3
STOmics0218	anticor	2000	cellcharter	STOmics-0218	CellCharter	Clustering	5.836166213118685e-4	3
STOmics0218	anticor	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.0033408526579144946	3
STOmics0218	anticor	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.007262999270070757	3
STOmics0218	anticor	2000	scvi	STOmics-0218	scVI	Clustering	0.00561275291650468	3
STOmics0218	anticor	2000	scvi	STOmics-0218	scVI	Core overall	0.002697125450656634	3
STOmics0218	anticor	2000	scvi	STOmics-0218	scVI	Integration	0.009365877296116185	3
STOmics0218	dubstepr	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.010128040028646534	3
STOmics0218	dubstepr	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.005833201200596698	3
STOmics0218	dubstepr	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.0020143851432739106	3
STOmics0218	dubstepr	2000	scvi	STOmics-0218	scVI	Clustering	0.0179532044603977	3
STOmics0218	dubstepr	2000	scvi	STOmics-0218	scVI	Core overall	0.010276678277062915	3
STOmics0218	dubstepr	2000	scvi	STOmics-0218	scVI	Integration	0.011133523152649412	3
STOmics0218	hotspot	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.025412537233658168	3
STOmics0218	hotspot	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.014257060910852428	3
STOmics0218	hotspot	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.00310365219399403	3
STOmics0218	hotspot	2000	scvi	STOmics-0218	scVI	Clustering	0.016006379653871118	3
STOmics0218	hotspot	2000	scvi	STOmics-0218	scVI	Core overall	0.00564515205115674	3
