fs_method	integration_method	task	NRuns	RuntimeMedianSeconds	RuntimeIQRSeconds	RuntimeMaximumSeconds	PeakMemoryMedianGiB	PeakMemoryMaximumGiB
dubstepr	scvi	clustering_eval	63	187.6017235806	271.7477081008	641.8027319489	12.068828582763672	39.47893142700195
dubstepr	scvi	integration_eval	63	188.035910896	273.34450743675	642.1280046171	12.068828582763672	39.47893142700195
hotspot	cellcharter	alignment_eval	18	66.38338570855001	70.81941216832502	262.2233003406	21.05475616455078	28.215450286865234
hotspot	cellcharter	clustering_eval	63	64.6264715586	33.129407339749996	262.5246305764	16.99081802368164	57.64524459838867
hotspot	cellcharter	integration_eval	63	66.6537553295	34.26784777555	265.1817946797	16.99081802368164	57.64524459838867
hotspot	scvi	alignment_eval	18	47.0907152905	67.1740259202	232.49289014	21.05475616455078	28.215450286865234
hotspot	scvi	clustering_eval	63	44.4526147144	27.13508307	233.3308947971	16.764251708984375	57.64524459838867
hotspot	scvi	integration_eval	63	45.6825131243	27.74374153465	235.9302643854	16.764251708984375	57.64524459838867
morans_i	cellcharter	alignment_eval	18	39.2143901163	84.203619583525	254.0959945638	3.490011215209961	9.355518341064453
morans_i	cellcharter	clustering_eval	63	42.1891181646	42.83789237495	254.4441304253	3.8883056640625	18.359764099121094
morans_i	cellcharter	integration_eval	63	44.2743146056	42.625164927899995	256.5924959462	3.888275146484375	18.35974884033203
morans_i	scvi	alignment_eval	18	22.045812875499998	83.16469468357501	234.1439410206	3.3292198181152344	9.065147399902344
morans_i	scvi	clustering_eval	63	25.0349049661	38.95659366665	234.9776364146	3.478832244873047	17.918556213378906
morans_i	scvi	integration_eval	63	26.8371769851	38.5414332072	236.7290805671	3.4786415100097656	17.918556213378906
nbumi	cellcharter	alignment_eval	18	79.0682511986	62.38228907625	234.0147171235	13.707880020141602	20.269981384277344
nbumi	cellcharter	clustering_eval	63	85.5719338302	28.966302670550007	234.4912229162	13.447502136230469	39.47893142700195
nbumi	cellcharter	integration_eval	63	87.6205027271	31.09179840329999	237.0735347997	13.447502136230469	39.47893142700195
nbumi	scvi	alignment_eval	18	62.92243222895	58.81645820914999	217.5584380282	13.707880020141602	20.070789337158203
nbumi	scvi	clustering_eval	63	67.4167415034	27.227290402199998	218.5143254148	13.447502136230469	39.47893142700195
nbumi	scvi	integration_eval	63	68.6135803973	28.455470699849997	220.253103029	13.447502136230469	39.47893142700195
nnsvg	cellcharter	alignment_eval	18	41.14559300475	95.12868392932499	189.4986930648	5.0386199951171875	10.03200912475586
nnsvg	cellcharter	clustering_eval	63	44.562649535	54.546693862850006	189.8192220526	5.074291229248047	21.95983123779297
nnsvg	cellcharter	integration_eval	63	46.6804289203	54.599923216700006	191.9273188608	5.074291229248047	21.95983123779297
nnsvg	scvi	alignment_eval	18	22.614886462199998	88.8909952506	157.3096156949	4.851631164550781	9.71414566040039
nnsvg	scvi	clustering_eval	63	26.0923452992	45.89950921575	158.1506311372	4.977027893066406	19.620868682861328
nnsvg	scvi	integration_eval	63	27.5851114048	45.2267796714	160.0158422925	4.977027893066406	19.620868682861328
osca	cellcharter	alignment_eval	18	65.81995484974999	29.206544985300013	219.252313613	14.709182739257812	20.607837677001953
