Method	Type	SelFeatures	Value	SD	StandardValue
nnSVG	Alignment	1000	0.8974496197413178	0.09125866392868028	0.6197797928266752
nnSVG	Alignment	2000	0.8600644482421853	0.7885243101121592	0.6632183061776112
nnSVG	Alignment	5000	0.7643570492982178	0.7637407049123064	-0.8294863471630677
nnSVG	Alignment	10000	0.6752635054516688	0.6033891886336986	-1.377198785718615
nnSVG	Overall	100	0.6491267337533495	1.0471576967822926	0.03774850641707951
nnSVG	Overall	200	0.6582978525603916	0.8313729402292016	0.5438176970529919
nnSVG	Overall	500	0.6483928522541447	0.6924077775828752	0.3233917626603853
nnSVG	Overall	1000	0.6424389197453039	0.6272113456005255	0.009834289315042915
nnSVG	Overall	2000	0.6282591781443119	0.6919139219413539	0.11019716401760249
nnSVG	Overall	5000	0.5929055405174884	1.1968741595573629	-0.34720266699172603
nnSVG	Overall	10000	0.5862075852912738	0.9051835889807395	-0.6777867524713785
scanpy-CellRanger (batch)	Integration	100	0.6811907900666213	1.0909052948105107	0.1010234908317112
scanpy-CellRanger (batch)	Integration	200	0.6860124418986061	0.9616005086257832	0.2929516896631014
scanpy-CellRanger (batch)	Integration	500	0.6880776972264776	0.4778740853378848	0.5337879227801742
scanpy-CellRanger (batch)	Integration	1000	0.6839910708447194	0.4785828080779798	0.40388226238559166
scanpy-CellRanger (batch)	Integration	2000	0.6795867800288108	0.574894749281243	0.143500615810837
scanpy-CellRanger (batch)	Integration	5000	0.6686859798017634	0.7193601812406795	-0.221208521020061
scanpy-CellRanger (batch)	Integration	10000	0.6260588514147326	0.8290282370550129	-1.2539374604513625
scanpy-CellRanger (batch)	Clustering	100	0.48898735062917487	0.6932426414018872	-1.1464123280074683
scanpy-CellRanger (batch)	Clustering	200	0.5278594259497014	0.4898000306861482	-0.5603895114436226
scanpy-CellRanger (batch)	Clustering	500	0.5559653338111539	0.4961408654206681	-0.25170441361100415
scanpy-CellRanger (batch)	Clustering	1000	0.5851045309883447	0.4962298996889394	0.2533141271032034
scanpy-CellRanger (batch)	Clustering	2000	0.6136939836151473	0.42665237840984943	0.5656820208325518
scanpy-CellRanger (batch)	Clustering	5000	0.6351624344906233	0.39793444981398507	0.7417583310978637
scanpy-CellRanger (batch)	Clustering	10000	0.6224839556176104	1.3819785814222223	0.39775177402847434
scanpy-CellRanger (batch)	Alignment	100	0.7706485200018014	0.5172723645363468	-1.2542767580729584
scanpy-CellRanger (batch)	Alignment	200	0.7992297555904262	0.37542460761730545	-0.7736727096366874
scanpy-CellRanger (batch)	Alignment	500	0.8266781340671242	0.42186129094077707	-0.1858066141740875
scanpy-CellRanger (batch)	Alignment	1000	0.8509295515186008	0.338959610693072	0.2935966439894218
scanpy-CellRanger (batch)	Alignment	2000	0.8725732771252442	0.3358645498949694	0.789254676335359
scanpy-CellRanger (batch)	Alignment	5000	0.8794338414106176	0.42072083440728525	0.7652717814671157
scanpy-CellRanger (batch)	Alignment	10000	0.8605767807822385	1.4705357332394802	0.36563298009183703
scanpy-CellRanger (batch)	Overall	100	0.585089070347898	0.9905722818663011	-1.1007935461024432
scanpy-CellRanger (batch)	Overall	200	0.6069359339241537	0.730970975130806	-0.3698692458885813
scanpy-CellRanger (batch)	Overall	500	0.6220215155188158	0.5155602045869019	-0.06212804337504995
scanpy-CellRanger (batch)	Overall	1000	0.6345478009165321	0.4203055875339521	0.26297421539740223
scanpy-CellRanger (batch)	Overall	2000	0.646640381821979	0.38892804523101565	0.5843919150418114
scanpy-CellRanger (batch)	Overall	5000	0.6519242071461933	0.5267246610004004	0.6474522321843936
scanpy-CellRanger (batch)	Overall	10000	0.6242714035161715	1.3126805080633661	0.03797247274246776
scanpy-SeuratV3	Integration	100	0.6560668145939266	1.2143984758921134	0.40772153985399207
scanpy-SeuratV3	Integration	200	0.6510953022961993	0.8682017525829291	0.24133584548383424
scanpy-SeuratV3	Integration	500	0.6539237129799124	0.705155852068396	0.3236915066892257
scanpy-SeuratV3	Integration	1000	0.6453739489589174	0.6703836982118143	0.16140091083834665
scanpy-SeuratV3	Integration	2000	0.6335245504445078	0.4349223565256388	-0.050338994742824494
scanpy-SeuratV3	Integration	5000	0.6101064409914654	0.8864458332829445	-0.34244202458043416
scanpy-SeuratV3	Integration	10000	0.5751057130944984	1.0990166150636096	-0.7413687835421435
scanpy-SeuratV3	Clustering	100	0.5712613479295032	0.7372493586947745	-1.1569411732660613
scanpy-SeuratV3	Clustering	200	0.6001872567137942	0.7430736321001896	-0.48030769994430916
scanpy-SeuratV3	Clustering	500	0.6352018842166665	0.7291362230574638	0.15483355490774836
scanpy-SeuratV3	Clustering	1000	0.6579377656027784	0.5847449574392384	0.459225508127459
scanpy-SeuratV3	Clustering	2000	0.6749043753784725	0.48056562490878113	0.7028163786604312
scanpy-SeuratV3	Clustering	5000	0.6557696247517358	0.7142776723173823	0.37675463770991835
scanpy-SeuratV3	Clustering	10000	0.6354716706960553	1.0583305086378836	-0.05638120619518751
scanpy-SeuratV3	Alignment	100	0.8667144400843743	0.8597283950955177	-0.8217780989901845
scanpy-SeuratV3	Alignment	200	0.8729456933681111	0.6914596610522615	-0.549288070170192
scanpy-SeuratV3	Alignment	500	0.9089696719923819	0.25629824339169777	0.596380218944887
scanpy-SeuratV3	Alignment	1000	0.9091344290708727	0.3112478686387226	0.6654926183128282
scanpy-SeuratV3	Alignment	2000	0.9123455346006706	0.30914529101105787	0.8467845283382813
scanpy-SeuratV3	Alignment	5000	0.8813837418366672	0.5948148095693255	0.2479692391200488
scanpy-SeuratV3	Alignment	10000	0.824449235419675	1.2125234159648393	-0.9855604355556624
scanpy-SeuratV3	Overall	100	0.6136640812617149	0.9977000502664701	-0.742245243734732
scanpy-SeuratV3	Overall	200	0.6256412795049967	0.8093983912180583	-0.26515813270468197
scanpy-SeuratV3	Overall	500	0.6445627985982894	0.6466881929412975	0.2668763437537075
scanpy-SeuratV3	Overall	1000	0.65165585728084785	0.5956744841770377	0.40672234715883404
scanpy-SeuratV3	Overall	2000	0.6542144629114901	0.4789067564695543	0.6430237651509095
scanpy-SeuratV3	Overall	5000	0.6329380328716006	0.8789524318166244	0.19207015841455682
scanpy-SeuratV3	Overall	10000	0.6052886918952769	1.1647125416581556	-0.5012892380385897
triku	Integration	100	0.5118763883485005	1.2754879090919926	-1.0110232523015812
triku	Integration	200	0.6074209836111255	0.5697977262130914	0.2012482865461017
triku	Integration	500	0.6457371486152785	0.644584090821477	0.4007025385400722
triku	Integration	1000	0.648068153280992	0.5501588378988809	0.3112606602891612
triku	Integration	2000	0.6492293672948477	0.43273580428966346	0.3850433270995424
triku	Integration	5000	0.6216193636070331	0.5971179897130923	0.16544140911707186
triku	Integration	10000	0.5744316017007876	1.1901889109043475	-0.452672969290368
triku	Clustering	100	0.44713422393951596	1.0867788404128458	-1.3761237272603701
triku	Clustering	200	0.5616655486585476	0.737288272617465	-0.5691651890676621
triku	Clustering	500	0.6551488010421554	0.4045829734236925	0.49636841266495124
triku	Clustering	1000	0.6618671116783935	0.4505896885088788	0.5313725365406433
triku	Clustering	2000	0.6673822106053049	0.2758193858424848	0.504127072784861
triku	Clustering	5000	0.6414997216320504	0.5818095532569432	0.21267261879300017
triku	Clustering	10000	0.6377758246586158	0.7950414966811726	0.20074827554457644
triku	Alignment	100	0.6883500767918953	0.5724140383569329	-1.6490690855249044
triku	Alignment	200	0.8339400693000768	0.5173384287512061	-0.21904891976635227
triku	Alignment	500	0.8798155737399133	0.23206929928795741	0.33576254352746765
triku	Alignment	1000	0.9054930386202968	0.15050817086437765	0.6418561477955437
triku	Alignment	2000	0.9204333798664737	0.1033296385516209	0.8267874001053073
triku	Alignment	5000	0.8754092465425547	0.3941294352833952	0.5225556099284903
triku	Alignment	10000	0.7527359447608709	1.1029221983631723	-0.4588436960655501
triku	Overall	100	0.4795053061440082	0.6464840191610044	-1.6824794133624967
triku	Overall	200	0.5845432661348365	0.6347092031999443	-0.24777110792855303
triku	Overall	500	0.6504429748287169	0.2182070887338305	0.6085894932539376
triku	Overall	1000	0.6549676324796928	0.3399029373853174	0.5889315515292657
triku	Overall	2000	0.6583057889500763	0.3561192079392686	0.5739437938607957
