dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
E9p5Embryo	hybrid_hvg_svg_union	2000	scvi	0.6884448614539261	0.0008794976770759838	3			0	0.6884448614539261	0.0008794976770759838	3	0.39679552294156345	0.0029897206384397247	3			0	0.39679552294156345	0.0029897206384397247	3			0	0.5426201921977448	0.001860566014978632	3			0	hybrid
MouseBrainSerialSections	hybrid_hvg_svg_intersection	2000	cellcharter	0.6275848954031317	0.002905250358309829	3	0.8144630682663857	0.006948849644386375	3	0.7210239818347587	0.0020678862611250392	3	0.7903127354832656	0.0017345642986804132	3	0.8051460381148065	0.0035770938234000274	3	0.7977293867990362	0.0015835359055364011	3	0.9565938680291776	0.0069628204411465765	3	0.7593766843168974	0.001313609242833644	3	0.8251157455543242	0.0031371647193267045	3	hybrid
MouseBrainSerialSections	hybrid_hvg_svg_intersection	2000	scvi	0.5878025278841718	0.07303228394274085	3	0.7597921845857214	0.011265327505977559	3	0.6737973562349465	0.03964611234051917	3	0.7459542768476052	0.020401661651648462	3	0.8146342161014402	0.06186964849951939	3	0.7802942464745226	0.04058606051382333	3	0.8950491148582621	0.03562413766271132	3	0.7270458013547346	0.010218443028446347	3	0.7830469058559104	0.014503203038969625	3	hybrid
MouseBrainSerialSections	hybrid_hvg_svg_union	2000	cellcharter	0.56790359590459	0.019490565957609455	3	0.8560602730017997	0.018960618921554727	3	0.7119819344531949	0.0063974517630592245	3	0.7908630896633214	0.0053079284684004364	3	0.8083163184531384	0.026430323437409912	3	0.7995897040582299	0.012217608553086356	3	0.9640239385081858	0.007079005993022462	3	0.7557858192557124	0.008508228533132142	3	0.8251985256732035	0.00337653320064695	3	hybrid
MouseBrainSerialSections	hybrid_hvg_svg_union	2000	scvi	0.31077922431896937	0.03961973662052724	3	0.5367195207562344	0.03883383784255202	3	0.42374937253760186	0.03323472390563218	3	0.5562769847174515	0.011405148518424597	3	0.4368200688238481	0.04377158204153151	3	0.49654852677064976	0.018014774342639275	3	0.7147193884562407	0.039721507315751185	3	0.46014894965412584	0.02536683094968864	3	0.5450057625881642	0.019719182043126744	3	hybrid
STOmics0212	hybrid_hvg_svg_intersection	2000	cellcharter	0.08619465303018303	0.018353182820744284	3	0.7421615053533314	0.013174169677585912	3	0.41417807919175714	0.012183312571636098	3	0.730815545041136	0.009455407680280699	3	0.8595875922841477	0.0597850092835464	3	0.7952015686626419	0.03442100275845361	3			0	0.6046898239271995	0.011232437648368307	3			0	hybrid
STOmics0212	hybrid_hvg_svg_intersection	2000	scvi	0.37247877727605977	0.006016368203698206	3	0.7135925961635768	0.014468344164567035	3	0.5430356867198183	0.006262447593836504	3	0.6100084568922287	0.01916765449952003	3	0.6430204881540451	0.05425988533687862	3	0.626514472523137	0.035219038067689265	3			0	0.5847750796214776	0.02008516185901604	3			0	hybrid
STOmics0212	hybrid_hvg_svg_union	2000	cellcharter	0.1640270771022248	0.02081421831041659	3	0.8028375277119949	0.01646139322184788	3	0.4834323024071099	0.01818692219142676	3	0.695459934350055	0.002840598128714289	3	0.6702320123862521	0.030786883374516245	3	0.6828459733681536	0.014226582677058038	3			0	0.5831391378876317	0.0036987774531733243	3			0	hybrid
STOmics0212	hybrid_hvg_svg_union	2000	scvi	0.39541561108457524	0.0308180043086122	3	0.6471448877914444	0.028848051360958006	3	0.5212802494380099	0.02824027245751426	3	0.6101273396084574	0.03143039727636732	3	0.5764805743414368	0.04900365724451612	3	0.5933039569749471	0.039893094488422126	3			0	0.5572921032064785	0.015078504690938894	3			0	hybrid
STOmics0218	hybrid_hvg_svg_intersection	2000	cellcharter	0.6738186786868184	0.01428695427517721	3	0.8522515020571649	0.009448466293882712	3	0.7630350903719917	0.009914666837128494	3	0.7365986892240715	0.003058093617015805	3	0.7307432795931725	0.021592973346447112	3	0.7336709844086219	0.011872832751840834	3			0	0.7483530373903068	0.007683961482552294	3			0	hybrid
STOmics0218	hybrid_hvg_svg_intersection	2000	scvi	0.8292975738874651	0.007229884354025669	3	0.696793698082875	0.006909133155127076	3	0.76304563598517	0.006953827664697596	3	0.69350700847422	0.004200353364136785	3	0.7662536585734513	0.030461665743677636	3	0.7298803335238357	0.017152254333625033	3			0	0.7464629847545029	0.007833186699468739	3			0	hybrid
STOmics0218	hybrid_hvg_svg_union	2000	cellcharter	0.6338710558384714	0.024973374302733237	3	0.8670765238586048	0.011930761244958593	3	0.7504737898485381	0.0076236878336912875	3	0.7411188515099152	0.003637464118940659	3	0.7661286704273674	0.035391889718229215	3	0.7536237609686413	0.01905763490673379	3			0	0.7520487754085897	0.005916551974294993	3			0	hybrid
STOmics0218	hybrid_hvg_svg_union	2000	scvi	0.8097899928061717	0.007458475692051242	3	0.7028309125365446	0.010522126005591563	3	0.7563104526713581	0.008953779069768056	3	0.6734783973924361	0.0013889511674634958	3	0.7640070236485524	0.0397360909746449	3	0.7187427105204942	0.019460514278740196	3			0	0.7375265815959261	0.007481884689448341	3			0	hybrid
STOmics0224	hybrid_hvg_svg_intersection	2000	cellcharter	0.48482791498233996	0.0211857899549508	3	0.7213863514326766	0.076680479844918	3	0.6031071332075082	0.028725683471999795	3	0.6711458572848322	0.01089947955860816	3	0.7344816870739294	0.040770429997703604	3	0.7028137721793808	0.01600066368240029	3			0	0.6529604526934446	0.02223133585630857	3			0	hybrid
STOmics0224	hybrid_hvg_svg_intersection	2000	scvi	0.8731028011089506	0.008199767547842107	3	0.5259493843723936	0.02483853038776135	3	0.699526092740672	0.016507946307528682	3	0.3031155861723849	0.01562673850759606	3	0.5357352362542463	0.09733120911356684	3	0.4194254112133156	0.04784479812868555	3			0	0.5594757519769938	0.029142706690525096	3			0	hybrid
STOmics0224	hybrid_hvg_svg_union	2000	cellcharter	0.3425955527714188	0.02185346742362864	3	0.751953060095937	0.03587136366179785	3	0.5472743064336779	0.014885052646784669	3	0.7110491306327517	0.010748129179951422	3	0.6661836553823276	0.020706065973053633	3	0.6886163930075396	0.015716182962102913	3			0	0.6179453497206087	0.012380176625493521	3			0	hybrid
STOmics0224	hybrid_hvg_svg_union	2000	scvi	0.7334970562476073	0.03143668591387887	3	0.5282944256005772	0.04068329796147817	3	0.6308957409240922	0.035747333295309484	3	0.5063175421671492	0.02264968916440547	3	0.7857701509837219	0.06550030038277485	3	0.6460438465754356	0.04089297793370665	3			0	0.6384697937497639	0.02741862388909755	3			0	hybrid
