Method	IntegrationMethod	Type	Mean	SD	Integration
SPARK-X (N=2,000)	graphst	Alignment	0.8753621156121596	0.07447569447509363	GraphST
SPARK-X (N=2,000)	graphst	Clustering	0.6987484050326531	0.08147813091722511	GraphST
SPARK-X (N=2,000)	graphst	Integration	0.5262263804828591	0.17407541790077471	GraphST
SPARK-X (N=2,000)	graphst	CoreOverall	0.6124873927577561	0.10567600540146874	GraphST
SPARK-X (N=2,000)	scvi	Alignment	0.7207131086017353	0.060601485480601375	scVI
SPARK-X (N=2,000)	scvi	Clustering	0.5525046392871884	0.12210053119529045	scVI
SPARK-X (N=2,000)	scvi	Integration	0.60604609832521	0.13513084441112855	scVI
SPARK-X (N=2,000)	scvi	CoreOverall	0.5792753688061992	0.07130813526958149	scVI
Seurat-Dispersion (N=2,000)	cellcharter	Alignment	0.9295156346311196	0.05802590274347763	CellCharter
Seurat-Dispersion (N=2,000)	cellcharter	Clustering	0.6843551604344466	0.0836642847746606	CellCharter
Seurat-Dispersion (N=2,000)	cellcharter	Integration	0.6220526759958742	0.10796078342357472	CellCharter
Seurat-Dispersion (N=2,000)	cellcharter	CoreOverall	0.6532039182151604	0.07319264162637042	CellCharter
Seurat-Dispersion (N=2,000)	graphst	Alignment	0.8104233875587403	0.13276849903186771	GraphST
Seurat-Dispersion (N=2,000)	graphst	Clustering	0.6858885707639351	0.0865676022026908	GraphST
Seurat-Dispersion (N=2,000)	graphst	Integration	0.5626106410515151	0.13862619486349506	GraphST
Seurat-Dispersion (N=2,000)	graphst	CoreOverall	0.6242496059077252	0.08604458953328803	GraphST
Seurat-Dispersion (N=2,000)	scvi	Alignment	0.7586253357653971	0.00849725135968223	scVI
Seurat-Dispersion (N=2,000)	scvi	Clustering	0.5175458241436289	0.17849079485613825	scVI
Seurat-Dispersion (N=2,000)	scvi	Integration	0.6740283683298808	0.14329556319804512	scVI
Seurat-Dispersion (N=2,000)	scvi	CoreOverall	0.5957870962367549	0.0854085399952388	scVI
Seurat-MVP (N=2,000)	cellcharter	Alignment	0.91175850512599	0.06454484803925124	CellCharter
Seurat-MVP (N=2,000)	cellcharter	Clustering	0.6983638159312562	0.0731387408189459	CellCharter
Seurat-MVP (N=2,000)	cellcharter	Integration	0.628779212833775	0.1256732327208713	CellCharter
Seurat-MVP (N=2,000)	cellcharter	CoreOverall	0.6635715143825156	0.07569278429845203	CellCharter
Seurat-MVP (N=2,000)	graphst	Alignment	0.833763349345464	0.12785721292725416	GraphST
Seurat-MVP (N=2,000)	graphst	Clustering	0.699537490944879	0.0764324030199195	GraphST
Seurat-MVP (N=2,000)	graphst	Integration	0.553107172510471	0.14960806198144988	GraphST
Seurat-MVP (N=2,000)	graphst	CoreOverall	0.626322331727675	0.08899336709988553	GraphST
Seurat-MVP (N=2,000)	scvi	Alignment	0.8434943045346959	0.14975441807097206	scVI
Seurat-MVP (N=2,000)	scvi	Clustering	0.5064910745493995	0.2032837787417203	scVI
Seurat-MVP (N=2,000)	scvi	Integration	0.7272029889395647	0.11193487180390202	scVI
Seurat-MVP (N=2,000)	scvi	CoreOverall	0.6168470317444821	0.09670953896695479	scVI
Seurat-VST (N=2,000)	cellcharter	Alignment	0.951361272053169	0.007838346530627238	CellCharter
Seurat-VST (N=2,000)	cellcharter	Clustering	0.7559399299893491	0.05302856329711256	CellCharter
Seurat-VST (N=2,000)	cellcharter	Integration	0.6013367648781255	0.1547042368247771	CellCharter
Seurat-VST (N=2,000)	cellcharter	CoreOverall	0.6786383474337373	0.08062017293274937	CellCharter
Seurat-VST (N=2,000)	graphst	Alignment	0.9032978321971827	0.03158929836174113	GraphST
Seurat-VST (N=2,000)	graphst	Clustering	0.7615767511432514	0.048786574006588375	GraphST
Seurat-VST (N=2,000)	graphst	Integration	0.578305336766348	0.1533454345218692	GraphST
Seurat-VST (N=2,000)	graphst	CoreOverall	0.6699410439547997	0.0923543449897667	GraphST
