Dataset	Type	MethodBase	Label	Standard	BatchAware	Difference	Y	DatasetLabel
STOmics0218	Overall	scanpy_seurat	scanpy-Seurat	0.7381204836483298	0.739471912118845	0.0013514284705151702	4	STOmics-0218
STOmics0218	Integration	scanpy_seurat	scanpy-Seurat	0.7782791696601682	0.7659646917814046	-0.012314477878763608	4	STOmics-0218
STOmics0218	Clustering	scanpy_seurat	scanpy-Seurat	0.6979617976364914	0.7129791324562854	0.01501733481979406	4	STOmics-0218
STOmics0218	Alignment	scanpy_seurat	scanpy-Seurat	NA	NA	NA	4	STOmics-0218
STOmics0218	Overall	scanpy_seurat_v3	scanpy-SeuratV3	0.7390410876207673	0.7404725445366513	0.0014314569158840884	2.05	STOmics-0218
STOmics0218	Integration	scanpy_seurat_v3	scanpy-SeuratV3	0.760167839572401	0.7619088566534243	0.001741017081023366	2.05	STOmics-0218
STOmics0218	Clustering	scanpy_seurat_v3	scanpy-SeuratV3	0.7179143356691338	0.7190362324198784	0.0011218967507445887	2.05	STOmics-0218
STOmics0218	Alignment	scanpy_seurat_v3	scanpy-SeuratV3	NA	NA	NA	2.05	STOmics-0218
STOmics0224	Overall	scanpy_cell_ranger	scanpy-Cell Ranger	0.5272980279846601	0.5302956221224925	0.0029975941378324045	2.7	STOmics-0224
STOmics0224	Integration	scanpy_cell_ranger	scanpy-Cell Ranger	0.738512158403091	0.7286611928753713	-0.00985096552771969	2.7	STOmics-0224
STOmics0224	Clustering	scanpy_cell_ranger	scanpy-Cell Ranger	0.3160838975662291	0.33193005136961357	0.015846153803384444	2.7	STOmics-0224
STOmics0224	Alignment	scanpy_cell_ranger	scanpy-Cell Ranger	NA	NA	NA	2.7	STOmics-0224
STOmics0224	Overall	scanpy_pearson	scanpy-Pearson	0.6247503101724562	0.5797626241694714	-0.04498768600298475	3.35	STOmics-0224
STOmics0224	Integration	scanpy_pearson	scanpy-Pearson	0.6909699864238387	0.6411553804364283	-0.04981460598741039	3.35	STOmics-0224
STOmics0224	Clustering	scanpy_pearson	scanpy-Pearson	0.5585306339210736	0.5183698679025146	-0.040160766018559	3.35	STOmics-0224
STOmics0224	Alignment	scanpy_pearson	scanpy-Pearson	NA	NA	NA	3.35	STOmics-0224
STOmics0224	Overall	scanpy_seurat	scanpy-Seurat	0.6073578114378716	0.5935243674122882	-0.013833444025583397	4	STOmics-0224
STOmics0224	Integration	scanpy_seurat	scanpy-Seurat	0.6930011911699786	0.6891170481007324	-0.0038841430692462264	4	STOmics-0224
STOmics0224	Clustering	scanpy_seurat	scanpy-Seurat	0.5217144317057646	0.4979316867238441	-0.02378274498192051	4	STOmics-0224
STOmics0224	Alignment	scanpy_seurat	scanpy-Seurat	NA	NA	NA	4	STOmics-0224
STOmics0224	Overall	scanpy_seurat_v3	scanpy-SeuratV3	0.5742063622289139	0.5830325958967566	0.008826233667842742	2.05	STOmics-0224
STOmics0224	Integration	scanpy_seurat_v3	scanpy-SeuratV3	0.5764204186163405	0.6896784923205709	0.11325807370423036	2.05	STOmics-0224
STOmics0224	Clustering	scanpy_seurat_v3	scanpy-SeuratV3	0.5719923058414874	0.47638669947294227	-0.09560560636854515	2.05	STOmics-0224
STOmics0224	Alignment	scanpy_seurat_v3	scanpy-SeuratV3	NA	NA	NA	2.05	STOmics-0224
