dataset	heldout_slice	method	heldout_topn_jaccard	heldout_moran_percentile	heldout_rank_spearman	heldout_silhouette	heldout_ari	heldout_nmi	heldout_CHAOS	heldout_PAS	Dataset	Fold	Method
MouseBrainSerialSections	section1	triku	0.3540961408259986	0.8317724870362984	0.3832627857504526	0.2765728831291199	0.6238908825681662	0.7381374564184857	0.067302704685813	0.1202226345083487	Mouse Brain	Section 1	triku (N=2,000)
MouseBrainSerialSections	section1	wilcoxon	0.1207621182404034	0.5317027074192262	0.0289258995669627	0.2719576060771942	0.6284030402944882	0.7290694143493921	0.06608220452719	0.0990723562152133	Mouse Brain	Section 1	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section2	all_features	NA	NA	NA	0.3150479793548584	0.6874175411376923	0.7990469049170372	0.0630971513372987	0.1076868579525327	Mouse Brain	Section 2	All features
MouseBrainSerialSections	section2	morans_i	0.8181818181818182	0.9447213552054248	0.5139543787519231	0.322736531496048	0.7032603983114087	0.810973496456396	0.0634014332347786	0.1037902940134608	Mouse Brain	Section 2	Moran's I (N=2,000)
MouseBrainSerialSections	section2	nnsvg	0.7613386173491854	0.9437240476665336	0.5127890135922356	0.3285208642482757	0.7079001885113916	0.8133380252678455	0.063142257166281	0.1034360609280906	Mouse Brain	Section 2	nnSVG (N=2,000)
MouseBrainSerialSections	section2	random	0.0520778537611783	0.4853302253689668	-0.0166266599811103	0.1415887326002121	0.6294078077995554	0.6967679088846356	0.0657650721249649	0.2451292950761601	Mouse Brain	Section 2	Random (N=2,000)
MouseBrainSerialSections	section2	scanpy_cell_ranger_batch	0.2970168612191958	0.7744326635420822	0.3226666247568019	0.245629072189331	0.6790053875493031	0.7486288801609702	0.0633478932105437	0.1133545873184555	Mouse Brain	Section 2	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section2	scanpy_seurat_v3_batch	0.4275517487508922	0.82441536198643806	0.3784947574231754	0.2666614949703216	0.723838667410308	0.7889525507896834	0.0622687390627828	0.1112291888062345	Mouse Brain	Section 2	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section2	scsegindex	0.0718113612004287	0.5937690217391305	0.1032305653104696	0.1482603996992111	0.5089449200203777	0.6465107102339807	0.0666880712412485	0.2079348211122919	Mouse Brain	Section 2	scSEGIndex (N=2,000)
MouseBrainSerialSections	section2	seurat_vst	0.4275517487508922	0.8244937674511368	0.3785762648877801	0.2666553854942322	0.723838667410308	0.7889525507896834	0.0622687390627828	0.1112291888062345	Mouse Brain	Section 2	Seurat-VST (N=2,000)
MouseBrainSerialSections	section2	singleCellHaystack	0.3726835964310226	0.8817510969285999	0.4401027322806343	0.3322859108448028	0.645615247840499	0.7457907298608255	0.062725433721754	0.1215019482819695	Mouse Brain	Section 2	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section2	somde	0.5408320493066255	0.8974676655364977	0.4602016303273773	0.3256451189517975	0.704464950904976	0.8028983317344415	0.0625047875614197	0.106269925611052	Mouse Brain	Section 2	SOMDE (N=2,000)
MouseBrainSerialSections	section2	sparkx	0.5238095238095238	0.9189830973274832	0.4847875536901925	0.3436059355735779	0.6962435188940957	0.8048263484362844	0.0627886080758755	0.1023733616719801	Mouse Brain	Section 2	SPARK-X (N=2,000)
MouseBrainSerialSections	section2	spatialde	0.6025641025641025	0.8617946001196649	0.4153723346770002	0.3243221044540405	0.7007140074464339	0.8067141957462148	0.0631370646269914	0.0995394969890187	Mouse Brain	Section 2	SpatialDE (N=2,000)
