fs_method	integration_method	MeanDatasetRank	MeanScore	NDatasets	GlobalRank	Scenario
seurat_vst	scvi	13.428571428571429	0.6365833997289256	7	11.0	integration_weight_0.6
singleCellHaystack	cellcharter	11.714285714285714	0.6541508078471002	7	6.5	integration_weight_0.6
singleCellHaystack	scvi	13.714285714285714	0.6041834080671828	7	12.0	integration_weight_0.6
somde	cellcharter	16.0	0.6483012999159657	7	18.5	integration_weight_0.6
somde	scvi	13.857142857142858	0.6170022690708684	7	13.0	integration_weight_0.6
sparkx	cellcharter	20.714285714285715	0.6393674264063446	7	27.0	integration_weight_0.6
sparkx	scvi	22.0	0.5846231275201345	7	28.0	integration_weight_0.6
spatialde	cellcharter	13.714285714285714	0.6506417715438977	7	12.0	integration_weight_0.6
spatialde	scvi	15.0	0.6141354022983755	7	15.0	integration_weight_0.6
statistic_mean	cellcharter	21.857142857142858	0.6383090264706899	7	28.0	integration_weight_0.6
statistic_mean	scvi	22.857142857142858	0.5760271996604459	7	29.0	integration_weight_0.6
statistic_variance	cellcharter	20.285714285714285	0.640127840445331	7	24.0	integration_weight_0.6
statistic_variance	scvi	20.0	0.5929571632164697	7	26.0	integration_weight_0.6
triku	cellcharter	11.714285714285714	0.6558883972263077	7	6.5	integration_weight_0.6
triku	scvi	9.857142857142858	0.6570685000385968	7	1.0	integration_weight_0.6
Brennecke	cellcharter	17.857142857142858	0.6604051620084986	7	21.0	integration_weight_0.4
Brennecke	scvi	22.428571428571427	0.561487576944704	7	28.0	integration_weight_0.4
anticor	cellcharter	15.285714285714286	0.6708065697228173	7	17.0	integration_weight_0.4
anticor	scvi	13.285714285714286	0.5920499548118807	7	13.5	integration_weight_0.4
dubstepr	cellcharter	15.142857142857142	0.6628600777730264	7	16.0	integration_weight_0.4
dubstepr	scvi	12.142857142857142	0.5939688577762086	7	9.0	integration_weight_0.4
hotspot	cellcharter	12.714285714285714	0.6745813377428019	7	8.5	integration_weight_0.4
hotspot	scvi	12.285714285714286	0.590620371061593	7	10.5	integration_weight_0.4
morans_i	cellcharter	15.428571428571429	0.6640750829610206	7	18.0	integration_weight_0.4
morans_i	scvi	13.714285714285714	0.5868273007274566	7	15.0	integration_weight_0.4
nbumi	cellcharter	8.0	0.6875293476103669	7	4.0	integration_weight_0.4
nbumi	scvi	11.285714285714286	0.61400169972213	7	6.0	integration_weight_0.4
nnsvg	cellcharter	18.285714285714285	0.6567438947406956	7	22.0	integration_weight_0.4
