MethodRaw	Type	MeanRank	SDRank	Method
nnSVG (N=2,000)	Alignment	18	1.4142135623730951	nnSVG (N=2,000)
scPNMF (N=2,000)	Overall	17.857142857142858	5.756983337031396	scPNMF (N=2,000)
scPNMF (N=2,000)	Integration	18.428571428571427	7.091242083423347	scPNMF (N=2,000)
scPNMF (N=2,000)	Clustering	18.571428571428573	3.9520940802374147	scPNMF (N=2,000)
scPNMF (N=2,000)	Alignment	26.5	6.363961030678928	scPNMF (N=2,000)
scSEGIndex (N=500)	Overall	32.57142857142857	1.8126539343499315	scSEGIndex (N=500)
scSEGIndex (N=500)	Integration	17.857142857142858	15.43187795256485	scSEGIndex (N=500)
scSEGIndex (N=500)	Clustering	33	1.1547005383792515	scSEGIndex (N=500)
scSEGIndex (N=500)	Alignment	19.5	16.263455967290593	scSEGIndex (N=500)
scanpy-CellRanger (N=2,000)	Overall	15	11.150485789118488	scanpy-CellRanger (N=2,000)
scanpy-CellRanger (N=2,000)	Integration	7.857142857142857	6.792853387410709	scanpy-CellRanger (N=2,000)
scanpy-CellRanger (N=2,000)	Clustering	19.714285714285715	10.562737740350679	scanpy-CellRanger (N=2,000)
scanpy-CellRanger (N=2,000)	Alignment	14.5	17.67766952966369	scanpy-CellRanger (N=2,000)
scanpy-CellRanger (batch) (N=2,000)	Overall	13.142857142857142	11.838194843085542	scanpy-CellRanger (batch) (N=2,000)
scanpy-CellRanger (batch) (N=2,000)	Integration	7.142857142857143	6.841748592978538	scanpy-CellRanger (batch) (N=2,000)
scanpy-CellRanger (batch) (N=2,000)	Clustering	19	9.273618495495704	scanpy-CellRanger (batch) (N=2,000)
scanpy-CellRanger (batch) (N=2,000)	Alignment	15	19.79898987322333	scanpy-CellRanger (batch) (N=2,000)
scanpy-Pearson (N=2,000)	Overall	12.142857142857142	5.367450401216932	scanpy-Pearson (N=2,000)
scanpy-Pearson (N=2,000)	Integration	19.142857142857142	7.668736780560656	scanpy-Pearson (N=2,000)
scanpy-Pearson (N=2,000)	Clustering	13.285714285714286	5.618845839799182	scanpy-Pearson (N=2,000)
scanpy-Pearson (N=2,000)	Alignment	22.5	9.192388155425117	scanpy-Pearson (N=2,000)
scanpy-Pearson (batch) (N=2,000)	Overall	17.857142857142858	8.173709305420875	scanpy-Pearson (batch) (N=2,000)
scanpy-Pearson (batch) (N=2,000)	Integration	16.428571428571427	5.652643713553947	scanpy-Pearson (batch) (N=2,000)
scanpy-Pearson (batch) (N=2,000)	Clustering	19.428571428571427	7.207800007795787	scanpy-Pearson (batch) (N=2,000)
scanpy-Pearson (batch) (N=2,000)	Alignment	21	2.8284271247461903	scanpy-Pearson (batch) (N=2,000)
scanpy-Seurat (N=2,000)	Overall	20.285714285714285	8.577378887016042	scanpy-Seurat (N=2,000)
scanpy-Seurat (N=2,000)	Integration	9.285714285714286	10.54694719992924	scanpy-Seurat (N=2,000)
scanpy-Seurat (N=2,000)	Clustering	24.142857142857142	9.026416258748013	scanpy-Seurat (N=2,000)
scanpy-Seurat (N=2,000)	Alignment	16.5	16.263455967290593	scanpy-Seurat (N=2,000)
