dataset	fs_method	n_features	MethodGroup	Dataset	Method	Task	Difference
DLPFC	statistic_mean	2000	expression_driven	DLPFC	Mean expression	Clustering	0.1330143838578055
DLPFC	statistic_mean	2000	expression_driven	DLPFC	Mean expression	Alignment	0.17279127152210982
DLPFC	statistic_variance	2000	expression_driven	DLPFC	Expression variance	Core overall	0.060767289497485
DLPFC	statistic_variance	2000	expression_driven	DLPFC	Expression variance	Integration	0.02296482587742643
DLPFC	statistic_variance	2000	expression_driven	DLPFC	Expression variance	Clustering	0.09856975311754379
DLPFC	statistic_variance	2000	expression_driven	DLPFC	Expression variance	Alignment	0.13375211000484222
DLPFC	triku	2000	expression_driven	DLPFC	triku	Core overall	0.06964913037908782
DLPFC	triku	2000	expression_driven	DLPFC	triku	Integration	-0.0015350720196999346
DLPFC	triku	2000	expression_driven	DLPFC	triku	Clustering	0.1408333327778758
DLPFC	triku	2000	expression_driven	DLPFC	triku	Alignment	0.11866614015079469
E8p5Embryo	Brennecke	2000	expression_driven	E8.5 Embryo	Brennecke	Core overall	0.07395338985409305
E8p5Embryo	Brennecke	2000	expression_driven	E8.5 Embryo	Brennecke	Integration	-0.22454405124102905
E8p5Embryo	Brennecke	2000	expression_driven	E8.5 Embryo	Brennecke	Clustering	0.3724508309492153
E8p5Embryo	anticor	2000	expression_driven	E8.5 Embryo	Anticor	Core overall	0.03715699842467002
E8p5Embryo	anticor	2000	expression_driven	E8.5 Embryo	Anticor	Integration	-0.22678764989449673
E8p5Embryo	anticor	2000	expression_driven	E8.5 Embryo	Anticor	Clustering	0.3011016467438367
E8p5Embryo	dubstepr	2000	expression_driven	E8.5 Embryo	DUBStepR	Core overall	-0.017488192764563038
E8p5Embryo	dubstepr	2000	expression_driven	E8.5 Embryo	DUBStepR	Integration	-0.28284082811469957
E8p5Embryo	dubstepr	2000	expression_driven	E8.5 Embryo	DUBStepR	Clustering	0.24786444258557366
E8p5Embryo	hotspot	2000	expression_driven	E8.5 Embryo	Hotspot	Core overall	0.031707309745535595
E8p5Embryo	hotspot	2000	expression_driven	E8.5 Embryo	Hotspot	Integration	-0.2581858672503145
E8p5Embryo	hotspot	2000	expression_driven	E8.5 Embryo	Hotspot	Clustering	0.3216004867413857
E8p5Embryo	morans_i	2000	spatially_informed	E8.5 Embryo	Moran's I	Core overall	-0.02647880358884136
E8p5Embryo	morans_i	2000	spatially_informed	E8.5 Embryo	Moran's I	Integration	-0.26776097429382556
E8p5Embryo	morans_i	2000	spatially_informed	E8.5 Embryo	Moran's I	Clustering	0.21480336711614278
E8p5Embryo	nbumi	2000	expression_driven	E8.5 Embryo	NBumi	Core overall	0.0376172832198195
E8p5Embryo	nbumi	2000	expression_driven	E8.5 Embryo	NBumi	Integration	-0.25851159737200985
E8p5Embryo	nbumi	2000	expression_driven	E8.5 Embryo	NBumi	Clustering	0.33374616381164907
E8p5Embryo	nnsvg	2000	spatially_informed	E8.5 Embryo	nnSVG	Core overall	-0.03476726102651684
E8p5Embryo	nnsvg	2000	spatially_informed	E8.5 Embryo	nnSVG	Integration	-0.25904733175023675
E8p5Embryo	nnsvg	2000	spatially_informed	E8.5 Embryo	nnSVG	Clustering	0.1895128096972029
E8p5Embryo	osca	2000	expression_driven	E8.5 Embryo	OSCA	Core overall	0.0036449389294874734
E8p5Embryo	osca	2000	expression_driven	E8.5 Embryo	OSCA	Integration	-0.25730730867852813
E8p5Embryo	osca	2000	expression_driven	E8.5 Embryo	OSCA	Clustering	0.26459718653750325
E8p5Embryo	scPNMF	2000	expression_driven	E8.5 Embryo	scPNMF	Core overall	-0.009000234851835764
E8p5Embryo	scPNMF	2000	expression_driven	E8.5 Embryo	scPNMF	Integration	-0.26678282290925837
E8p5Embryo	scPNMF	2000	expression_driven	E8.5 Embryo	scPNMF	Clustering	0.24878235320558661
E8p5Embryo	scanpy_cell_ranger	2000	expression_driven	E8.5 Embryo	Scanpy Cell Ranger	Core overall	0.034650664278376264
E8p5Embryo	scanpy_cell_ranger	2000	expression_driven	E8.5 Embryo	Scanpy Cell Ranger	Integration	-0.26716128765500635
E8p5Embryo	scanpy_cell_ranger	2000	expression_driven	E8.5 Embryo	Scanpy Cell Ranger	Clustering	0.3364626162117587
E8p5Embryo	scanpy_cell_ranger_batch	2000	expression_driven	E8.5 Embryo	Scanpy Cell Ranger, batch	Core overall	0.04056545765522035
E8p5Embryo	scanpy_cell_ranger_batch	2000	expression_driven	E8.5 Embryo	Scanpy Cell Ranger, batch	Integration	-0.26801357351713917
E8p5Embryo	scanpy_cell_ranger_batch	2000	expression_driven	E8.5 Embryo	Scanpy Cell Ranger, batch	Clustering	0.34914448882757976
E8p5Embryo	scanpy_pearson	2000	expression_driven	E8.5 Embryo	Scanpy Pearson	Core overall	0.04131435252483984
E8p5Embryo	scanpy_pearson	2000	expression_driven	E8.5 Embryo	Scanpy Pearson	Integration	-0.2612735302466998
E8p5Embryo	scanpy_pearson	2000	expression_driven	E8.5 Embryo	Scanpy Pearson	Clustering	0.3439022352963793
E8p5Embryo	scanpy_pearson_batch	2000	expression_driven	E8.5 Embryo	Scanpy Pearson, batch	Core overall	0.07621176421464171
E8p5Embryo	scanpy_pearson_batch	2000	expression_driven	E8.5 Embryo	Scanpy Pearson, batch	Integration	-0.22688049549692724
E8p5Embryo	scanpy_pearson_batch	2000	expression_driven	E8.5 Embryo	Scanpy Pearson, batch	Clustering	0.3793040239262104
E8p5Embryo	scanpy_seurat	2000	expression_driven	E8.5 Embryo	Scanpy Seurat	Core overall	0.0641766071588461
E8p5Embryo	scanpy_seurat	2000	expression_driven	E8.5 Embryo	Scanpy Seurat	Integration	-0.22975112348588
E8p5Embryo	scanpy_seurat	2000	expression_driven	E8.5 Embryo	Scanpy Seurat	Clustering	0.35810433780357237
E8p5Embryo	scanpy_seurat_batch	2000	expression_driven	E8.5 Embryo	Scanpy Seurat, batch	Core overall	0.07515624902672569
E8p5Embryo	scanpy_seurat_batch	2000	expression_driven	E8.5 Embryo	Scanpy Seurat, batch	Integration	-0.22713173793597885
E8p5Embryo	scanpy_seurat_batch	2000	expression_driven	E8.5 Embryo	Scanpy Seurat, batch	Clustering	0.37744423598943005
E8p5Embryo	scanpy_seurat_v3	2000	expression_driven	E8.5 Embryo	Scanpy Seurat v3	Core overall	0.023259809338292747
E8p5Embryo	scanpy_seurat_v3	2000	expression_driven	E8.5 Embryo	Scanpy Seurat v3	Integration	-0.2825245572265717
E8p5Embryo	scanpy_seurat_v3	2000	expression_driven	E8.5 Embryo	Scanpy Seurat v3	Clustering	0.32904417590315743
E8p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	E8.5 Embryo	Scanpy Seurat v3, batch	Core overall	0.0468816039706087
E8p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	E8.5 Embryo	Scanpy Seurat v3, batch	Integration	-0.27385506108397956
E8p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	E8.5 Embryo	Scanpy Seurat v3, batch	Clustering	0.36761826902519695
E8p5Embryo	scry	2000	expression_driven	E8.5 Embryo	scry	Core overall	-0.010922006801472595
E8p5Embryo	scry	2000	expression_driven	E8.5 Embryo	scry	Integration	-0.2606982706382909
E8p5Embryo	scry	2000	expression_driven	E8.5 Embryo	scry	Clustering	0.23885425703534563
E8p5Embryo	seurat_disp	2000	expression_driven	E8.5 Embryo	Seurat Dispersion	Core overall	0.056127919573115026
