Dataset	Type	SelFeatures	Value	SD	StandardValue
E8.5 Embryo	Integration	100	0.643819330528262	1.1647966421074558	0.8396566124474374
E8.5 Embryo	Integration	200	0.6658010618358972	0.4920561170242926	0.7336754893930495
E8.5 Embryo	Integration	500	0.6685230830027328	0.48237355629768724	0.3744150567003409
E8.5 Embryo	Integration	1000	0.653490442079371	0.5151784405561434	-1.800573151218876e-4
E8.5 Embryo	Integration	2000	0.6391425920489427	0.5428558401187128	-0.2219121191317478
E8.5 Embryo	Integration	5000	0.6032771756059312	0.5622798490131122	-0.8453424256444839
E8.5 Embryo	Integration	10000	0.5960600152209928	0.6510696672541126	-0.8803125564494753
E8.5 Embryo	Clustering	100	0.46237234292069923	1.1670162947431084	-0.34559498730341093
E8.5 Embryo	Clustering	200	0.45751007976812297	0.8391444669527681	-0.14482395422412533
E8.5 Embryo	Clustering	500	0.46619519341461185	0.6987897659439447	-0.011062262990716628
E8.5 Embryo	Clustering	1000	0.47873188507222825	0.5795488459878374	0.1598271097775748
E8.5 Embryo	Clustering	2000	0.4883837704091096	0.6443277946839845	0.26431058270088
E8.5 Embryo	Clustering	5000	0.49686262871463055	0.8656079337588144	0.3461664799465059
E8.5 Embryo	Clustering	10000	0.4660119803488848	1.2708303822036424	-0.2688229679067084
E8.5 Embryo	Overall	100	0.5530958367244806	1.2696926196138887	-0.104984159207697
E8.5 Embryo	Overall	200	0.56165557080201	0.8181270485021966	0.19178416202862325
E8.5 Embryo	Overall	500	0.5673591382086723	0.46664255203508437	0.2931923609527628
E8.5 Embryo	Overall	1000	0.5661111635757996	0.4737922832787964	0.24945026553433924
E8.5 Embryo	Overall	2000	0.5637631812290261	0.6379485638137009	0.23426280715823047
E8.5 Embryo	Overall	5000	0.5500699021602808	0.9475732763544885	-0.1045770737887052
E8.5 Embryo	Overall	10000	0.5310359977849388	1.106308973773044	-0.7591283626775528
E9.5 Embryo	Integration	100	0.6066793731552983	1.4976046261407516	0.6001995532126556
E9.5 Embryo	Integration	200	0.6308391496674983	0.6971976199474123	0.43728738323277166
E9.5 Embryo	Integration	500	0.6408447514019504	0.6700046283696844	0.265926828124071
E9.5 Embryo	Integration	1000	0.6373414791764298	0.5529317261958214	0.09266489699577216
