Method	IntegrationMethod	Type	MeanRank	SDRank	Integration
Seurat-VST (N=2,000)	graphst	Integration	9.571428571428571	8.462803768199262	GraphST
Seurat-VST (N=2,000)	graphst	CoreOverall	3.7142857142857144	3.498298906339371	GraphST
Seurat-VST (N=2,000)	scvi	Alignment	17.571428571428573	7.5687326736854885	scVI
Seurat-VST (N=2,000)	scvi	Clustering	8	5.656854249492381	scVI
Seurat-VST (N=2,000)	scvi	Integration	18.142857142857142	8.008923594519874	scVI
Seurat-VST (N=2,000)	scvi	CoreOverall	10.571428571428571	6.654751256486923	scVI
Seurat-scTransform (N=2,000)	cellcharter	Alignment	18	6.027713773341708	CellCharter
Seurat-scTransform (N=2,000)	cellcharter	Clustering	20.142857142857142	8.725987459471687	CellCharter
Seurat-scTransform (N=2,000)	cellcharter	Integration	12.142857142857142	7.625146368618582	CellCharter
Seurat-scTransform (N=2,000)	cellcharter	CoreOverall	19.714285714285715	8.712333895390023	CellCharter
Seurat-scTransform (N=2,000)	graphst	Alignment	18.285714285714285	5.96417878432803	GraphST
Seurat-scTransform (N=2,000)	graphst	Clustering	18	8.54400374531753	GraphST
Seurat-scTransform (N=2,000)	graphst	Integration	12.714285714285714	9.178131358729578	GraphST
Seurat-scTransform (N=2,000)	graphst	CoreOverall	17.285714285714285	3.728908942943218	GraphST
Seurat-scTransform (N=2,000)	scvi	Alignment	18.714285714285715	3.903600291794133	scVI
Seurat-scTransform (N=2,000)	scvi	Clustering	14.142857142857142	10.93051647801651	scVI
Seurat-scTransform (N=2,000)	scvi	Integration	10.857142857142858	5.520524474738834	scVI
Seurat-scTransform (N=2,000)	scvi	CoreOverall	13.142857142857142	11.553189623484524	scVI
SpatialDE (N=2,000)	cellcharter	Alignment	22	7.047458170621991	CellCharter
SpatialDE (N=2,000)	cellcharter	Clustering	13.142857142857142	7.5150642363316145	CellCharter
SpatialDE (N=2,000)	cellcharter	Integration	15.571428571428571	8.772250620700536	CellCharter
SpatialDE (N=2,000)	cellcharter	CoreOverall	13.428571428571429	6.996597812678742	CellCharter
SpatialDE (N=2,000)	graphst	Alignment	22.285714285714285	6.750661343263234	GraphST
SpatialDE (N=2,000)	graphst	Clustering	14.714285714285714	6.369570517030843	GraphST
SpatialDE (N=2,000)	graphst	Integration	14.714285714285714	7.296444013222827	GraphST
SpatialDE (N=2,000)	graphst	CoreOverall	13.285714285714286	5.437961803049794	GraphST
SpatialDE (N=2,000)	scvi	Alignment	21.857142857142858	7.537209285241044	scVI
SpatialDE (N=2,000)	scvi	Clustering	11.571428571428571	8.141603913585719	scVI
SpatialDE (N=2,000)	scvi	Integration	17.428571428571427	6.654751256486923	scVI
SpatialDE (N=2,000)	scvi	CoreOverall	12.857142857142858	6.890296835129128	scVI
Statistic mean (N=2,000)	cellcharter	Alignment	26	3.605551275463989	CellCharter
