Reference	method	Metric	Mean	SD	NFolds
Moran's I	spatialde	RankSpearman	0.37479815935221256	0.039956391882431136	6
Moran's I	triku	ARI	0.3798512167375318	0.22863824712836722	6
Moran's I	triku	Jaccard	0.27610753581447645	0.06433600223137115	6
Moran's I	triku	MeanReferencePercentile	0.7701122520948801	0.04903447229178358	6
Moran's I	triku	NMI	0.4756954175749797	0.22559267595233812	6
Moran's I	triku	RankSpearman	0.3050614388615823	0.06073820758364668	6
Moran's I	wilcoxon	ARI	0.3828318244934037	0.2177880103915008	6
Moran's I	wilcoxon	Jaccard	0.11457859345874977	0.012266551909795613	6
Moran's I	wilcoxon	MeanReferencePercentile	0.5438716608859246	0.015149633235616106	6
Moran's I	wilcoxon	NMI	0.4830032632914784	0.2129891905377081	6
Moran's I	wilcoxon	RankSpearman	0.043826048263586215	0.01752439972771427	6
nnSVG	all_features	ARI	0.3699842588722151	0.26165608047165306	6
nnSVG	all_features	Jaccard			0
nnSVG	all_features	MeanReferencePercentile			0
nnSVG	all_features	NMI	0.476369852841067	0.2537471485516944	6
nnSVG	all_features	RankSpearman			0
nnSVG	morans_i	ARI	0.37398681339935247	0.2588091694244334	6
nnSVG	morans_i	Jaccard	0.5904613515667131	0.14711442049590598	6
nnSVG	morans_i	MeanReferencePercentile	0.8602748378496266	0.05188469011374795	6
nnSVG	morans_i	NMI	0.47102851068211143	0.2564453123011554	6
nnSVG	morans_i	RankSpearman	0.5789665695217284	0.06739374430271523	6
nnSVG	nnsvg	ARI	0.3584339626917987	0.24373820571593863	6
nnSVG	nnsvg	Jaccard	0.6475657252675514	0.14722976599446405	6
nnSVG	nnsvg	MeanReferencePercentile	0.8970920324561215	0.05117716428167783	6
nnSVG	nnsvg	NMI	0.4621686021412131	0.2564606351604959	6
nnSVG	nnsvg	RankSpearman	0.6396158783693101	0.08731281978609717	6
nnSVG	random	ARI	0.28593754558877105	0.25566310744017323	6
nnSVG	random	Jaccard	0.05233410883257398	0.004095988676966961	6
nnSVG	random	MeanReferencePercentile	0.5005049182330862	0.009227401340311928	6
nnSVG	random	NMI	0.36451816945261134	0.25374839187225673	6
nnSVG	random	RankSpearman	0.0026480823942699166	0.013389166910224033	6
nnSVG	scanpy_cell_ranger_batch	ARI	0.3158056623993411	0.2619216418632375	6
nnSVG	scanpy_cell_ranger_batch	Jaccard	0.1318311493910119	0.10124084577677908	6
nnSVG	scanpy_cell_ranger_batch	MeanReferencePercentile	0.5691698773109518	0.08798454724474078	6
nnSVG	scanpy_cell_ranger_batch	NMI	0.4148056135356856	0.25695009416134545	6
nnSVG	scanpy_cell_ranger_batch	RankSpearman	0.09387422580753053	0.11525827249501157	6
nnSVG	scanpy_seurat_v3_batch	ARI	0.3718954413480262	0.23198032314742684	6
nnSVG	scanpy_seurat_v3_batch	Jaccard	0.2034855253710941	0.1558898093414635	6
nnSVG	scanpy_seurat_v3_batch	MeanReferencePercentile	0.6076735076452048	0.09468892773430711	6
nnSVG	scanpy_seurat_v3_batch	NMI	0.4776464023712419	0.22202142769016606	6
nnSVG	scanpy_seurat_v3_batch	RankSpearman	0.15142917626971433	0.1104097786333595	6
nnSVG	scsegindex	ARI	0.2764376292636816	0.21497164205378763	6
nnSVG	scsegindex	Jaccard	0.22929112237022242	0.15408973951096036	6
nnSVG	scsegindex	MeanReferencePercentile	0.7541252594199932	0.12384246801058553	6
nnSVG	scsegindex	NMI	0.372937053833782	0.22842890684538594	6
nnSVG	scsegindex	RankSpearman	0.41087717206533464	0.21731823871292197	6
nnSVG	seurat_vst	ARI	0.36805996241585714	0.23477588238667402	6
nnSVG	seurat_vst	Jaccard	0.24026152829278716	0.1308052805520698	6
nnSVG	seurat_vst	MeanReferencePercentile	0.6373995667654236	0.07508428583349774	6
nnSVG	seurat_vst	NMI	0.4723869075232187	0.22652324291282788	6
nnSVG	seurat_vst	RankSpearman	0.2057425479094608	0.07116971922678539	6
nnSVG	singleCellHaystack	ARI	0.3196000018292871	0.24784129607876784	6
nnSVG	singleCellHaystack	Jaccard	0.4599445813663177	0.1353261294420695	6
nnSVG	singleCellHaystack	MeanReferencePercentile	0.8529804040277207	0.05773669805395059	6
nnSVG	singleCellHaystack	NMI	0.4298091210314882	0.25636547775776397	6
nnSVG	singleCellHaystack	RankSpearman	0.5638266201006968	0.12996218195200365	6
nnSVG	somde	ARI	0.3925502942316366	0.24961330178437807	6
nnSVG	somde	Jaccard	0.35037563756488366	0.15511009707162962	6
nnSVG	somde	MeanReferencePercentile	0.7273636670670904	0.08946203003723154	6
nnSVG	somde	NMI	0.48907499419868944	0.2394684305733944	6
nnSVG	somde	RankSpearman	0.359266592022459	0.10072501016869297	6
nnSVG	sparkx	ARI	0.3493196806755319	0.2745201064019074	6
nnSVG	sparkx	Jaccard	0.5340798587134209	0.09242728630120288	6
nnSVG	sparkx	MeanReferencePercentile	0.8892358485260532	0.029281765476987305	6
nnSVG	sparkx	NMI	0.44983394023505974	0.2764229287966289	6
nnSVG	sparkx	RankSpearman	0.6351884247336098	0.1231115963746487	6
nnSVG	spatialde	ARI	0.3836524416007683	0.2516718372868859	6
nnSVG	spatialde	Jaccard	0.4329350618612428	0.10861696967444885	6
