dataset	fs_method	n_features	integration_method	Dataset	Integrator	Comparison	Seed0	OtherSeed
DLPFC	statistic_variance	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7555396876630315	0.7070161540388608
DLPFC	statistic_variance	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6751682105276389	0.6302468181534235
DLPFC	triku	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7837234851978898	0.7376132014782533
DLPFC	triku	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6955949550928537	0.6964898436813416
DLPFC	wilcoxon	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7429556582978643	0.7806066048339545
DLPFC	wilcoxon	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.7330011597943112	0.7394210612668195
E8p5Embryo	Brennecke	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.6148118282803072	0.6004894393312201
E8p5Embryo	Brennecke	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5316994852766228	0.5444081227159644
E8p5Embryo	TFs	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.650831711206489	0.6387202746730076
E8p5Embryo	TFs	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5483821822182795	0.5459325041976926
E8p5Embryo	all_features	all	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.4903444139559108	0.4965613868964171
E8p5Embryo	all_features	all	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.4615984783314492	0.49759686011433135
E8p5Embryo	anticor	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.6169655936679348	0.5972250734221558
E8p5Embryo	anticor	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5694916908866027	0.5666083796411958
E8p5Embryo	dubstepr	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5582884523269638	0.5457828186646518
E8p5Embryo	dubstepr	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.565694032530533	0.5689411903176054
E8p5Embryo	hotspot	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5866421232199945	0.5894040569862682
E8p5Embryo	hotspot	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5567232987384755	0.5686412410503844
E8p5Embryo	morans_i	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5456777063774453	0.5404720704291808
E8p5Embryo	morans_i	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.575258838420628	0.5723717199144865
E8p5Embryo	nbumi	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5759539288919868	0.5947384694008997
E8p5Embryo	nbumi	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5445417137874339	0.560602076774719
E8p5Embryo	nnsvg	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5323948888532604	0.5497943415196243
E8p5Embryo	nnsvg	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5664009891731141	0.5765494962830896
E8p5Embryo	osca	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.562917082937221	0.5728255932669211
E8p5Embryo	osca	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5687210425585572	0.5709492044567623
E8p5Embryo	random	500	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5769577495160216	0.5709886706916358
E8p5Embryo	random	500	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.4896689291370688	0.4963225395244435
E8p5Embryo	scPNMF	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5454760900121212	0.5413534345017996
E8p5Embryo	scPNMF	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5414029588926782	0.5409197667746101
E8p5Embryo	scanpy_cell_ranger	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5972516918375343	0.6202757781121506
E8p5Embryo	scanpy_cell_ranger	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5684006202410621	0.571877320836306
E8p5Embryo	scanpy_cell_ranger_batch	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.6114589956848998	0.5999491742425185
E8p5Embryo	scanpy_cell_ranger_batch	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5652073156330253	0.567247382250146
E8p5Embryo	scanpy_pearson	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.6099432741027526	0.6110889953523968
E8p5Embryo	scanpy_pearson	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5576408003304443	0.5732118974972804
E8p5Embryo	scanpy_pearson_batch	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.6253073266526776	0.6258077360766434
E8p5Embryo	scanpy_pearson_batch	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5455453264403549	0.550199747887595
E8p5Embryo	scanpy_seurat	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.6224714746737858	0.5988310472564388
E8p5Embryo	scanpy_seurat	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5489547771973389	0.542087065091935
E8p5Embryo	scanpy_seurat_batch	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.6158404831125004	0.6173452750448423
E8p5Embryo	scanpy_seurat_batch	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5430371134700956	0.5333949884929386
E8p5Embryo	scanpy_seurat_v3	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5973327679694039	0.597395586297047
E8p5Embryo	scanpy_seurat_v3	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5689064671042271	0.5788711487597745
E8p5Embryo	scanpy_seurat_v3_batch	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.6013043142561112	0.6061348616271163
E8p5Embryo	scanpy_seurat_v3_batch	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5389569707553783	0.5611734439812757
E8p5Embryo	scry	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5290531998474746	0.532551987222873
E8p5Embryo	scry	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5534398034674126	0.5372257178003306
E8p5Embryo	scsegindex	500	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5913955762540153	0.5790171215008191
E8p5Embryo	scsegindex	500	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.518630664978228	0.5124240963232601
E8p5Embryo	seurat_disp	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5978015819489517	0.6035112607220574
E8p5Embryo	seurat_disp	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5350357299933082	0.5366285439423326
E8p5Embryo	seurat_mvp	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5990366147138411	0.60216579739489
E8p5Embryo	seurat_mvp	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.542951311469716	0.5545327667960227
E8p5Embryo	seurat_sct	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.4551249115246277	0.4680387994945108
E8p5Embryo	seurat_sct	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.430409811092524	0.4324889647389368
E8p5Embryo	seurat_vst	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.599692205744766	0.60063396986106
E8p5Embryo	seurat_vst	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5569807952810766	0.5770993354035167
E8p5Embryo	singleCellHaystack	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5608245744943523	0.5597648614336832
E8p5Embryo	singleCellHaystack	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5538962753589279	0.5811508723640026
E8p5Embryo	somde	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.572417152772704	0.5794190685974552
E8p5Embryo	somde	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5755013481943643	0.5605661125318159
E8p5Embryo	sparkx	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5453786459796349	0.5426647208053046
E8p5Embryo	sparkx	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5534458611448456	0.5633754438272913
E8p5Embryo	spatialde	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5508612579340761	0.564361939180788
E8p5Embryo	spatialde	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5643468735967198	0.5762569270076134
E8p5Embryo	statistic_mean	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.543517203345006	0.5336111515548827
E8p5Embryo	statistic_mean	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5370427470464401	0.5317855050554678
E8p5Embryo	statistic_variance	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5169260694779831	0.5249767258402981
E8p5Embryo	statistic_variance	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5355760045176552	0.5557929105429873
E8p5Embryo	triku	2000	cellcharter	E8.5 Embryo	CellCharter	Seed 0 vs 1	0.5835207233023558	0.5921367792188276
E8p5Embryo	triku	2000	scvi	E8.5 Embryo	scVI	Seed 0 vs 1	0.5533637982741543	0.5697560929374539
E9p5Embryo	Brennecke	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5685304461922535	0.5543574633113192
E9p5Embryo	Brennecke	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5219668259405206	0.5245928215319006
E9p5Embryo	TFs	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.6064142923780909	0.5911243036192901
E9p5Embryo	TFs	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5198447414855424	0.508761567624804
E9p5Embryo	all_features	all	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5367756604250697	0.5086710266757477
E9p5Embryo	all_features	all	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5140454134525393	0.5241109318299919
E9p5Embryo	anticor	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5836537435892556	0.5826618666752312
E9p5Embryo	anticor	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5285605601159458	0.5447735664207739
E9p5Embryo	dubstepr	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5733656339048614	0.576883905030876
E9p5Embryo	dubstepr	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5544314122043837	0.5271207303449834
E9p5Embryo	hotspot	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5905462463350507	0.5907904858759792
E9p5Embryo	hotspot	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5498342910016595	0.5326039501729932
E9p5Embryo	morans_i	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.570207457472259	0.566360939212739
E9p5Embryo	morans_i	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5468194352165465	0.5454739275765511
E9p5Embryo	nbumi	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5868067037213741	0.5794002907413616
E9p5Embryo	nbumi	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5594636807633241	0.5424080657071751
E9p5Embryo	nnsvg	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.56801298986238	0.5673163669590192
E9p5Embryo	nnsvg	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5401227871952547	0.5399751656256706
E9p5Embryo	osca	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5679204159550524	0.5904416394197599
E9p5Embryo	osca	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5511951308115384	0.5357908269801133
E9p5Embryo	random	500	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.4984115372068392	0.49266658671300434
E9p5Embryo	random	500	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.4682341467712045	0.4880589538020507
E9p5Embryo	scPNMF	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.557891272076805	0.5635264916488292
E9p5Embryo	scPNMF	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5305966766315504	0.5515527936965837
E9p5Embryo	scanpy_cell_ranger	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.619181692161328	0.6210692972110025
E9p5Embryo	scanpy_cell_ranger	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.551051040647843	0.5502768499616637
E9p5Embryo	scanpy_cell_ranger_batch	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.6170550860641157	0.6151685447645516
E9p5Embryo	scanpy_cell_ranger_batch	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5435186323936587	0.5336717880491046
E9p5Embryo	scanpy_pearson	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5932803873568573	0.6015975367694386
E9p5Embryo	scanpy_pearson	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5489154314086754	0.5400118372750095
E9p5Embryo	scanpy_pearson_batch	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.603297622537184	0.5917436882114473
E9p5Embryo	scanpy_pearson_batch	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5308962607599009	0.5054193847256704
E9p5Embryo	scanpy_seurat	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5947227732743331	0.596174038969767
E9p5Embryo	scanpy_seurat	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5308473305277356	0.5267938093763229
E9p5Embryo	scanpy_seurat_batch	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5968784818371919	0.5803425573963621
E9p5Embryo	scanpy_seurat_batch	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5168815282910243	0.532759877644927
E9p5Embryo	scanpy_seurat_v3	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.6216100284012525	0.6110101278934994
E9p5Embryo	scanpy_seurat_v3	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5493946239645888	0.5544553008760531
E9p5Embryo	scanpy_seurat_v3_batch	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.6000162446116932	0.6082044946808152
E9p5Embryo	scanpy_seurat_v3_batch	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5263442891647218	0.530132279456973
