dataset	Context	fs_method	MethodGroup	ScoreType	Rank	Method
STOmics0212Immune	Immune	scanpy_pearson_batch	expression_driven	Integration	9	Scanpy Pearson, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_pearson_batch	expression_driven	Clustering	10	Scanpy Pearson, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat	expression_driven	Overall	33	Scanpy Seurat (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat	expression_driven	Integration	33	Scanpy Seurat (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat	expression_driven	Clustering	23	Scanpy Seurat (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_batch	expression_driven	Overall	22	Scanpy Seurat, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_batch	expression_driven	Integration	11	Scanpy Seurat, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_batch	expression_driven	Clustering	28	Scanpy Seurat, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_v3	expression_driven	Overall	31	Scanpy Seurat v3 (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_v3	expression_driven	Integration	32	Scanpy Seurat v3 (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_v3	expression_driven	Clustering	20	Scanpy Seurat v3 (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_v3_batch	expression_driven	Overall	9	Scanpy Seurat v3, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_v3_batch	expression_driven	Integration	20	Scanpy Seurat v3, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_seurat_v3_batch	expression_driven	Clustering	8	Scanpy Seurat v3, batch (N=2,000)
STOmics0212Immune	Immune	scry	expression_driven	Overall	11	scry (N=2,000)
STOmics0212Immune	Immune	scry	expression_driven	Integration	24	scry (N=2,000)
STOmics0212Immune	Immune	scry	expression_driven	Clustering	6	scry (N=2,000)
STOmics0212Immune	Immune	scsegindex	control	Overall	21	scSEGIndex (N=500)
STOmics0212Immune	Immune	scsegindex	control	Integration	14	scSEGIndex (N=500)
STOmics0212Immune	Immune	scsegindex	control	Clustering	24	scSEGIndex (N=500)
STOmics0212Immune	Immune	seurat_disp	expression_driven	Overall	19	Seurat Dispersion (N=2,000)
STOmics0212Immune	Immune	seurat_disp	expression_driven	Integration	17	Seurat Dispersion (N=2,000)
STOmics0212Immune	Immune	seurat_disp	expression_driven	Clustering	13	Seurat Dispersion (N=2,000)
STOmics0212Immune	Immune	seurat_mvp	expression_driven	Overall	34	Seurat MVP (N=2,000)
STOmics0212Immune	Immune	seurat_mvp	expression_driven	Integration	28	Seurat MVP (N=2,000)
STOmics0212Immune	Immune	seurat_mvp	expression_driven	Clustering	31	Seurat MVP (N=2,000)
STOmics0212Immune	Immune	seurat_sct	expression_driven	Overall	4	Seurat sctransform (N=2,000)
STOmics0212Immune	Immune	seurat_sct	expression_driven	Integration	5	Seurat sctransform (N=2,000)
STOmics0212Immune	Immune	seurat_sct	expression_driven	Clustering	26	Seurat sctransform (N=2,000)
STOmics0212Immune	Immune	seurat_vst	expression_driven	Overall	29	Seurat VST (N=2,000)
STOmics0212Immune	Immune	seurat_vst	expression_driven	Integration	29	Seurat VST (N=2,000)
STOmics0212Immune	Immune	seurat_vst	expression_driven	Clustering	14	Seurat VST (N=2,000)
STOmics0212Immune	Immune	singleCellHaystack	expression_driven	Overall	8	singleCellHaystack (N=2,000)
STOmics0212Immune	Immune	singleCellHaystack	expression_driven	Integration	25	singleCellHaystack (N=2,000)
STOmics0212Immune	Immune	singleCellHaystack	expression_driven	Clustering	3	singleCellHaystack (N=2,000)
STOmics0212Immune	Immune	somde	spatially_informed	Overall	5	SOMDE (N=2,000)
STOmics0212Immune	Immune	somde	spatially_informed	Integration	23	SOMDE (N=2,000)
STOmics0212Immune	Immune	somde	spatially_informed	Clustering	4	SOMDE (N=2,000)
STOmics0212Immune	Immune	sparkx	spatially_informed	Overall	10	SPARK-X (N=2,000)
STOmics0212Immune	Immune	sparkx	spatially_informed	Integration	27	SPARK-X (N=2,000)
STOmics0212Immune	Immune	sparkx	spatially_informed	Clustering	2	SPARK-X (N=2,000)
