fs_method	integration_method	MethodGroup	MeanIntegrationScore	SDIntegrationScore	MeanIntegrationRank	SDIntegrationRank	NIntegrationDatasets	MeanClusteringScore	SDClusteringScore	MeanClusteringRank	SDClusteringRank	NClusteringDatasets	MeanAlignmentScore	SDAlignmentScore	MeanAlignmentRank	SDAlignmentRank	NAlignmentDatasets	MeanCoreOverallScore	SDCoreOverallScore	MeanCoreOverallRank	SDCoreOverallRank	NCoreOverallDatasets	MeanAlignmentEligibleOverallScore	SDAlignmentEligibleOverallScore	MeanAlignmentEligibleOverallRank	SDAlignmentEligibleOverallRank	NAlignmentEligibleOverallDatasets	GlobalCoreOverallRank
statistic_mean	cellcharter	expression_driven	0.6208164952274277	0.10370401821194568	17.285714285714285	9.304376850247875	7	0.6645478233355833	0.09526948807379024	22.428571428571427	6.294366339755546	7	0.9308131325001909	0.030080937707631032	24.5	7.7781745930520225	2	0.6426821592815054	0.0911934467659003	24.857142857142858	4.6700667885506535	7	0.797757652989733	0.03332151011613424	22.5	4.949747468305833	2	30.0
scPNMF	cellcharter	expression_driven	0.5989972387867665	0.11226757361565112	24.428571428571427	6.051367417290708	7	0.6851699836925829	0.07750487467834467	19.428571428571427	3.552329886011098	7	0.9225033167416854	0.05283517292312316	22.5	2.1213203435596424	2	0.6420836112396747	0.08576658430908884	25.571428571428573	1.9880595947760098	7	0.7865978935429421	0.04755784369699747	26.5	2.1213203435596424	2	31.0
random	cellcharter	control	0.6931579449248223	0.05883926131041559	11.285714285714286	12.763414978161679	7	0.5191747519904493	0.1803547164901681	32.714285714285715	0.7559289460184546	7	0.8058452961764347	0.14975293048349506	33.5	0.7071067811865476	2	0.6061663484576358	0.10116989713982805	27.285714285714285	9.961831921795069	7	0.7168955452881779	0.11267489029411891	33.0	1.4142135623730951	2	32.5
scsegindex	cellcharter	control	0.7116010571536912	0.08803026415625574	8.142857142857142	12.226045578035054	7	0.5169908469622275	0.11675337903700192	33.0	1.4142135623730956	7	0.8089907008008625	0.08684916408906379	33.0	1.4142135623730951	2	0.6142959520579593	0.07967806832693983	27.285714285714285	9.086882225022428	7	0.715325616963956	0.09890225413064758	33.5	0.7071067811865476	2	32.5
all_features	cellcharter	control	0.6018474811315616	0.1100717424895682	23.857142857142858	8.877472827867388	7	0.6219966982272153	0.10726611309533755	30.428571428571427	0.7867957924694434	7	0.8924465255919547	0.03634812461973372	29.0	4.242640687119285	2	0.6119220896793884	0.09936315307832554	32.0	1.1547005383792512	7	0.7584155372460772	0.0513464931450094	32.0	1.4142135623730951	2	34.0
triku	scvi	expression_driven	0.6944382142631301	0.08445917455729678	15.857142857142858	10.899978156378287	7	0.6010139287017969	0.15667735386686918	7.285714285714286	5.219012860502955	7	0.8908714859158289	0.09580959329798808	3.5	0.7071067811865476	2	0.6477260714824634	0.09634762678290913	7.285714285714286	4.423960733486292	7	0.7891764412115119	0.07895753953853325	4.5	2.1213203435596424	2	1.0
somde	scvi	spatially_informed	0.6491154570562347	0.11232561266545239	20.714285714285715	10.889050857234002	7	0.5688324870928191	0.10261135950894215	10.714285714285714	10.46763720098421	7	0.815636194255011	0.02920308594890782	9.5	12.020815280171307	2	0.608973972074527	0.08610064720352933	10.714285714285714	8.28078671210825	7	0.6689134605682561	0.09923675097644631	11.5	10.606601717798213	2	2.0
seurat_vst	scvi	expression_driven	0.669054110939722	0.10318039149842746	20.285714285714285	8.845230083954585	7	0.5878773329127313	0.14227378015388167	8.285714285714286	6.369570517030844	7	0.8730405603443283	0.07621386915987323	6.5	0.7071067811865476	2	0.6284657219262266	0.0849413774274503	11.0	6.95221787153807	7	0.7569237578993802	0.039049770904828626	8.0	1.4142135623730951	2	3.0
osca	scvi	expression_driven	0.6669060387516997	0.1252947146363511	15.142857142857142	6.618876325292972	7	0.5612310913986921	0.1372037802138101	13.571428571428571	1.6183471874253743	7	0.7237543528408267	0.08976850068076982	19.0	9.899494936611665	2	0.6140685650751959	0.07688869202105157	11.142857142857142	3.532165125838609	7	0.6551616829347237	0.08234313462693858	17.0	5.656854249492381	2	4.0
wilcoxon	scvi	label_informed	0.6628491713476332	0.11938139567331954	11.2	7.694153624668538	5	0.6369703218356446	0.03658561440607858	13.8	11.987493482792805	5	0.8501849054638883	0.04420599355414709	8.5	2.1213203435596424	2	0.6499097465916388	0.06770783506928352	11.4	10.807404868885037	5	0.7191603115295263	0.03699368025339138	6.0	7.0710678118654755	2	5.0
