fs_method	Context	Label	MarkerOverlap	MarkerOverlapSD	NSeeds	FullMarkerOverlap	Difference
singleCellHaystack	Epithelial	Merkel Cell	0.41	NA	3	0.36	0.04999999999999999
singleCellHaystack	Epithelial	Progenitor Cell	0.12	NA	3	0.013333333333333334	0.10666666666666666
singleCellHaystack	Epithelial	Stem Cell	0.8	NA	3	0.41	0.39000000000000007
singleCellHaystack	Immune	Langerhans Cell	0.16	NA	3	0.03666666666666667	0.12333333333333334
singleCellHaystack	Immune	T Cell	0.04	NA	3	0.5233333333333333	-0.48333333333333334
somde	Epithelial	Keratinocyte	0.6	NA	1	0.79	-0.19000000000000006
somde	Epithelial	Merkel Cell	0.34	NA	1	0.75	-0.41
somde	Epithelial	Progenitor Cell	0.37	NA	1	0.74	-0.37
somde	Epithelial	Stem Cell	0.44	NA	1	0.61	-0.16999999999999998
somde	Immune	Langerhans Cell	0.53	NA	1	0.81	-0.28
somde	Immune	T Cell	0.27	NA	1	0.54	-0.27
sparkx	Epithelial	Keratinocyte	0.96	NA	1	0.95	0.010000000000000009
sparkx	Epithelial	Merkel Cell	0.12	NA	1	0.13	-0.010000000000000009
sparkx	Epithelial	Progenitor Cell	0.27	NA	1	0.22	0.05000000000000002
sparkx	Epithelial	Stem Cell	0.8	NA	1	0.81	-0.010000000000000009
sparkx	Immune	Langerhans Cell	0.74	NA	1	0.28	0.45999999999999996
sparkx	Immune	T Cell	0.53	NA	1	0.8	-0.27
spatialde	Epithelial	Keratinocyte	1	NA	3	0.9966666666666667	0.0033333333333332993
spatialde	Epithelial	Merkel Cell	0.6933333333333332	NA	3	0.68	0.013333333333333197
spatialde	Epithelial	Progenitor Cell	0.7333333333333333	NA	3	0.78	-0.046666666666666745
spatialde	Epithelial	Stem Cell	0.9166666666666667	NA	3	0.88	0.036666666666666736
spatialde	Immune	Langerhans Cell	0.94	NA	3	0.9166666666666667	0.023333333333333206
spatialde	Immune	T Cell	0.42	NA	3	0.8866666666666667	-0.46666666666666673
statistic_mean	Epithelial	Keratinocyte	1	NA	1	0.99	0.010000000000000009
statistic_mean	Epithelial	Merkel Cell	0.56	NA	1	0.57	-0.009999999999999898
statistic_mean	Epithelial	Progenitor Cell	0.82	NA	1	0.87	-0.050000000000000044
statistic_mean	Epithelial	Stem Cell	0.92	NA	1	0.92	0
statistic_mean	Immune	Langerhans Cell	1	NA	1	0.96	0.040000000000000036
statistic_mean	Immune	T Cell	0.54	NA	1	0.66	-0.12
statistic_variance	Epithelial	Keratinocyte	1	NA	1	0.99	0.010000000000000009
statistic_variance	Epithelial	Merkel Cell	0.67	NA	1	0.65	0.020000000000000018
statistic_variance	Epithelial	Progenitor Cell	0.9	NA	1	0.96	-0.05999999999999994
statistic_variance	Epithelial	Stem Cell	0.95	NA	1	0.93	0.019999999999999907
statistic_variance	Immune	Langerhans Cell	1	NA	1	1	0
statistic_variance	Immune	T Cell	0.54	NA	1	0.64	-0.09999999999999998
triku	Epithelial	Keratinocyte	0.75	NA	3	0.9333333333333333	-0.18333333333333335
triku	Epithelial	Merkel Cell	0.68	NA	3	0.6733333333333333	0.00666666666666671
triku	Epithelial	Progenitor Cell	0.59	NA	3	0.5533333333333333	0.036666666666666625
triku	Epithelial	Stem Cell	0.48	NA	3	0.6033333333333333	-0.1233333333333333
triku	Immune	Langerhans Cell	0.56	NA	3	0.6466666666666667	-0.08666666666666667
triku	Immune	T Cell	0.8	NA	3	0.6666666666666667	0.1333333333333333
wilcoxon	Epithelial	Keratinocyte	0.25	NA	1	0.26	-0.010000000000000009
wilcoxon	Epithelial	Merkel Cell	0.89	NA	1	0.59	0.30000000000000004
wilcoxon	Epithelial	Progenitor Cell	0.99	NA	1	1	-0.010000000000000009
wilcoxon	Epithelial	Stem Cell	0.41	NA	1	0.17	0.23999999999999996
wilcoxon	Immune	Langerhans Cell	0.36	NA	1	0.88	-0.52
wilcoxon	Immune	T Cell	0.72	NA	1	0.21	0.51
