dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
MouseBrainSerialSections	section1	singleCellHaystack	2000	0	heldout_clustering	heldout_ari	0.6212610477633856	50.00462262891233	ARI	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section1	singleCellHaystack	2000	0	heldout_clustering	heldout_nmi	0.736884258915065	50.00462262891233	NMI	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section1	somde	2000	0	heldout_clustering	heldout_ari	0.7211975697886338	269.45996464416385	ARI	SOMDE (N=2,000)
MouseBrainSerialSections	section1	somde	2000	0	heldout_clustering	heldout_nmi	0.7822710739416103	269.45996464416385	NMI	SOMDE (N=2,000)
MouseBrainSerialSections	section1	sparkx	2000	0	heldout_clustering	heldout_ari	0.7027840574670847	59.59254124294967	ARI	SPARK-X (N=2,000)
MouseBrainSerialSections	section1	sparkx	2000	0	heldout_clustering	heldout_nmi	0.7765226074518532	59.59254124294967	NMI	SPARK-X (N=2,000)
MouseBrainSerialSections	section1	spatialde	2000	0	heldout_clustering	heldout_ari	0.7116842118734247	266.20023346785456	ARI	SpatialDE (N=2,000)
MouseBrainSerialSections	section1	spatialde	2000	0	heldout_clustering	heldout_nmi	0.7746604235988921	266.20023346785456	NMI	SpatialDE (N=2,000)
MouseBrainSerialSections	section1	triku	2000	0	heldout_clustering	heldout_ari	0.6238908825681662	38.79895367473364	ARI	triku (N=2,000)
MouseBrainSerialSections	section1	triku	2000	0	heldout_clustering	heldout_nmi	0.7381374564184857	38.79895367473364	NMI	triku (N=2,000)
MouseBrainSerialSections	section1	wilcoxon	2000	0	heldout_clustering	heldout_ari	0.6284030402944882	34.010841231793165	ARI	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section1	wilcoxon	2000	0	heldout_clustering	heldout_nmi	0.7290694143493921	34.010841231793165	NMI	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section2	all_features	2000	0	heldout_clustering	heldout_ari	0.6874175411376923	0.001662771217525	ARI	All features
MouseBrainSerialSections	section2	all_features	2000	0	heldout_clustering	heldout_nmi	0.7990469049170372	0.001662771217525	NMI	All features
MouseBrainSerialSections	section2	morans_i	2000	0	heldout_clustering	heldout_ari	0.7032603983114087	1.6735448213294148	ARI	Moran's I (N=2,000)
MouseBrainSerialSections	section2	morans_i	2000	0	heldout_clustering	heldout_nmi	0.810973496456396	1.6735448213294148	NMI	Moran's I (N=2,000)
MouseBrainSerialSections	section2	nnsvg	2000	0	heldout_clustering	heldout_ari	0.7079001885113916	10999.72357568238	ARI	nnSVG (N=2,000)
MouseBrainSerialSections	section2	nnsvg	2000	0	heldout_clustering	heldout_nmi	0.8133380252678455	10999.72357568238	NMI	nnSVG (N=2,000)
MouseBrainSerialSections	section2	random	2000	0	heldout_clustering	heldout_ari	0.6294078077995554	0.0013078255578875	ARI	Random (N=2,000)
MouseBrainSerialSections	section2	random	2000	0	heldout_clustering	heldout_nmi	0.6967679088846356	0.0013078255578875	NMI	Random (N=2,000)
MouseBrainSerialSections	section2	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_ari	0.6790053875493031	1.35791836399585	ARI	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section2	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_nmi	0.7486288801609702	1.35791836399585	NMI	scanpy-CellRanger (batch) (N=2,000)
