dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup	NFeatures	Dataset	Integrator	Method
DLPFC	dubstepr	1000	scvi	0.8448817280777785	NA	1	0.7051210276574336	NA	1	0.775001377867606	NA	1	0.4855978702138393	NA	1	0.6484161439586437	NA	1	0.5670070070862415	NA	1	0.811211308430736	NA	1	0.6710041924769238	NA	1	0.7177398977948611	NA	1	expression_driven	1000	DLPFC	scVI	DUBStepR
DLPFC	dubstepr	10000	cellcharter	0.569567852575858	NA	1	0.9496315259837084	NA	1	0.7595996892797832	NA	1	0.7079471166818698	NA	1	0.7291846639584767	NA	1	0.7185658903201733	NA	1	0.926813199783142	NA	1	0.7390827897999782	NA	1	0.8016595931276994	NA	1	expression_driven	10000	DLPFC	CellCharter	DUBStepR
DLPFC	dubstepr	10000	scvi	0.8083164994559824	NA	1	0.7344513077761624	NA	1	0.7713839036160723	NA	1	0.5064769226477521	NA	1	0.6991200524603893	NA	1	0.6027984875540707	NA	1	0.8184298396814251	NA	1	0.6870911955850716	NA	1	0.7308707436171895	NA	1	expression_driven	10000	DLPFC	scVI	DUBStepR
DLPFC	dubstepr	200	cellcharter	0.6392078180770862	NA	1	0.8769300518714895	NA	1	0.7580689349742878	NA	1	0.6710857882059743	NA	1	0.6806241203745782	NA	1	0.6758549542902763	NA	1	0.9043384053725944	NA	1	0.7169619446322821	NA	1	0.7794207648790529	NA	1	expression_driven	200	DLPFC	CellCharter	DUBStepR
DLPFC	dubstepr	200	scvi	0.8730858572395872	NA	1	0.6495752787582443	NA	1	0.7613305679989157	NA	1	0.47803062325214657	NA	1	0.5667135073714433	NA	1	0.5223720653117949	NA	1	0.7689534542051154	NA	1	0.6418513166553553	NA	1	0.6842186958386086	NA	1	expression_driven	200	DLPFC	scVI	DUBStepR
DLPFC	dubstepr	2000	cellcharter	0.5676949608535634	0.00354540563060426	3	0.95425417985785	0.00482316593215758	3	0.7609745703557067	0.00121294088401619	3	0.706922386740961	9.8346322377897e-4	3	0.6881526847236229	0.06312300425674074	3	0.6975375357322919	0.0319874030802809	3	0.9296509408060478	0.00349043899866116	3	0.7292560530439993	0.01556544671689863	3	0.7960543489646822	0.01068162684338409	3	expression_driven	2000	DLPFC	CellCharter	DUBStepR
DLPFC	dubstepr	2000	scvi	0.8113686337161141	0.03376355122178883	3	0.7281999369782866	0.00627503723244716	3	0.7697842853472004	0.01530640504896613	3	0.5152503300898409	0.00820371246263675	3	0.7086935325682492	0.01684271547368015	3	0.611971931329045	0.00982664722193326	3	0.8141767943246973	0.00368408771496214	3	0.6908781083381227	0.01101318275599946	3	0.7319776703336475	0.00710030160976855	3	expression_driven	2000	DLPFC	scVI	DUBStepR
DLPFC	dubstepr	500	cellcharter	0.6076155193643279	NA	1	0.9233644734595626	NA	1	0.7654899964119453	NA	1	0.6873684734986153	NA	1	0.7629703318648586	NA	1	0.725169402681737	NA	1	0.9190224956916913	NA	1	0.7453296995468411	NA	1	0.8032272982617913	NA	1	expression_driven	500	DLPFC	CellCharter	DUBStepR
DLPFC	dubstepr	500	scvi	0.7857758548148206	NA	1	0.6915148731991883	NA	1	0.7386453640070044	NA	1	0.5017337448559371	NA	1	0.6373594573177901	NA	1	0.5695466010868636	NA	1	0.7872015975534583	NA	1	0.654095982546934	NA	1	0.6984645208824422	NA	1	expression_driven	500	DLPFC	scVI	DUBStepR
DLPFC	dubstepr	5000	cellcharter	0.569567852575858	NA	1	0.9496315259837084	NA	1	0.7595996892797832	NA	1	0.7079471166818698	NA	1	0.7291846639584767	NA	1	0.7185658903201733	NA	1	0.926813199783142	NA	1	0.7390827897999782	NA	1	0.8016595931276994	NA	1	expression_driven	5000	DLPFC	CellCharter	DUBStepR
