fs_method	Context	Label	MarkerOverlap	MarkerOverlapSD	NSeeds
scanpy_cell_ranger_batch	Epithelial	Progenitor Cell	0.74	NA	1
scanpy_cell_ranger_batch	Epithelial	Stem Cell	0.12	NA	1
scanpy_cell_ranger_batch	Full	Keratinocyte	0.06	NA	1
scanpy_cell_ranger_batch	Full	Langerhans Cell	0.52	NA	1
scanpy_cell_ranger_batch	Full	Merkel Cell	0.62	NA	1
scanpy_cell_ranger_batch	Full	Progenitor Cell	0.7	NA	1
scanpy_cell_ranger_batch	Full	Stem Cell	0.11	NA	1
scanpy_cell_ranger_batch	Full	T Cell	0.12	NA	1
scanpy_cell_ranger_batch	Immune	Langerhans Cell	0.27	NA	1
scanpy_cell_ranger_batch	Immune	T Cell	0.3	NA	1
scanpy_pearson	Epithelial	Keratinocyte	0.47	NA	1
scanpy_pearson	Epithelial	Merkel Cell	0.88	NA	1
scanpy_pearson	Epithelial	Progenitor Cell	0.99	NA	1
scanpy_pearson	Epithelial	Stem Cell	0.61	NA	1
scanpy_pearson	Full	Keratinocyte	0.43	NA	1
scanpy_pearson	Full	Langerhans Cell	0.98	NA	1
scanpy_pearson	Full	Merkel Cell	0.84	NA	1
scanpy_pearson	Full	Progenitor Cell	0.97	NA	1
scanpy_pearson	Full	Stem Cell	0.54	NA	1
scanpy_pearson	Full	T Cell	0.28	NA	1
scanpy_pearson	Immune	Langerhans Cell	0.98	NA	1
scanpy_pearson	Immune	T Cell	0.13	NA	1
scanpy_pearson_batch	Epithelial	Keratinocyte	0.49	NA	1
scanpy_pearson_batch	Epithelial	Merkel Cell	0.88	NA	1
scanpy_pearson_batch	Epithelial	Progenitor Cell	0.95	NA	1
scanpy_pearson_batch	Epithelial	Stem Cell	0.58	NA	1
scanpy_pearson_batch	Full	Keratinocyte	0.54	NA	1
scanpy_pearson_batch	Full	Langerhans Cell	0.96	NA	1
scanpy_pearson_batch	Full	Merkel Cell	0.85	NA	1
scanpy_pearson_batch	Full	Progenitor Cell	0.94	NA	1
scanpy_pearson_batch	Full	Stem Cell	0.59	NA	1
scanpy_pearson_batch	Full	T Cell	0.29	NA	1
scanpy_pearson_batch	Immune	Langerhans Cell	0.99	NA	1
scanpy_pearson_batch	Immune	T Cell	0.38	NA	1
scanpy_seurat	Epithelial	Keratinocyte	0.07	NA	1
scanpy_seurat	Epithelial	Merkel Cell	0.56	NA	1
scanpy_seurat	Epithelial	Progenitor Cell	0.75	NA	1
scanpy_seurat	Epithelial	Stem Cell	0.2	NA	1
scanpy_seurat	Full	Keratinocyte	0.08	NA	1
scanpy_seurat	Full	Langerhans Cell	0.42	NA	1
scanpy_seurat	Full	Merkel Cell	0.5	NA	1
scanpy_seurat	Full	Progenitor Cell	0.58	NA	1
scanpy_seurat	Full	Stem Cell	0.17	NA	1
scanpy_seurat	Full	T Cell	0.07	NA	1
scanpy_seurat	Immune	Langerhans Cell	0.29	NA	1
scanpy_seurat	Immune	T Cell	0.22	NA	1
scanpy_seurat_batch	Epithelial	Keratinocyte	0.13	NA	1
scanpy_seurat_batch	Epithelial	Merkel Cell	0.63	NA	1
scanpy_seurat_batch	Epithelial	Progenitor Cell	0.82	NA	1
scanpy_seurat_batch	Epithelial	Stem Cell	0.15	NA	1
scanpy_seurat_batch	Full	Keratinocyte	0.17	NA	1
scanpy_seurat_batch	Full	Langerhans Cell	0.74	NA	1
scanpy_seurat_batch	Full	Merkel Cell	0.6	NA	1
scanpy_seurat_batch	Full	Progenitor Cell	0.78	NA	1
scanpy_seurat_batch	Full	Stem Cell	0.2	NA	1
scanpy_seurat_batch	Full	T Cell	0.08	NA	1
scanpy_seurat_batch	Immune	Langerhans Cell	0.54	NA	1
scanpy_seurat_batch	Immune	T Cell	0.18	NA	1
scanpy_seurat_v3	Epithelial	Keratinocyte	0.58	NA	1
scanpy_seurat_v3	Epithelial	Merkel Cell	0.71	NA	1
scanpy_seurat_v3	Epithelial	Progenitor Cell	0.25	NA	1
scanpy_seurat_v3	Epithelial	Stem Cell	0.57	NA	1
scanpy_seurat_v3	Full	Keratinocyte	0.81	NA	1
scanpy_seurat_v3	Full	Langerhans Cell	0.16	NA	1
scanpy_seurat_v3	Full	Merkel Cell	0.72	NA	1
scanpy_seurat_v3	Full	Progenitor Cell	0.13	NA	1
scanpy_seurat_v3	Full	Stem Cell	0.65	NA	1
scanpy_seurat_v3	Full	T Cell	0.58	NA	1
scanpy_seurat_v3	Immune	Langerhans Cell	0.05	NA	1
scanpy_seurat_v3	Immune	T Cell	0.81	NA	1
scanpy_seurat_v3_batch	Epithelial	Keratinocyte	0.54	NA	1
