method	group	context	lineage	MeanProp	SDProp	NSeeds	Context	Lineage	Method
statistic_variance	expression	Immune	Epithelial	0.8099999999999999	0.12389511693363868	1	Immune	Epithelial	Expression variance (N=2,000)
statistic_variance	expression	Immune	Immune	0.77	0.23	1	Immune	Immune	Expression variance (N=2,000)
triku	expression	Epithelial	Epithelial	0.625	0.10111874208078343	3	Epithelial	Epithelial	triku (N=2,000)
triku	expression	Epithelial	Immune	0.535	0.01500000000000001	3	Epithelial	Immune	triku (N=2,000)
triku	expression	Full	Epithelial	0.6908333333333333	0.14640818224284746	3	Full	Epithelial	triku (N=2,000)
triku	expression	Full	Immune	0.6566666666666667	0.010000000000000004	3	Full	Immune	triku (N=2,000)
triku	expression	Immune	Epithelial	0.5325	0.1492271758092339	3	Immune	Epithelial	triku (N=2,000)
triku	expression	Immune	Immune	0.68	0.12	3	Immune	Immune	triku (N=2,000)
wilcoxon	label_informed	Epithelial	Epithelial	0.635	0.3122098653149833	1	Epithelial	Epithelial	Wilcoxon (label-informed) (N=2,000)
wilcoxon	label_informed	Epithelial	Immune	0.545	0.315	1	Epithelial	Immune	Wilcoxon (label-informed) (N=2,000)
wilcoxon	label_informed	Full	Epithelial	0.505	0.32576832258523847	1	Full	Epithelial	Wilcoxon (label-informed) (N=2,000)
wilcoxon	label_informed	Full	Immune	0.545	0.335	1	Full	Immune	Wilcoxon (label-informed) (N=2,000)
wilcoxon	label_informed	Immune	Epithelial	0.305	0.17211914478058504	1	Immune	Epithelial	Wilcoxon (label-informed) (N=2,000)
wilcoxon	label_informed	Immune	Immune	0.54	0.18	1	Immune	Immune	Wilcoxon (label-informed) (N=2,000)
