prevalence	seed	method	summary	stratum	cutoff	metric	value	runtime_seconds	Prevalence	Method
0.15	1	scanpy_seurat_v3	overall	all_svg	NA	AUPRC	0.9115424700274376	0.0602580970153212	15% SVGs	scanpy-SeuratV3
0.15	1	scanpy_seurat_v3_batch	overall	all_svg	NA	AUPRC	0.8938577511305905	0.0614553336054086	15% SVGs	scanpy-SeuratV3 (batch)
0.15	1	scry	overall	all_svg	NA	AUPRC	0.1444849655221335	9.258024436421692	15% SVGs	scry
0.15	1	scsegindex	overall	all_svg	NA	AUPRC	0.1065909915353879	52.46092658583075	15% SVGs	scSEGIndex
0.15	1	seurat_disp	overall	all_svg	NA	AUPRC	0.7917354976456331	9.273223087191582	15% SVGs	Seurat-Dispersion
0.15	1	seurat_mvp	overall	all_svg	NA	AUPRC	0.666915734922456	10.31796786095947	15% SVGs	Seurat-MVP
0.15	1	seurat_sct	overall	all_svg	NA	AUPRC	0.8791446314364967	49.34794309362769	15% SVGs	Seurat-scTransform
0.15	1	seurat_vst	overall	all_svg	NA	AUPRC	0.9115424700274376	9.660007569938898	15% SVGs	Seurat-VST
0.15	1	singleCellHaystack	overall	all_svg	NA	AUPRC	0.1865772274263183	14.654594630002975	15% SVGs	singleCellHaystack
0.15	1	somde	overall	all_svg	NA	AUPRC	0.609884327397178	177.86550296843052	15% SVGs	SOMDE
0.15	1	sparkx	overall	all_svg	NA	AUPRC	0.9550103086659564	14.58315617311746	15% SVGs	SPARK-X
0.15	1	spatialde	overall	all_svg	NA	AUPRC	0.9795867630545316	163.64985712990165	15% SVGs	SpatialDE
0.15	1	statistic_mean	overall	all_svg	NA	AUPRC	0.1678921303832745	0.0287001291289925	15% SVGs	Statistic mean
0.15	1	statistic_variance	overall	all_svg	NA	AUPRC	0.751224820261881	0.0323752053081989	15% SVGs	Statistic variance
0.15	1	triku	overall	all_svg	NA	AUPRC	0.9072249077513962	12.954469811171291	15% SVGs	triku
0.15	1	wilcoxon	overall	all_svg	NA	AUPRC	0.7137638018883056	0.6376286298036575	15% SVGs	Wilcoxon (label-informed)
0.15	2	Brennecke	overall	all_svg	NA	AUPRC	0.8964702591885121	7.783412949182093	15% SVGs	Brennecke
0.15	2	all_features	overall	all_svg	NA	AUPRC	0.15	8.414722979068e-4	15% SVGs	All features
0.15	2	anticor	overall	all_svg	NA	AUPRC	0.9968017279250844	5.981963004916906	15% SVGs	Anticor
0.15	2	dubstepr	overall	all_svg	NA	AUPRC	0.9031358374594048	24.899623076431453	15% SVGs	DUBStepR
0.15	2	hotspot	overall	all_svg	NA	AUPRC	0.996423706246384	19.50799536332488	15% SVGs	Hotspot
0.15	2	morans_i	overall	all_svg	NA	AUPRC	0.9749798345231688	0.0402706824243068	15% SVGs	Moran's I
0.15	2	nbumi	overall	all_svg	NA	AUPRC	0.8924385422627191	12.115491554141045	15% SVGs	NBumi
0.15	2	nnsvg	overall	all_svg	NA	AUPRC	0.9653951190924448	1427.0453825732693	15% SVGs	nnSVG
0.15	2	osca	overall	all_svg	NA	AUPRC	0.8750886136527903	8.730500399135053	15% SVGs	OSCA
0.15	2	random	overall	all_svg	NA	AUPRC	0.1442672592059796	8.260365575551e-4	15% SVGs	Random
0.15	2	scPNMF	overall	all_svg	NA	AUPRC	0.1465492036047152	68.22827256191522	15% SVGs	scPNMF
0.15	2	scanpy_cell_ranger	overall	all_svg	NA	AUPRC	0.8650769158541465	0.2502913028001785	15% SVGs	scanpy-CellRanger
0.15	2	scanpy_cell_ranger_batch	overall	all_svg	NA	AUPRC	0.8742715439152686	0.1711478671059012	15% SVGs	scanpy-CellRanger (batch)
0.15	2	scanpy_pearson	overall	all_svg	NA	AUPRC	0.8179585146995912	1.800958146341145	15% SVGs	scanpy-Pearson
0.15	2	scanpy_pearson_batch	overall	all_svg	NA	AUPRC	0.808939928700005	0.0920952158048749	15% SVGs	scanpy-Pearson (batch)
0.15	2	scanpy_seurat	overall	all_svg	NA	AUPRC	0.8256149029809126	0.2122572781518101	15% SVGs	scanpy-Seurat
0.15	2	scanpy_seurat_batch	overall	all_svg	NA	AUPRC	0.8530485989378166	0.1411010064184665	15% SVGs	scanpy-Seurat (batch)
0.15	2	scanpy_seurat_v3	overall	all_svg	NA	AUPRC	0.9031233087732042	0.0690941559150815	15% SVGs	scanpy-SeuratV3
0.15	2	scanpy_seurat_v3_batch	overall	all_svg	NA	AUPRC	0.8861763909790835	0.0697617903351783	15% SVGs	scanpy-SeuratV3 (batch)
0.15	2	scry	overall	all_svg	NA	AUPRC	0.1400519695903235	9.13471156731248	15% SVGs	scry
0.15	2	scsegindex	overall	all_svg	NA	AUPRC	0.1069779147650376	54.94082851987332	15% SVGs	scSEGIndex
0.15	2	seurat_disp	overall	all_svg	NA	AUPRC	0.7867193227756735	10.453707619570196	15% SVGs	Seurat-Dispersion
0.15	2	seurat_mvp	overall	all_svg	NA	AUPRC	0.6525900396854594	10.697410193271937	15% SVGs	Seurat-MVP
0.15	2	seurat_sct	overall	all_svg	NA	AUPRC	0.8746433470770525	48.28430614527315	15% SVGs	Seurat-scTransform
0.15	2	seurat_vst	overall	all_svg	NA	AUPRC	0.903123341301622	10.859921991825104	15% SVGs	Seurat-VST
0.15	2	singleCellHaystack	overall	all_svg	NA	AUPRC	0.178467352329203	16.011790316551924	15% SVGs	singleCellHaystack
0.15	2	somde	overall	all_svg	NA	AUPRC	0.655849971435228	159.6433817539364	15% SVGs	SOMDE
0.15	2	sparkx	overall	all_svg	NA	AUPRC	0.9679892676127744	15.270084595307708	15% SVGs	SPARK-X
0.15	2	spatialde	overall	all_svg	NA	AUPRC	0.9836846465515916	168.21494289394468	15% SVGs	SpatialDE
0.15	2	statistic_mean	overall	all_svg	NA	AUPRC	0.1707312201519226	0.0299936104565858	15% SVGs	Statistic mean
0.15	2	statistic_variance	overall	all_svg	NA	AUPRC	0.7302890165790459	0.0391705362126231	15% SVGs	Statistic variance
0.15	2	triku	overall	all_svg	NA	AUPRC	0.903965667155605	13.634725540876389	15% SVGs	triku
0.15	2	wilcoxon	overall	all_svg	NA	AUPRC	0.7097646044572693	0.8548599453642964	15% SVGs	Wilcoxon (label-informed)
