dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
MouseBrainSerialSections	section1	wilcoxon	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5317027074192262	34.010841231793165	Moran percentile	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section2	all_features	2000	0	spatial_reproducibility	heldout_topn_jaccard	NA	0.001662771217525	Top-N Jaccard	All features
MouseBrainSerialSections	section2	all_features	2000	0	spatial_reproducibility	heldout_moran_percentile	NA	0.001662771217525	Moran percentile	All features
MouseBrainSerialSections	section2	morans_i	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.8181818181818182	1.6735448213294148	Top-N Jaccard	Moran's I (N=2,000)
MouseBrainSerialSections	section2	morans_i	2000	0	spatial_reproducibility	heldout_moran_percentile	0.9447213552054248	1.6735448213294148	Moran percentile	Moran's I (N=2,000)
MouseBrainSerialSections	section2	nnsvg	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.7613386173491854	10999.72357568238	Top-N Jaccard	nnSVG (N=2,000)
MouseBrainSerialSections	section2	nnsvg	2000	0	spatial_reproducibility	heldout_moran_percentile	0.9437240476665336	10999.72357568238	Moran percentile	nnSVG (N=2,000)
MouseBrainSerialSections	section2	random	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.0520778537611783	0.0013078255578875	Top-N Jaccard	Random (N=2,000)
MouseBrainSerialSections	section2	random	2000	0	spatial_reproducibility	heldout_moran_percentile	0.4853302253689668	0.0013078255578875	Moran percentile	Random (N=2,000)
MouseBrainSerialSections	section2	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.2970168612191958	1.35791836399585	Top-N Jaccard	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section2	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7744326635420822	1.35791836399585	Moran percentile	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section2	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4275517487508922	0.6060272511094809	Top-N Jaccard	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section2	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.82441536198643806	0.6060272511094809	Moran percentile	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section2	scsegindex	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.0718113612004287	415.96066134795547	Top-N Jaccard	scSEGIndex (N=2,000)
MouseBrainSerialSections	section2	scsegindex	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5937690217391305	415.96066134795547	Moran percentile	scSEGIndex (N=2,000)
MouseBrainSerialSections	section2	seurat_vst	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4275517487508922	20.244772379286587	Top-N Jaccard	Seurat-VST (N=2,000)
MouseBrainSerialSections	section2	seurat_vst	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8244937674511368	20.244772379286587	Moran percentile	Seurat-VST (N=2,000)
MouseBrainSerialSections	section2	singleCellHaystack	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3726835964310226	49.14608493261039	Top-N Jaccard	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section2	singleCellHaystack	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8817510969285999	49.14608493261039	Moran percentile	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section2	somde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.5408320493066255	270.9901908878237	Top-N Jaccard	SOMDE (N=2,000)
MouseBrainSerialSections	section2	somde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8974676655364977	270.9901908878237	Moran percentile	SOMDE (N=2,000)
MouseBrainSerialSections	section2	sparkx	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.5238095238095238	66.81009337399155	Top-N Jaccard	SPARK-X (N=2,000)
MouseBrainSerialSections	section2	sparkx	2000	0	spatial_reproducibility	heldout_moran_percentile	0.9189830973274832	66.81009337399155	Moran percentile	SPARK-X (N=2,000)
MouseBrainSerialSections	section2	spatialde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.6025641025641025	273.2938136830926	Top-N Jaccard	SpatialDE (N=2,000)
MouseBrainSerialSections	section2	spatialde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8617946001196649	273.2938136830926	Moran percentile	SpatialDE (N=2,000)
MouseBrainSerialSections	section2	triku	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3157894736842105	43.95227229222655	Top-N Jaccard	triku (N=2,000)
MouseBrainSerialSections	section2	triku	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8092549361786996	43.95227229222655	Moran percentile	triku (N=2,000)
MouseBrainSerialSections	section2	wilcoxon	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.122334455667789	35.18799910042435	Top-N Jaccard	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section2	wilcoxon	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5228683187076186	35.18799910042435	Moran percentile	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	all_features	2000	0	spatial_reproducibility	heldout_topn_jaccard	NA	0.0020099272951483	Top-N Jaccard	All features
STOmics0212	GSM5907080_AD_4_LS	all_features	2000	0	spatial_reproducibility	heldout_moran_percentile	NA	0.0020099272951483	Moran percentile	All features
STOmics0212	GSM5907080_AD_4_LS	morans_i	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3986013986013986	1.7235243124887347	Top-N Jaccard	Moran's I (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	morans_i	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8762678000648538	1.7235243124887347	Moran percentile	Moran's I (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	nnsvg	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3855213023900242	10280.545144095086	Top-N Jaccard	nnSVG (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	nnsvg	2000	0	spatial_reproducibility	heldout_moran_percentile	0.879120350210775	10280.545144095086	Moran percentile	nnSVG (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	random	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.0582010582010582	0.0018823128193616	Top-N Jaccard	Random (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	random	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5153509056376523	0.0018823128193616	Moran percentile	Random (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.119194180190263	1.2169416146352887	Top-N Jaccard	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6617757678232269	1.2169416146352887	Moran percentile	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1682242990654205	0.7381784087046981	Top-N Jaccard	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6923841200722658	0.7381784087046981	Moran percentile	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scsegindex	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1689070718877849	188.9926537424326	Top-N Jaccard	scSEGIndex (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scsegindex	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7942743317737527	188.9926537424326	Moran percentile	scSEGIndex (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	seurat_vst	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.2364760432766615	17.042715630494058	Top-N Jaccard	Seurat-VST (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	seurat_vst	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7232980265900774	17.042715630494058	Moran percentile	Seurat-VST (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	singleCellHaystack	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.2554927809165097	65.94043320044875	Top-N Jaccard	singleCellHaystack (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	singleCellHaystack	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8317034789456618	65.94043320044875	Moran percentile	singleCellHaystack (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	somde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1976047904191616	2395.1542932325974	Top-N Jaccard	SOMDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	somde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7398165562607124	2395.1542932325974	Moran percentile	SOMDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	sparkx	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3071895424836601	132.50187830161303	Top-N Jaccard	SPARK-X (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	sparkx	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8552939963867143	132.50187830161303	Moran percentile	SPARK-X (N=2,000)
