Method	Type	Mean	SD	Integration
Statistic variance (N=2,000)	Integration	-0.12166974131694507	0.26452606924727656	GraphST
Statistic variance (N=2,000)	CoreOverall	0.017696626771273347	0.11574438820902498	GraphST
nnSVG (N=2,000)	Alignment	0.1632381367236761	0.0280656391425501	CellCharter
nnSVG (N=2,000)	Clustering	0.12619838489447102	0.08300911396712023	CellCharter
nnSVG (N=2,000)	Integration	-0.03785031537904031	0.14891850024905992	CellCharter
nnSVG (N=2,000)	CoreOverall	0.044174034757715384	0.06522109287608982	CellCharter
nnSVG (N=2,000)	Alignment	0.10201446839155198	0.05481421399210571	GraphST
nnSVG (N=2,000)	Clustering	0.16087625389866422	0.11982130443310642	GraphST
nnSVG (N=2,000)	Integration	-0.1262462745465643	0.19854302394505677	GraphST
nnSVG (N=2,000)	CoreOverall	0.017314989676049948	0.08806056055819728	GraphST
scPNMF (N=2,000)	Alignment	0.276944627779143	0.20536338394508208	CellCharter
scPNMF (N=2,000)	Clustering	0.14631937785941548	0.07990769908252311	CellCharter
scPNMF (N=2,000)	Integration	-0.05115200746812758	0.18847148172101316	CellCharter
scPNMF (N=2,000)	CoreOverall	0.04758368519564397	0.08880475943417705	CellCharter
scPNMF (N=2,000)	Alignment	0.18784164618306193	0.2563611959550817	GraphST
scPNMF (N=2,000)	Clustering	0.183331341179922	0.11502575993829763	GraphST
scPNMF (N=2,000)	Integration	-0.13031456162295943	0.24364195721982185	GraphST
scPNMF (N=2,000)	CoreOverall	0.0265083897784813	0.11646788459421484	GraphST
scanpy-CellRanger (N=2,000)	Alignment	0.050293584583126216	0.08174437761835944	CellCharter
scanpy-CellRanger (N=2,000)	Clustering	0.21498395565773445	0.18545421438324106	CellCharter
scanpy-CellRanger (N=2,000)	Integration	-0.11383175427156288	0.09668972085441489	CellCharter
scanpy-CellRanger (N=2,000)	CoreOverall	0.050576100693085775	0.06646274640217395	CellCharter
scanpy-CellRanger (N=2,000)	Alignment	0.0030742695670369913	0.0607833359666678	GraphST
scanpy-CellRanger (N=2,000)	Clustering	0.22982154515405714	0.16570820451100884	GraphST
scanpy-CellRanger (N=2,000)	Integration	-0.14595954796570723	0.12105826085102966	GraphST
scanpy-CellRanger (N=2,000)	CoreOverall	0.04193099859417498	0.03982892580833897	GraphST
scanpy-CellRanger (batch) (N=2,000)	Alignment	0.05495052301976666	0.08778372451114003	CellCharter
scanpy-CellRanger (batch) (N=2,000)	Clustering	0.21311201682424305	0.16783299278366404	CellCharter
scanpy-CellRanger (batch) (N=2,000)	Integration	-0.10058418528838879	0.102005471556473	CellCharter
scanpy-CellRanger (batch) (N=2,000)	CoreOverall	0.05626391576792711	0.05841540619448261	CellCharter
scanpy-CellRanger (batch) (N=2,000)	Alignment	0.01746682712837694	0.06426845861108724	GraphST
scanpy-CellRanger (batch) (N=2,000)	Clustering	0.2299859926559224	0.16352003423101205	GraphST
scanpy-CellRanger (batch) (N=2,000)	Integration	-0.14164665439056143	0.11554528576299146	GraphST
scanpy-CellRanger (batch) (N=2,000)	CoreOverall	0.044169669132680486	0.04635275796213128	GraphST
scanpy-Pearson (N=2,000)	Alignment	0.2661819052792976	0.1789992861761511	CellCharter
scanpy-Pearson (N=2,000)	Clustering	0.17704469793541672	0.11672094780804687	CellCharter
scanpy-Pearson (N=2,000)	Integration	-0.06187538456404509	0.19417013788011214	CellCharter
scanpy-Pearson (N=2,000)	CoreOverall	0.057584656685685846	0.086527829616665	CellCharter
scanpy-Pearson (N=2,000)	Alignment	0.15329334328944755	0.26850750173750093	GraphST
scanpy-Pearson (N=2,000)	Clustering	0.1665050540239266	0.13018131018899448	GraphST
scanpy-Pearson (N=2,000)	Integration	-0.09403390895208383	0.21490990429391682	GraphST
scanpy-Pearson (N=2,000)	CoreOverall	0.036235572535921426	0.11991559986772643	GraphST
scanpy-Pearson (batch) (N=2,000)	Alignment	0.19959799511608745	0.0935793154537217	CellCharter
scanpy-Pearson (batch) (N=2,000)	Clustering	0.19342387737325947	0.1332360568984181	CellCharter
scanpy-Pearson (batch) (N=2,000)	Integration	-0.0397694827325688	0.17354630079652114	CellCharter
scanpy-Pearson (batch) (N=2,000)	CoreOverall	0.07682719732034529	0.09438656524243838	CellCharter
scanpy-Pearson (batch) (N=2,000)	Alignment	0.09701063783246755	0.16991400591624214	GraphST
scanpy-Pearson (batch) (N=2,000)	Clustering	0.18729441984183565	0.14668419282123416	GraphST
scanpy-Pearson (batch) (N=2,000)	Integration	-0.05815764383027779	0.17243543048238708	GraphST
scanpy-Pearson (batch) (N=2,000)	CoreOverall	0.06456838800577894	0.11777668779719636	GraphST
