ENSEMBL	Gene	Species
ENSMUSG00000071341	Egr4	Mouse
ENSMUSG00000017724	Etv4	Mouse
ENSMUSG00000015501	Hivep2	Mouse
ENSMUSG00000045268	Zfp691	Mouse
ENSMUSG00000032119	Hinfp	Mouse
ENSMUSG00000060510	Zfp266	Mouse
ENSMUSG00000037984	Neurod6	Mouse
ENSMUSG00000039153	Runx2	Mouse
ENSMUSG00000059878	Zfp422	Mouse
ENSMUSG00000037692	Ahdc1	Mouse
ENSMUSG00000045493	Bhlhe23	Mouse
ENSMUSG00000050966	Lin28a	Mouse
ENSMUSG00000000440	Pparg	Mouse
ENSMUSG00000047143	Dmrta2	Mouse
ENSMUSG00000103906	Tigd5	Mouse
ENSMUSG00000067724	Gbx1	Mouse
ENSMUSG00000054360	Bsx	Mouse
ENSMUSG00000020335	Zfp354b	Mouse
ENSMUSG00000054737	Zfp182	Mouse
ENSMUSG00000021775	Nr1d2	Mouse
ENSMUSG00000029026	Trp73	Mouse
ENSMUSG00000070034	Sp110	Mouse
ENSMUSG00000074282	Zfp94	Mouse
ENSMUSG00000030103	Bhlhe40	Mouse
ENSMUSG00000049184	Purg	Mouse
ENSMUSG00000032998	Foxj3	Mouse
ENSMUSG00000047473	Zfp30	Mouse
ENSMUSG00000030199	Etv6	Mouse
ENSMUSG00000053129	Gsx1	Mouse
ENSMUSG00000073043	Atoh1	Mouse
ENSMUSG00000002108	Nr1h3	Mouse
ENSMUSG00000027833	Shox2	Mouse
ENSMUSG00000048481	Mypop	Mouse
ENSMUSG00000046470	Sox18	Mouse
ENSMUSG00000050064	Zfp697	Mouse
ENSMUSG00000046572	Zfp518b	Mouse
ENSMUSG00000037492	Zmat4	Mouse
ENSMUSG00000035277	Arx	Mouse
ENSMUSG00000038210	Hoxa11	Mouse
ENSMUSG00000002147	Stat6	Mouse
ENSMUSG00000039275	Foxk2	Mouse
ENSMUSG00000055148	Klf2	Mouse
ENSMUSG00000001566	Mnx1	Mouse
ENSMUSG00000037674	Rfx7	Mouse
ENSMUSG00000038116	Phf20	Mouse
ENSMUSG00000047002	Msgn1	Mouse
ENSMUSG00000035456	Prdm8	Mouse
ENSMUSG00000022484	Hoxc10	Mouse
ENSMUSG00000028799	Zfp362	Mouse
ENSMUSG00000075304	Sp5	Mouse
ENSMUSG00000034227	Foxj1	Mouse
ENSMUSG00000025925	Terf1	Mouse
ENSMUSG00000029644	Pdx1	Mouse
ENSMUSG00000051451	Crebzf	Mouse
ENSMUSG00000034057	Myrfl	Mouse
ENSMUSG00000025407	Gli1	Mouse
ENSMUSG00000040721	Zfhx2	Mouse
ENSMUSG00000026815	Gfi1b	Mouse
ENSMUSG00000044365	Cxxc4	Mouse
ENSMUSG00000023932	Cdc5l	Mouse
ENSMUSG00000014603	Alx3	Mouse
ENSMUSG00000075394	Hoxc4	Mouse
ENSMUSG00000064264	Zfp428	Mouse
ENSMUSG00000057551	Zfp317	Mouse
ENSMUSG00000005503	Evx1	Mouse
ENSMUSG00000000823	Zfp512b	Mouse
ENSMUSG00000038331	Satb2	Mouse
ENSMUSG00000002625	Akap8l	Mouse
ENSMUSG00000094870	Zfp131	Mouse
ENSMUSG00000038203	Hoxa13	Mouse
ENSMUSG00000002111	Spi1	Mouse
ENSMUSG00000046897	Zfp740	Mouse
ENSMUSG00000019982	Myb	Mouse
ENSMUSG00000041515	Irf8	Mouse
ENSMUSG00000038648	Creb3l2	Mouse
ENSMUSG00000002393	Nr2f6	Mouse
ENSMUSG00000030189	Ybx3	Mouse
ENSMUSG00000070691	Runx3	Mouse
ENSMUSG00000001657	Hoxc8	Mouse
ENSMUSG00000052534	Pbx1	Mouse
ENSMUSG00000068154	Insm1	Mouse
ENSMUSG00000042499	Hoxd11	Mouse
ENSMUSG00000035011	Zbtb7a	Mouse
ENSMUSG00000038351	Sgsm2	Mouse
ENSMUSG00000060397	Zfp128	Mouse
ENSMUSG00000058028	Zscan5b	Mouse
ENSMUSG00000012350	Ehf	Mouse
ENSMUSG00000062175	Tgif2	Mouse
ENSMUSG00000035033	Tbr1	Mouse
ENSMUSG00000000317	Bcl6b	Mouse
ENSMUSG00000052056	Zfp217	Mouse
ENSMUSG00000070866	Zfp804a	Mouse
ENSMUSG00000038721	Hoxb7	Mouse
ENSMUSG00000068267	Cenpb	Mouse
ENSMUSG00000009248	Ascl2	Mouse
ENSMUSG00000009471	Myod1	Mouse
ENSMUSG00000043602	Zfp3	Mouse
ENSMUSG00000006642	Tcf23	Mouse
ENSMUSG00000000094	Tbx4	Mouse
ENSMUSG00000038615	Nfe2l1	Mouse
ENSMUSG00000027104	Atf2	Mouse
ENSMUSG00000049604	Hoxb13	Mouse
ENSMUSG00000055150	Zfp78	Mouse
ENSMUSG00000026638	Irf6	Mouse
ENSMUSG00000035041	Creb3l3	Mouse
ENSMUSG00000018973	Hoxb1	Mouse
ENSMUSG00000041309	Nkx6-2	Mouse
ENSMUSG00000026872	Zeb2	Mouse
ENSMUSG00000073427	Gm4924	Mouse
ENSMUSG00000037007	Zfp113	Mouse
ENSMUSG00000000247	Lhx2	Mouse
ENSMUSG00000056501	Cebpb	Mouse
ENSMUSG00000027551	Zfp64	Mouse
ENSMUSG00000049657	Zbtb5	Mouse
ENSMUSG00000046792	Zfp787	Mouse
ENSMUSG00000027544	Nfatc2	Mouse
ENSMUSG00000039476	Prrx2	Mouse
ENSMUSG00000026932	Nacc2	Mouse
ENSMUSG00000046541	Zfp526	Mouse
ENSMUSG00000046179	E2f8	Mouse
ENSMUSG00000034173	Zbed5	Mouse
ENSMUSG00000034701	Neurod1	Mouse
ENSMUSG00000030393	Zik1	Mouse
ENSMUSG00000034957	Cebpa	Mouse
ENSMUSG00000039967	Zfp292	Mouse
ENSMUSG00000008496	Pou2f2	Mouse
ENSMUSG00000045515	Pou3f3	Mouse
ENSMUSG00000007946	Phox2a	Mouse
ENSMUSG00000048377	Foxi2	Mouse
ENSMUSG00000051251	Nhlh1	Mouse
ENSMUSG00000038700	Hoxb5	Mouse
ENSMUSG00000029705	Cux1	Mouse
ENSMUSG00000027168	Pax6	Mouse
ENSMUSG00000001510	Dlx3	Mouse
ENSMUSG00000049755	Zfp672	Mouse
ENSMUSG00000057895	Zfp105	Mouse
ENSMUSG00000057173	Rfx8	Mouse
ENSMUSG00000030507	Dbx1	Mouse
ENSMUSG00000017299	Dnttip1	Mouse
ENSMUSG00000021217	Tshz3	Mouse
ENSMUSG00000059625	Sohlh1	Mouse
ENSMUSG00000054893	Zfp667	Mouse
ENSMUSG00000006307	Kmt2b	Mouse
ENSMUSG00000020232	Hmg20b	Mouse
ENSMUSG00000026751	Nr5a1	Mouse
ENSMUSG00000027102	Hoxd8	Mouse
ENSMUSG00000025498	Irf7	Mouse
ENSMUSG00000029729	Zkscan1	Mouse
ENSMUSG00000040610	Tlx3	Mouse
ENSMUSG00000042821	Snai1	Mouse
ENSMUSG00000056493	Foxk1	Mouse
ENSMUSG00000029546	Uncx	Mouse
ENSMUSG00000015843	Rxrg	Mouse
ENSMUSG00000041483	Zfp281	Mouse
ENSMUSG00000068966	Zbtb34	Mouse
ENSMUSG00000017667	Zfp334	Mouse
ENSMUSG00000040857	Erf	Mouse
ENSMUSG00000020167	Tcf3	Mouse
ENSMUSG00000019230	Lhx9	Mouse
ENSMUSG00000049421	Zfp260	Mouse
ENSMUSG00000028341	Nr4a3	Mouse
ENSMUSG00000005917	Otx1	Mouse
ENSMUSG00000038765	Lmx1b	Mouse
ENSMUSG00000042726	Trafd1	Mouse
ENSMUSG00000040596	Pogk	Mouse
ENSMUSG00000017950	Hnf4a	Mouse
ENSMUSG00000038630	Zkscan16	Mouse
ENSMUSG00000044876	Zfp444	Mouse
ENSMUSG00000015839	Nfe2l2	Mouse
ENSMUSG00000066224	Arid3c	Mouse
ENSMUSG00000026873	Phf19	Mouse
ENSMUSG00000100512	Ovol3	Mouse
ENSMUSG00000050368	Hoxd10	Mouse
ENSMUSG00000044770	Scml4	Mouse
ENSMUSG00000043342	Hoxd9	Mouse
ENSMUSG00000028329	Xpa	Mouse
ENSMUSG00000001823	Hoxd12	Mouse
ENSMUSG00000026135	Zfp142	Mouse
ENSMUSG00000027016	Zfp385b	Mouse
ENSMUSG00000059552	Trp53	Mouse
ENSMUSG00000030505	Prmt3	Mouse
ENSMUSG00000079056	Kcnip3	Mouse
ENSMUSG00000074862	BC025920	Mouse
ENSMUSG00000030386	Zfp606	Mouse
ENSMUSG00000003032	Klf4	Mouse
ENSMUSG00000018698	Lhx1	Mouse
ENSMUSG00000027210	Meis2	Mouse
ENSMUSG00000010505	Myt1	Mouse
ENSMUSG00000066798	Zbtb6	Mouse
ENSMUSG00000026788	Zbtb43	Mouse
ENSMUSG00000018377	Vezf1	Mouse
ENSMUSG00000005373	Mlxipl	Mouse
ENSMUSG00000000093	Tbx2	Mouse
ENSMUSG00000043456	Zfp536	Mouse
ENSMUSG00000061589	Dot1l	Mouse
ENSMUSG00000040270	Bach2	Mouse
ENSMUSG00000017861	Mybl2	Mouse
ENSMUSG00000042448	Hoxd1	Mouse
ENSMUSG00000079277	Hoxd3	Mouse
ENSMUSG00000044452	Zfp507	Mouse
ENSMUSG00000000282	Mnt	Mouse
ENSMUSG00000075595	Zfp652	Mouse
ENSMUSG00000039693	Msantd3	Mouse
ENSMUSG00000033740	St18	Mouse
ENSMUSG00000043099	Hic1	Mouse
ENSMUSG00000035478	Mbd3	Mouse
ENSMUSG00000058638	Zfp110	Mouse
ENSMUSG00000005621	Zfp592	Mouse
ENSMUSG00000047036	Zfp445	Mouse
ENSMUSG00000018750	Zbtb4	Mouse
ENSMUSG00000109398	Gm3854	Mouse
ENSMUSG00000040712	Camta2	Mouse
ENSMUSG00000018143	Mafk	Mouse
ENSMUSG00000001444	Tbx21	Mouse
ENSMUSG00000014030	Pax5	Mouse
ENSMUSG00000036281	Snapc4	Mouse
ENSMUSG00000101174	Hoxd4	Mouse
ENSMUSG00000100642	Gm28230	Mouse
ENSMUSG00000020160	Meis1	Mouse
ENSMUSG00000040167	Ikzf5	Mouse
ENSMUSG00000061311	Rag1	Mouse
ENSMUSG00000010476	Ebf3	Mouse
ENSMUSG00000006311	Etv2	Mouse
ENSMUSG00000050714	Zbtb26	Mouse
ENSMUSG00000118665	Lin54	Mouse
ENSMUSG00000030380	Mzf1	Mouse
ENSMUSG00000035877	Zhx3	Mouse
ENSMUSG00000056648	Hoxb8	Mouse
ENSMUSG00000001815	Evx2	Mouse
ENSMUSG00000055197	Fev	Mouse
ENSMUSG00000049600	Zbtb45	Mouse
ENSMUSG00000075040	Zfp408	Mouse
ENSMUSG00000054160	Nkx2-4	Mouse
ENSMUSG00000017007	Rbpjl	Mouse
ENSMUSG00000040478	Prdm13	Mouse
ENSMUSG00000026565	Pou2f1	Mouse
ENSMUSG00000039634	Zfp189	Mouse
ENSMUSG00000037335	Hand1	Mouse
ENSMUSG00000020248	Nfyb	Mouse
ENSMUSG00000051910	Sox6	Mouse
ENSMUSG00000046658	Zfp316	Mouse
ENSMUSG00000041287	Sox15	Mouse
ENSMUSG00000047907	Tshz2	Mouse
ENSMUSG00000037243	Zfp692	Mouse
ENSMUSG00000015942	Gtf2ird2	Mouse
ENSMUSG00000053552	Ebf4	Mouse
ENSMUSG00000061809	Tbpl2	Mouse
ENSMUSG00000062861	Zfp28	Mouse
ENSMUSG00000029587	Zfp12	Mouse
ENSMUSG00000048528	Nkx1-2	Mouse
ENSMUSG00000094483	Purb	Mouse
ENSMUSG00000038718	Pbx3	Mouse
ENSMUSG00000040148	Hmx3	Mouse
ENSMUSG00000026890	Lhx6	Mouse
ENSMUSG00000000690	Hoxb6	Mouse
ENSMUSG00000026199	Ankzf1	Mouse
ENSMUSG00000003282	Plag1	Mouse
ENSMUSG00000029127	Zbtb49	Mouse
ENSMUSG00000026826	Nr4a2	Mouse
ENSMUSG00000026663	Atf6	Mouse
ENSMUSG00000038692	Hoxb4	Mouse
ENSMUSG00000000567	Sox9	Mouse
ENSMUSG00000097918	Ascl5	Mouse
ENSMUSG00000074622	Mafb	Mouse
ENSMUSG00000041420	Meis3	Mouse
ENSMUSG00000023079	Gtf2ird1	Mouse
ENSMUSG00000026279	Thap4	Mouse
ENSMUSG00000040481	Bptf	Mouse
ENSMUSG00000011349	Dmrtc2	Mouse
ENSMUSG00000053985	Zfp14	Mouse
ENSMUSG00000026641	Usf1	Mouse
ENSMUSG00000038909	Kat7	Mouse
ENSMUSG00000058447	Gm26920	Mouse
ENSMUSG00000078768	Zfp566	Mouse
ENSMUSG00000005442	Cic	Mouse
ENSMUSG00000059824	Dbp	Mouse
ENSMUSG00000034800	Zfp661	Mouse
ENSMUSG00000020453	Patz1	Mouse
ENSMUSG00000003051	Elf3	Mouse
ENSMUSG00000042589	Cux2	Mouse
ENSMUSG00000070643	Sox13	Mouse
ENSMUSG00000018678	Sp2	Mouse
ENSMUSG00000027547	Sall4	Mouse
ENSMUSG00000026398	Nr5a2	Mouse
ENSMUSG00000098022	Zfp82	Mouse
ENSMUSG00000033964	Zbtb41	Mouse
ENSMUSG00000037034	Pax1	Mouse
ENSMUSG00000055053	Nfic	Mouse
ENSMUSG00000074220	Zfp382	Mouse
ENSMUSG00000070822	Zscan18	Mouse
ENSMUSG00000035576	L3mbtl1	Mouse
ENSMUSG00000095139	Pou3f2	Mouse
ENSMUSG00000020875	Hoxb9	Mouse
ENSMUSG00000006310	Zbtb32	Mouse
ENSMUSG00000041124	Msantd4	Mouse
ENSMUSG00000028417	Tal2	Mouse
ENSMUSG00000037025	Foxa2	Mouse
ENSMUSG00000040310	Alx4	Mouse
ENSMUSG00000079083	Jrkl	Mouse
ENSMUSG00000035397	Klf16	Mouse
ENSMUSG00000029135	Fosl2	Mouse
ENSMUSG00000028466	Creb3	Mouse
ENSMUSG00000027434	Nkx2-2	Mouse
ENSMUSG00000027678	Ncoa3	Mouse
ENSMUSG00000060314	Zfp941	Mouse
ENSMUSG00000001819	Hoxd13	Mouse
ENSMUSG00000027439	Gzf1	Mouse
ENSMUSG00000036822	Topors	Mouse
ENSMUSG00000045302	Preb	Mouse
ENSMUSG00000030757	Zkscan2	Mouse
ENSMUSG00000070990	Foxe1	Mouse
ENSMUSG00000027230	Creb3l1	Mouse
ENSMUSG00000025997	Ikzf2	Mouse
ENSMUSG00000027186	Elf5	Mouse
ENSMUSG00000018554	Ybx2	Mouse
ENSMUSG00000016458	Wt1	Mouse
ENSMUSG00000020679	Hnf1b	Mouse
ENSMUSG00000020871	Dlx4	Mouse
ENSMUSG00000020484	Xbp1	Mouse
ENSMUSG00000004500	Zfp324	Mouse
ENSMUSG00000005677	Nr1i3	Mouse
ENSMUSG00000043059	Zfp513	Mouse
ENSMUSG00000051034	Zfp11	Mouse
ENSMUSG00000060206	Zfp462	Mouse
ENSMUSG00000037029	Zfp146	Mouse
ENSMUSG00000040321	Zfp770	Mouse
ENSMUSG00000075588	Hoxb2	Mouse
ENSMUSG00000030443	Zfp583	Mouse
ENSMUSG00000033961	Zfp446	Mouse
ENSMUSG00000048763	Hoxb3	Mouse
ENSMUSG00000026077	Npas2	Mouse
ENSMUSG00000050100	Hmx2	Mouse
ENSMUSG00000063972	Nr6a1	Mouse
ENSMUSG00000070495	Ctcfl	Mouse
ENSMUSG00000012520	Phox2b	Mouse
ENSMUSG00000026934	Lhx3	Mouse
ENSMUSG00000019564	Arid3a	Mouse
ENSMUSG00000079466	Prdm12	Mouse
ENSMUSG00000061898	Rbak	Mouse
ENSMUSG00000028640	Tfap2c	Mouse
ENSMUSG00000057894	Zfp329	Mouse
ENSMUSG00000018654	Ikzf1	Mouse
ENSMUSG00000051149	Adnp	Mouse
ENSMUSG00000070345	Hsf5	Mouse
ENSMUSG00000025902	Sox17	Mouse
ENSMUSG00000026686	Lmx1a	Mouse
ENSMUSG00000026987	Baz2b	Mouse
ENSMUSG00000056216	Cebpg	Mouse
ENSMUSG00000093910	Zfp853	Mouse
ENSMUSG00000034071	Zfp551	Mouse
ENSMUSG00000037017	Zscan21	Mouse
ENSMUSG00000074997	Pin1rt1	Mouse
ENSMUSG00000002265	Peg3	Mouse
ENSMUSG00000026976	Pax8	Mouse
ENSMUSG00000062761	Zfp512	Mouse
ENSMUSG00000039164	Naif1	Mouse
ENSMUSG00000058886	Deaf1	Mouse
ENSMUSG00000020473	Aebp1	Mouse
ENSMUSG00000025586	Cpeb1	Mouse
ENSMUSG00000045518	Onecut3	Mouse
ENSMUSG00000003949	Hlf	Mouse
ENSMUSG00000033080	Vsx1	Mouse
ENSMUSG00000028423	Nfx1	Mouse
ENSMUSG00000020857	Nme2	Mouse
ENSMUSG00000039834	Zfp335	Mouse
ENSMUSG00000000731	Aire	Mouse
ENSMUSG00000054715	Zscan22	Mouse
ENSMUSG00000063488	Zkscan7	Mouse
ENSMUSG00000045252	Zfp574	Mouse
ENSMUSG00000027387	Zc3h8	Mouse
ENSMUSG00000026273	Mterf4	Mouse
ENSMUSG00000060261	Gtf2i	Mouse
ENSMUSG00000038560	Sp6	Mouse
ENSMUSG00000037279	Ovol2	Mouse
ENSMUSG00000058318	Phf21a	Mouse
ENSMUSG00000058239	Usf2	Mouse
ENSMUSG00000025470	Zfp511	Mouse
